#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-00-00
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1390346823.992756	CHM2L12eAZhc2t0ZUk	192.168.14.10	1035	66.39.29.236	80	1	GET	besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fn8tPN2dAUji7klUhj	text/html
1390346824.310398	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/node/node.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	740	200	OK	-	-	-	(empty)	-	-	-	-	-	FdaQOR1hyd3Z4fUlR8	text/plain
1390346824.314422	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/system/defaults.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	757	200	OK	-	-	-	(empty)	-	-	-	-	-	FX4Hhj4L2aEXVRwnP	text/plain
1390346824.318226	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/system/system-menus.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	935	200	OK	-	-	-	(empty)	-	-	-	-	-	F6iYAm2UPNRqgumg24	text/plain
1390346824.322248	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/poll/poll.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	671	200	OK	-	-	-	(empty)	-	-	-	-	-	FTDSYA2hhrNW7u6TSg	text/plain
1390346824.329321	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/user/user.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1127	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx8b762IrLVjUT7u6f	text/plain
1390346824.329781	CwO29AJu62Wiw0YJh	192.168.14.10	1038	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/system/system.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	10020	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw4CDY2tsRyosaxM11	text/plain
1390346824.334222	CCrCiq25ZmK6phL2Q	192.168.14.10	1041	72.21.91.19	80	1	GET	www.besthealthmag.ca	/profiles/besthealth/modules/block_edit/block_edit.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	920	200	OK	-	-	-	(empty)	-	-	-	-	-	FToWd1piSHcnNWgq8	text/plain
1390346824.334501	C2eS7j2cZxzA7WXNi7	192.168.14.10	1039	72.21.91.19	80	2	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3087	200	OK	-	-	-	(empty)	-	-	-	-	-	Ftq7fC4zVD6m7h35Ka	text/plain
1390346824.341035	Cyi2zDF52r3HEb94f	192.168.14.10	1037	72.21.91.19	80	3	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date_popup/themes/datepicker.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4077	200	OK	-	-	-	(empty)	-	-	-	-	-	F5Eilm49jz8ivrMEVc	text/plain
1390346824.352681	Cq06Qc4oCJzz4gG1x4	192.168.14.10	1040	72.21.91.19	80	2	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date_popup/themes/timeentry.css?S	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	509	200	OK	-	-	-	(empty)	-	-	-	-	-	FXWzn54KrnF6OVjxg5	text/plain
