#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-07-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1329461378.871773	CScmJ6OqZl2SOSYFi	192.168.100.10	1030	98.124.199.1	80	1	GET	e-commerceoffice.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	182	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FVmfC6zeGf5GMedQ5	text/html
1329461379.086256	CXYzqN1b2eSuwt1nYj	192.168.100.10	1031	83.69.233.148	80	1	GET	bmegsjheqprhupouh.nl.ai	/main.php?page=116af8920b9f1ed7	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81714	200	OK	-	-	-	(empty)	-	-	-	-	-	FDCV7j13jx7LZAtnh7	text/html
1329461385.138062	CXYzqN1b2eSuwt1nYj	192.168.100.10	1031	83.69.233.148	80	2	GET	bmegsjheqprhupouh.nl.ai	/w.php?f=16&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	159232	200	OK	-	-	-	(empty)	-	-	-	-	-	F7Kdz13tNg69FGy133	application/x-dosexec
1329461386.266679	CXYzqN1b2eSuwt1nYj	192.168.100.10	1031	83.69.233.148	80	3	GET	bmegsjheqprhupouh.nl.ai	/content/adp2.php?f=16	http://bmegsjheqprhupouh.nl.ai/main.php?page=116af8920b9f1ed7	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13166	200	OK	-	-	-	(empty)	-	-	-	-	-	FV8TzP3gIekd1qdJ08	application/pdf
1329461394.025325	CP50tuapraXuOUeoc	192.168.100.10	1037	83.69.233.148	80	1	GET	bmegsjheqprhupouh.nl.ai	/content/field.swf	http://bmegsjheqprhupouh.nl.ai/main.php?page=116af8920b9f1ed7	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1553	200	OK	-	-	-	(empty)	-	-	-	-	-	FFf4fJ24aJfz9Cnqmc	application/x-shockwave-flash
1329461393.552639	CXYzqN1b2eSuwt1nYj	192.168.100.10	1031	83.69.233.148	80	4	GET	bmegsjheqprhupouh.nl.ai	/w.php?f=16&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	159232	200	OK	-	-	-	(empty)	-	-	-	-	-	FRxQN61OJCZKbyOdC9	application/x-dosexec
1329461397.279791	Ck0thZ26b1EZpFzLz3	192.168.100.10	1039	83.69.233.148	80	1	GET	bmegsjheqprhupouh.nl.ai	/content/rin.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4148	200	OK	-	-	-	(empty)	-	-	-	-	-	FOd07q2Z6fEDeC1Tme	application/zip
1329461396.806728	CzLxMi4hiZg6VHyz62	192.168.100.10	1038	80.78.127.85	80	1	POST	tablepack.ru	/monday.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	76	11636	200	OK	-	-	-	(empty)	-	-	-	FKLa6i4rjrVRkIvFhc	text/plain	FOmbOZ36tkWdTEiaq8	binary
1329461424.513548	CwBO5v4XG2FbTJcyVa	192.168.100.10	1040	80.78.127.85	80	1	POST	brainrace.ru	/blackout.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	296	128	200	OK	-	-	-	(empty)	-	-	-	FcuBDRwFOPSNCv1Ab	binary	F8da2c8Epl1rXokFl	binary
1329461435.585004	CcqulA2yRT7yGTCfF	192.168.100.10	1041	74.220.219.52	80	1	GET	amosindustries.com	/error.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2610	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FkMwx93NTEqtxjKB63	text/html
1329461436.533633	CdbGyr37gKlXAmNiae	192.168.100.10	1042	74.220.219.52	80	1	GET	amosindustries.com	/error.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2609	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F9CPQQHYv8jFimuw5	text/html
1329461441.781384	CKuaOys9u2BNTLLIc	192.168.100.10	1043	74.220.219.52	80	1	GET	amosindustries.com	/error.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2610	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FY7J8M3ngvqQuYxqSd	text/html
1329461442.106907	C5MwXRCXL0Iw9ov3j	192.168.100.10	1044	74.220.219.52	80	1	GET	amosindustries.com	/error.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2609	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FtdesD2TkxsEpNFXs1	text/html
1329461447.500541	CUkheS1lQxhwKR0Jkk	192.168.100.10	1046	74.220.219.52	80	1	GET	amosindustries.com	/error.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-07-33
