#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-00-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1365242223.509638	C838hL3JA1bQZYOQp7	192.168.109.10	1030	91.219.194.37	80	1	GET	vksovet.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2195	200	OK	-	-	-	(empty)	-	-	-	-	-	FonRm23rDCWGkz2Cmk	text/troff
1365242223.889724	CvjXjh4TpTBmsIrdU	192.168.109.10	1031	213.180.193.119	80	1	GET	mc.yandex.ru	/metrika/watch.js	http://vksovet.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42036	200	OK	-	-	-	(empty)	-	-	-	-	-	F86EpJ28DLqTwXPoc3	text/plain
1365242224.297304	CvjXjh4TpTBmsIrdU	192.168.109.10	1031	213.180.193.119	80	2	GET	mc.yandex.ru	/watch/19954024?rn=567883&wmode=5&callback=_ymjsp624907&page-url=http://vksovet.ru/&browser-info=j:1:s:800x600x24:f:10.0.32.18:w:780x475:z:-300:i:20130406085505:en:utf-8:v:1825:c:1:la:en-us:hid:543419914:wn:15438:hl:0:t:\xd0\xa1\xd0\xb1\xd0\xbe\xd1\x80\xd0\xbd\xd0\xb8\xd0\xba \xd1\x80\xd1\x83\xd0\xba\xd0\xbe\xd0\xb2\xd0\xbe\xd0\xb4\xd1\x81\xd1\x82\xd0\xb2 \xd0\xb4\xd0\xbb\xd1\x8f \xd0\xb2\xd0\x9a\xd0\xbe\xd0\xbd\xd1\x82\xd0\xb0\xd0\xba\xd1\x82\xd0\xb5	http://vksovet.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1365242224.403732	CvjXjh4TpTBmsIrdU	192.168.109.10	1031	213.180.193.119	80	3	GET	mc.yandex.ru	/watch/19954024/1?rn=567883&wmode=5&callback=_ymjsp624907&page-url=http://vksovet.ru/&browser-info=j:1:s:800x600x24:f:10.0.32.18:w:780x475:z:-300:i:20130406085505:en:utf-8:v:1825:c:1:la:en-us:hid:543419914:wn:15438:hl:0:t:\xd0\xa1\xd0\xb1\xd0\xbe\xd1\x80\xd0\xbd\xd0\xb8\xd0\xba \xd1\x80\xd1\x83\xd0\xba\xd0\xbe\xd0\xb2\xd0\xbe\xd0\xb4\xd1\x81\xd1\x82\xd0\xb2 \xd0\xb4\xd0\xbb\xd1\x8f \xd0\xb2\xd0\x9a\xd0\xbe\xd0\xbd\xd1\x82\xd0\xb0\xd0\xba\xd1\x82\xd0\xb5	http://vksovet.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	74	200	OK	-	-	-	(empty)	-	-	-	-	-	FJAiMMaY0iIEjz5M2	text/plain
1365242224.84617	CvjXjh4TpTBmsIrdU	192.168.109.10	1031	213.180.193.119	80	4	POST	mc.yandex.ru	/webvisor/19954024?rn=42856&wv-type=0&cnt-class=0&page-url=http://vksovet.ru/&wmode=0&wv-hit=543419914&wv-part=1&wv-check=19068&browser-info=ct:0:z:-300:i:20130406085505	http://vksovet.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	64	43	200	OK	-	-	-	(empty)	-	-	-	FJVoq54vIOkHB7TnAd	text/plain	FqAe9h2Yp1OnHOAmod	image/gif
1365242225.286954	CAoDNj3Upx0tKswwX6	192.168.109.10	1032	146.255.192.10	80	1	GET	loadmoney.ru	/get_file?sid=10044&url=aHR0cDovL3Zrc292ZXQucnUvdmtzb3ZldHkucmFy&name=dmtzb3ZldHkucmFy&type=YXJjaGl2ZQ==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1365242225.936647	CmKqkg3ZWm7PE3uAng	192.168.109.10	1037	217.69.134.205	80	1	GET	dls.mail.ru	/HgICBkxZWRITAhcfGhIBGFgEA1kREwIpEhkBGBoZFxIpDhsaKUVJHxJL/archive/1808246/vksovety.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1365242226.573499	Ch9N91vd7UlK6lOpj	192.168.109.10	1038	217.69.133.125	80	1	GET	dls3.mail.ru	/output/hgicbkxzwritahcfghibgfgea1krewipehkbgbozfxipdhsakuvjhxjl/00/1b/97/76/archive/vksovety.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13140	200	OK	-	-	-	(empty)	-	-	-	-	-	F0d4GL31Ok0TJE2T1l	application/x-dosexec
1365242226.741384	CvjXjh4TpTBmsIrdU	192.168.109.10	1031	213.180.193.119	80	5	POST	mc.yandex.ru	/webvisor/19954024?rn=18893&wv-type=0&cnt-class=0&page-url=http://vksovet.ru/&wmode=0&wv-hit=543419914&wv-part=2&wv-check=3341&browser-info=ct:0:z:-300:i:20130406085505	http://vksovet.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	12	43	200	OK	-	-	-	(empty)	-	-	-	FCGNyI2CjAvaIV8lD2	text/plain	Frdu2T33hYgVuz4U66	image/gif
1365242239.433513	CvjXjh4TpTBmsIrdU	192.168.109.10	1031	213.180.193.119	80	6	GET	mc.yandex.ru	/watch/19954024?rn=147060&browser-info=j:1:s:800x600x24:f:10.0.32.18:w:780x454:z:-300:i:20130406085520:en:utf-8:v:1825:c:1:la:en-us:ar:1:nb:1:cl:234:hid:543419914:wn:15438:hl:0	http://vksovet.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FNvhFJ23N8ZhMep7xj	image/gif
1365242241.949189	CvjXjh4TpTBmsIrdU	192.168.109.10	1031	213.180.193.119	80	7	POST	mc.yandex.ru	/webvisor/19954024?rn=35620&wv-type=0&cnt-class=0&page-url=http://vksovet.ru/&wmode=0&wv-hit=543419914&wv-part=3&wv-check=27553&browser-info=ct:0:z:-300:i:20130406085505	http://vksovet.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	192	43	200	OK	-	-	-	(empty)	-	-	-	FB5oaG4VSS73IeiF2	text/plain	F07sZb23Q1Jod1ED12	image/gif
