#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-12-55
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339020941.352404	C2fcRF49lSBNmbfChb	192.168.115.10	1030	69.89.31.71	80	1	GET	tandlproduce.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1339020942.116928	C7JqQZ394fUApw7CX1	192.168.115.10	1031	69.89.31.71	80	1	GET	www.tandlproduce.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25471	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhq4KS1GMwVWDdKbZ4	text/html
1339020943.255212	CmcyPs1YTxYii0OTg	192.168.115.10	1032	69.89.31.71	80	1	GET	www.tandlproduce.com	/wp-content/plugins/slideshow-gallery/css/gallery-css.php?1=1&resizeimages=Y&width=560&height=350&border=1px+solid+#CCCCCC&background=#000000&infobackground=#000000&infocolor=#FFFFFF&ver=1.0	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1968	200	OK	-	-	-	(empty)	-	-	-	-	-	FZKYty3zOXKbTrqJI9	text/plain
1339020943.412183	C7JqQZ394fUApw7CX1	192.168.115.10	1031	69.89.31.71	80	2	GET	www.tandlproduce.com	/wp-content/plugins/nextgen-gallery/css/nggallery.css?ver=1.0.0	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7106	200	OK	-	-	-	(empty)	-	-	-	-	-	F4VgFz2f17xQamPmk	text/plain
1339020943.466941	CmcyPs1YTxYii0OTg	192.168.115.10	1032	69.89.31.71	80	2	GET	www.tandlproduce.com	/wp-content/plugins/nextgen-gallery/shutter/shutter-reloaded.css?ver=1.3.2	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1595	200	OK	-	-	-	(empty)	-	-	-	-	-	F2ocWF3acvIB4t6XWj	text/plain
1339020943.509258	C7JqQZ394fUApw7CX1	192.168.115.10	1031	69.89.31.71	80	3	GET	www.tandlproduce.com	/wp-content/plugins/shadowbox-js/shadowbox/shadowbox.css?ver=3.0.3	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1999	200	OK	-	-	-	(empty)	-	-	-	-	-	FCdhxc1xyNR15fAaMl	text/plain
1339020943.653697	CmcyPs1YTxYii0OTg	192.168.115.10	1032	69.89.31.71	80	3	GET	www.tandlproduce.com	/wp-content/plugins/shadowbox-js/css/extras.css?ver=3.0.3	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	153	200	OK	-	-	-	(empty)	-	-	-	-	-	FyxZfeMmfiS1eVlJe	text/plain
1339020943.656237	C7JqQZ394fUApw7CX1	192.168.115.10	1031	69.89.31.71	80	4	GET	www.tandlproduce.com	/wp-includes/js/l10n.js?ver=20101110	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	FWqcaskAhHkDxzeAd	text/plain
1339020943.811034	CqQZRN39vFnrYmenh4	192.168.115.10	1037	74.125.134.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.4/jquery.min.js?ver=3.2.1	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	78601	200	OK	-	-	-	(empty)	-	-	-	-	-	F2aCqtdEypIA54iU4	text/plain
1339020943.879581	CmcyPs1YTxYii0OTg	192.168.115.10	1032	69.89.31.71	80	4	GET	www.tandlproduce.com	/wp-content/plugins/slideshow-gallery/js/gallery.js?ver=1.0	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5623	200	OK	-	-	-	(empty)	-	-	-	-	-	F7BkXm3GdRKO9sTjSb	text/plain
1339020943.988118	C7JqQZ394fUApw7CX1	192.168.115.10	1031	69.89.31.71	80	5	GET	www.tandlproduce.com	/wp-includes/js/swfobject.js?ver=2.2	http://www.tandlproduce.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10220	200	OK	-	-	-	(empty)	-	-	-	-	-	F1P2l514mhT4vLLFZe	text/plain
