#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-13-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1356074830.701243	CRrUAw2o5fn8MnoUNf	192.168.64.10	1030	188.72.204.18	80	1	GET	artnudephoto.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1356074831.139131	CYOpL4NHLF372Rmz6	192.168.64.10	1031	188.165.24.210	80	1	GET	fbw.d10alentomiaxxx.info	/?404150f1eddbc3265e99296f080f3012=29&c89d4516b3d91120a2022d06f28a8fc2=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	533	200	OK	-	-	-	(empty)	-	-	-	-	-	FtNiWy2Y1Tv6vKCpLh	text/html
1356074831.374383	CtAHdp4ajkIpKCaGV2	192.168.64.10	1032	188.165.24.210	80	1	GET	fbw.d10alentomiaxxx.info	/0ab370c181284b577b473d2aa27eed2a.eot	http://fbw.d10alentomiaxxx.info/?404150f1eddbc3265e99296f080f3012=29&c89d4516b3d91120a2022d06f28a8fc2=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4191	200	OK	-	-	-	(empty)	-	-	-	-	-	Frg1M33RASt8rFGZy3	application/vnd.ms-fontobject
1356074833.252502	CLmRpT2rTPSAfLuNqi	192.168.64.10	1034	188.165.24.210	80	1	GET	188.165.24.210	/?5703ce69c99438089a26a044866b37c2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	99840	200	OK	-	-	-	(empty)	-	-	-	-	-	F2fN8UjFVA0DTJRL9	application/x-dosexec
1356074835.862154	CbXw3m4LMcoNftYxce	192.168.64.10	1039	188.165.24.210	80	1	GET	fbw.d10alentomiaxxx.info	/4416da324e026c8757887496c3acafc0/6dd4db056a137ddf6aeaa6ca21000fb9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	FCLLdZ1oBfAvhIZkA3	application/jar
1356074836.104507	CE6dIsupsjnbGfMuh	192.168.64.10	1040	188.165.24.210	80	1	GET	fbw.d10alentomiaxxx.info	/4416da324e026c8757887496c3acafc0/6dd4db056a137ddf6aeaa6ca21000fb9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	FQbA2aMAsPVg4Akm6	application/jar
1356074836.381195	C220bc2Nmd6H1XRdr5	192.168.64.10	1041	188.165.24.210	80	1	GET	fbw.d10alentomiaxxx.info	/4416da324e026c8757887496c3acafc0/6dd4db056a137ddf6aeaa6ca21000fb9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	FK5tg3ReQlqIExAi5	application/jar
1356074836.656152	CrePip29u7YoXEkdkf	192.168.64.10	1042	188.165.24.210	80	1	GET	fbw.d10alentomiaxxx.info	/4416da324e026c8757887496c3acafc0/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	99840	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw2SnQ11t4qyzdLyke	binary
1356074838.858442	CTLX5A4HolEhQn8Hu3	192.168.64.10	1045	188.165.24.210	80	1	GET	fbw.d10alentomiaxxx.info	/4416da324e026c8757887496c3acafc0/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	74752	200	OK	-	-	-	(empty)	-	-	-	-	-	F4jjjk3T0YEctJwbjf	binary
1356074839.618132	C70lGI2Qrp0PgdlPTi	192.168.64.10	1046	199.71.234.210	80	1	GET	ighklplong.funnycar.info	/get.php?id=10	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F4YgqI2nvWPIMJmAff	text/html
1356074841.373467	C8GM0s35HexSNGLOw9	192.168.64.10	1050	199.71.234.210	80	1	GET	ighklplong.funnycar.info	/get.php?id=10	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FhoMEf2unME3C9tiA8	text/html
