#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-06-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1329330801.151503	CbjbsCchiFFd2ix0k	192.168.99.10	1030	146.185.18.50	80	1	GET	jynxmaze.biz	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1329330805.972171	Cq3OYZ2Vym4k44I0O2	192.168.99.10	1035	95.168.177.91	80	1	GET	csancho.info	/?8e49b0efbea9e1fff3d84913d06e2a16	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	293	200	OK	-	-	-	(empty)	-	-	-	-	-	FIHUSv2eNFdnAZ1ix2	text/html
1329330807.129679	CPWKTA4fJHoYLkmJ7f	192.168.99.10	1036	95.168.177.91	80	1	GET	csancho.info	/?64a584c879ca6f8b14807d9430e6d61b	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2472	200	OK	-	-	-	(empty)	-	-	-	-	-	FECoES33voUn1fN9H8	application/jar
1329330807.381782	C394Bl2vOtOmg9Wrqh	192.168.99.10	1038	95.168.177.91	80	1	GET	csancho.info	/?64a584c879ca6f8b14807d9430e6d61b	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2472	200	OK	-	-	-	(empty)	-	-	-	-	-	FSlfgp2HlUNGmBda96	application/jar
1329330807.674458	Cl2NSiSfDs5MKh5Hc	192.168.99.10	1039	95.168.177.91	80	1	GET	csancho.info	/?64a584c879ca6f8b14807d9430e6d61b	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2472	200	OK	-	-	-	(empty)	-	-	-	-	-	Ftcgzc39QHHJqgrEUf	application/jar
1329330807.972206	CQhTtl1cMJDmq2Lsh	192.168.99.10	1040	95.168.177.91	80	1	GET	csancho.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FGRIIf1RRGoolkguj9	text/html
1329330808.222772	CU1LvY3d6f59c3xNw1	192.168.99.10	1041	95.168.177.91	80	1	GET	csancho.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FfmGVnrNbQ8zUKrPd	text/html
1329330808.463514	CjCZ8J3Rkb4PcW8r6b	192.168.99.10	1042	95.168.177.91	80	1	GET	csancho.info	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F1akv54butnSWiT2s4	text/html
1329330808.708258	CtZXnF10F5iERrK8Ai	192.168.99.10	1043	95.168.177.91	80	1	GET	csancho.info	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTJ6Sc3cFaaO1IxWv5	text/html
1329330810.033375	CZN8RW1TsFIvHNc5L7	192.168.99.10	1037	95.168.177.91	80	1	GET	csancho.info	/?57cc44c0427180e3b60047bf062f9057	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2959	200	OK	-	-	-	(empty)	-	-	-	-	-	FcWYGw1A4tNzPoK59i	application/jar
1329330810.274765	CqzZyG2qyOQTNTPGjf	192.168.99.10	1045	95.168.177.91	80	1	GET	csancho.info	/?57cc44c0427180e3b60047bf062f9057	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2959	200	OK	-	-	-	(empty)	-	-	-	-	-	FK2Cgj2f22MCGJu5kl	application/jar
