#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-30
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337233842.492832	C7Q46MU7dvas165S2	192.168.111.10	1030	202.75.219.120	80	1	GET	kamennet.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	142	302	Found	-	-	-	(empty)	-	-	-	-	-	FisXpI2MZaDCZ7y2hg	text/html
1337233842.963047	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	1	GET	www.kamenwang.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18001	200	OK	-	-	-	(empty)	-	-	-	-	-	FLmhYl3B7SW0o6qP32	text/html
1337233843.481584	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	2	GET	www.kamenwang.com	/css/link.css	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2473	200	OK	-	-	-	(empty)	-	-	-	-	-	FEhzLQ2kSIaA4MFyT8	text/plain
1337233843.727519	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	3	GET	www.kamenwang.com	/images/taobao/css.css	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1846	200	OK	-	-	-	(empty)	-	-	-	-	-	FqNHq74fMnZ97o9J24	text/plain
1337233843.72618	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	1	GET	www.kamenwang.com	/css/_header_header-min.css	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17751	200	OK	-	-	-	(empty)	-	-	-	-	-	FIuNNkF3Zh9uxir01	text/plain
1337233843.981939	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	4	GET	www.kamenwang.com	/css/main.css	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5286	200	OK	-	-	-	(empty)	-	-	-	-	-	F5QNSn2sxVfDr8cslh	text/x-asm
1337233844.211827	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	2	GET	www.kamenwang.com	/js/swfobject.js	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26337	200	OK	-	-	-	(empty)	-	-	-	-	-	FKjHhktqNKTgJEVJb	text/plain
1337233845.008773	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	5	GET	www.kamenwang.com	/user/GoodsManage/js/artDialog.js	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25164	200	OK	-	-	-	(empty)	-	-	-	-	-	FsQ7b24nAXd33GwxL5	text/plain
1337233845.521984	CgcaSt1GCBYNeVZrYc	192.168.111.10	1032	42.120.41.95	80	3	GET	www.kamenwang.com	/user/GoodsManage/skin/chrome/chrome.css	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3754	200	OK	-	-	-	(empty)	-	-	-	-	-	F7cX9KhUpqEd1n72j	text/plain
1337233845.78269	Cd39jNwArPWfgm8O7	192.168.111.10	1031	42.120.41.95	80	6	GET	www.kamenwang.com	/js/desc-min.js	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5016	200	OK	-	-	-	(empty)	-	-	-	-	-	FmIM8J3jihaOk3m0ll	text/plain
1337233846.550874	CnEtZd4hTxjgllLh6h	192.168.111.10	1037	114.80.132.160	80	1	GET	exp.cms.grandcloud.cn	/speed_test.php?host_id=79&style=6	http://www.kamenwang.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3514	200	OK	-	-	-	(empty)	-	-	-	-	-	F2jRSI1Eevw5Nit9Ik	text/plain
