#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-44
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1349790327.340181	CxBCyu40ahO8KO57zb	192.168.79.10	1030	205.178.189.131	80	1	GET	avworld.ca	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	122	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F5Z3oU9eFdAmXkut9	text/html
1349790327.417682	CJ58l57J7kLXKlUB7	192.168.79.10	1031	64.22.67.151	80	1	GET	www.aviationworld.net	/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80461	200	OK	-	-	-	(empty)	-	-	-	-	-	F4VSTBSzcf6CRb0yi	text/html
1349790327.600251	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	1	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/aw_featuredproducts/css/main.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	389	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOudSj2vwGefRVBvx4	text/html
1349790327.656499	C7MkBP1HSdS54wpIO4	192.168.79.10	1033	64.22.67.151	80	1	GET	www.aviationworld.net	/js/index.php?c=auto&f=,prototype/prototype.js,prototype/validation.js,scriptaculous/builder.js,scriptaculous/effects.js,scriptaculous/dragdrop.js,scriptaculous/controls.js,scriptaculous/slider.js,varien/js.js,varien/form.js,varien/menu.js,mage/translate.js,mage/cookies.js	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	270027	200	OK	-	-	-	HTTP::URI_SQLI	-	-	-	-	-	Fzfhxe2PsglnnxaDPl	text/html
1349790327.804	CScLa6DHE5jE0CkG7	192.168.79.10	1035	64.22.67.151	80	1	GET	www.aviationworld.net	/js/index.php?c=auto&f=,lib/ds-sleight.js,varien/iehover-fix.js	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4392	200	OK	-	-	-	(empty)	-	-	-	-	-	FYbZby7DojknyJa78	text/plain
1349790327.795644	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	2	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/reset.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2415	200	OK	-	-	-	(empty)	-	-	-	-	-	FVcvRz1GlTlcMbJcO6	text/plain
1349790327.816506	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	3	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/menu.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3396	200	OK	-	-	-	(empty)	-	-	-	-	-	FUyYun4LTxzoFXRepj	text/plain
1349790327.81678	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	1	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/boxes.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	68903	200	OK	-	-	-	(empty)	-	-	-	-	-	FKMkDy1FGqHSDNQmm1	text/plain
1349790327.837909	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	4	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/clears.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2233	200	OK	-	-	-	(empty)	-	-	-	-	-	FTwbwu1xZnfhYoir4l	text/plain
1349790327.870885	Cc3vh04Yt6g7c7BjKj	192.168.79.10	1032	72.21.81.253	80	5	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/aw-templates.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7627	200	OK	-	-	-	(empty)	-	-	-	-	-	FYIq5PDSLxQslYbF6	text/plain
1349790327.870555	CUHvgp3OHlsJi4RFCb	192.168.79.10	1034	72.21.81.253	80	2	GET	lcdn.aviationworld.net	/801AC2/aviationworld/skin/frontend/GProxy_Design/AW/css/aw-styles.css	http://www.aviationworld.net/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5598	200	OK	-	-	-	(empty)	-	-	-	-	-	FjZyBE1wbvkS2rlBfj	text/plain
