#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-07-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1373127296.358597	CCX5sM1EVryDZUioT7	192.168.64.10	1030	67.221.183.64	80	1	GET	billboard.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1373127296.509898	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	1	GET	www.billboard.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85720	200	OK	-	-	-	(empty)	-	-	-	-	-	FqEPblCHnSZMNs97h	text/html
1373127296.554404	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	2	GET	www.billboard.com	/files/css/css_pbm0lsQQJ7A7WCCIMgxLho6mI_kBNgznNUWmTWcnfoE.css	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7518	200	OK	-	-	-	(empty)	-	-	-	-	-	FYP0wo32QQ1T8wBSX	text/plain
1373127296.557765	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	1	GET	www.billboard.com	/files/css/css_H2Ds0Szmus79ZU6G0Gv8be7ZJhXfUee6g7XMh6DqVAQ.css	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9490	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm4hnZoeYoPkp95Tf	text/plain
1373127296.562293	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	3	GET	www.billboard.com	/files/css/css_5lmJU3VDpP36N4bMELnYyv7Dmk4oz-NnC9uNeZpRwxc.css	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8573	200	OK	-	-	-	(empty)	-	-	-	-	-	FI4UOw1Qo1X6AuGxg4	text/plain
1373127296.567859	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	4	GET	www.billboard.com	/files/css/css_zGRh2678TvYYO5TKsSPs4EGJS8DZYacD5VNTQRhPCNk.css	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5532	200	OK	-	-	-	(empty)	-	-	-	-	-	FIkuyH1lrjEbqeSVo3	text/plain
1373127296.563411	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	2	GET	www.billboard.com	/files/css/css_Z9O8n4aLSQUF1J2Aa4YLmaRkSAmhiybgFC9Z_pZV14M.css	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	270766	200	OK	-	-	-	(empty)	-	-	-	-	-	FVrkGwUlGWoTyDwEh	text/plain
1373127296.657271	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	5	GET	www.billboard.com	/sites/all/themes/bb/fonts/BrownStd-Regular.eot	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	82544	200	OK	-	-	-	(empty)	-	-	-	-	-	FIaqMT1rZMNPiwk7xl	application/vnd.ms-fontobject
1373127296.656857	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	3	GET	www.billboard.com	/sites/all/themes/bb/fonts/BrownStd-Bold.eot	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85656	200	OK	-	-	-	(empty)	-	-	-	-	-	FXfxE312BKY3lhikae	application/vnd.ms-fontobject
1373127296.703633	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	6	GET	www.billboard.com	/sites/all/themes/bb/fonts/BrownStd-Bold.otf	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	67288	200	OK	-	-	-	(empty)	-	-	-	-	-	Far2X63DTAP9tyPVgd	application/vnd.ms-opentype
1373127296.704109	C14vhr3aMHOEhKKNs5	192.168.64.10	1032	93.184.216.229	80	4	GET	www.billboard.com	/sites/all/themes/bb/fonts/BrownStd-Regular.otf	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	64356	200	OK	-	-	-	(empty)	-	-	-	-	-	FHjJjH3A0ZHNHn1Aw3	application/vnd.ms-opentype
1373127296.74489	CqIGYv4UAmIJmO84X1	192.168.64.10	1031	93.184.216.229	80	7	GET	www.billboard.com	/files/js/js_Fk2EtWXE7LCynSwKaRdAXUBdaCDoMujrnIEpGHWyzko.js	http://www.billboard.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93870	200	OK	-	-	-	(empty)	-	-	-	-	-	FMxIVm4BGeBvn0j8Ua	text/html
