#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-38-51
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1317666914.963526	CEwfjU1PVueMT6yKTc	192.168.77.10	1029	95.168.165.225	80	1	GET	gogohohoho.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	246	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FH5JrO5VsThMupAK3	text/html
1317666915.19046	C2ajND3upsHwiUhPzk	192.168.77.10	1035	109.236.82.49	80	1	GET	mobilepornodownload.in	/?site=22	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7955	200	OK	-	-	-	(empty)	-	-	-	-	-	FIcexj4m0ZOP3piY1h	text/html
1317666916.492369	CuvnhtLTkLA2wXnb4	192.168.77.10	1040	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6064	200	OK	-	-	-	(empty)	-	-	-	-	-	F2lzyn4eMYafD3eCy2	application/jar
1317666916.494417	Coy3Ng1il7eGyfKsh6	192.168.77.10	1039	109.236.82.49	80	1	GET	1844204081	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14160	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq50VN1YwxTIwmN4g4	application/x-java-applet
1317666916.495459	CLCZc71ekU6tx7jBQ1	192.168.77.10	1038	109.236.82.49	80	1	GET	1844204081	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14160	200	OK	-	-	-	(empty)	-	-	-	-	-	FO9uNw2aw4BucdnwUe	application/x-java-applet
1317666916.496828	CFYTcv35Pn6GyRvnh9	192.168.77.10	1037	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19703	200	OK	-	-	-	(empty)	-	-	-	-	-	FRjRFD44OgtXZSysA3	application/jar
1317666916.909938	CJJCoL1kL6Pm3urTmf	192.168.77.10	1041	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6064	200	OK	-	-	-	(empty)	-	-	-	-	-	FSoAwg3iVbBiaTb6la	application/jar
1317666917.029587	CsDWlP2RcnHk9hCTC8	192.168.77.10	1043	109.236.82.49	80	1	GET	1844204081	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhxfai2VsckAnQyUUk	application/x-java-applet
1317666917.028763	CY68KX40S66LGKiz2	192.168.77.10	1044	109.236.82.49	80	1	GET	1844204081	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FKwqVy2Bh7viOJxGU2	application/x-java-applet
1317666917.018451	Ch4wJa4bECfKJzajoh	192.168.77.10	1042	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19703	200	OK	-	-	-	(empty)	-	-	-	-	-	FuJMsF3C09MNJ8uiL3	application/jar
1317666917.237669	Cdljup1t5QsuHlxMAd	192.168.77.10	1045	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6064	200	OK	-	-	-	(empty)	-	-	-	-	-	F0WaSQ2lPy6PVlGArb	application/jar
1317666917.345763	C3xPHM3kVjoYkcAGTj	192.168.77.10	1046	109.236.82.49	80	1	GET	109.236.82.49	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	25600	200	OK	-	-	-	(empty)	-	-	-	-	-	FzL6iU2n2PCCu4xM1c	application/x-dosexec
1317666917.635968	CMzaXl3GooRTVLpFb6	192.168.77.10	1047	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19703	200	OK	-	-	-	(empty)	-	-	-	-	-	Fv6w2IJBGVoFcJSf3	application/jar
1317666918.108568	CukDjsBDUjTlfKyf4	192.168.77.10	1048	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	518	200	OK	-	-	-	(empty)	-	-	-	-	-	FBIWN137PfqVX7ep35	binary
1317666918.861677	CX11zM1eVnDU0p1Iif	192.168.77.10	1049	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6064	200	OK	-	-	-	(empty)	-	-	-	-	-	F6PrNHeLG3a5TU2Y4	application/jar
1317666918.901325	Cragz94n1iQXmE97uh	192.168.77.10	1050	109.236.82.49	80	1	GET	mobilepornodownload.in	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	25600	200	OK	-	-	-	(empty)	-	-	-	-	-	FeVENBJEqQa9E014l	application/x-dosexec
#close	2014-04-03-10-38-52
