#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-54-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1362180934.069562	CISmDA42uvsH9qhku7	192.168.28.10	1030	184.168.221.22	80	1	GET	interconnectcare.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1362180934.172941	Cmvo5S10NItsrqDzJ9	192.168.28.10	1031	97.74.144.110	80	1	GET	www.aaainterconnectcare.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7311	200	OK	-	-	-	(empty)	-	-	-	-	-	FfgM8n4aLs7WSCzbt3	text/html
1362180934.506685	Cmvo5S10NItsrqDzJ9	192.168.28.10	1031	97.74.144.110	80	2	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/lt-ie7.css	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	175	200	OK	-	-	-	(empty)	-	-	-	-	-	FXkBmBCEu0TJ8FrVl	text/plain
1362180934.567615	Cmvo5S10NItsrqDzJ9	192.168.28.10	1031	97.74.144.110	80	3	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/dropdown.js	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	373	200	OK	-	-	-	(empty)	-	-	-	-	-	FVu7Mv4hlD9buls16k	text/plain
1362180934.507727	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	1	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/style.css	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14265	200	OK	-	-	-	(empty)	-	-	-	-	-	FssXbi4uFaQbO6c3D9	text/plain
1362180934.688803	Cmvo5S10NItsrqDzJ9	192.168.28.10	1031	97.74.144.110	80	4	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/lte-ie7.css	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	83	200	OK	-	-	-	(empty)	-	-	-	-	-	FnbE9C3Q9yC7jCPHP2	text/plain
1362180934.689592	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	2	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/dropdown.css	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1011	200	OK	-	-	-	(empty)	-	-	-	-	-	FtMQku45r91Lo7J1k	text/plain
1362180934.771841	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	3	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/body-bg.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	858	200	OK	-	-	-	(empty)	-	-	-	-	-	FE0xSB39eCLT2LXYsf	image/gif
1362180934.747241	Cmvo5S10NItsrqDzJ9	192.168.28.10	1031	97.74.144.110	80	5	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/frontphoto.jpg	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9351	200	OK	-	-	-	(empty)	-	-	-	-	-	FFTKUC3rjEq1Ja5rRb	image/jpeg
1362180934.830007	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	4	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/container-bg.jpg	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12814	200	OK	-	-	-	(empty)	-	-	-	-	-	FCoQWD49liu1Q7P1Oa	image/jpeg
1362180935.002686	CIrB7b1RPBPmysiuWh	192.168.28.10	1032	97.74.144.110	80	5	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/menu-bg.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1916	200	OK	-	-	-	(empty)	-	-	-	-	-	F3z07z1Y8t4mTA0xl6	image/gif
