#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-56-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314938368.924423	CtbjtFOsfD7TFnor5	192.168.34.10	1030	95.168.165.224	80	1	GET	chubbymoviesporn.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	239	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F29prTinTqDwjqfs	text/html
1314938369.145832	Cg4JXh4wroW4Kb3tAe	192.168.34.10	1031	109.236.82.46	80	1	GET	a.netmaniak.org	/?site=14	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7311	200	OK	-	-	-	(empty)	-	-	-	-	-	FmovYq2G6cdAScGZqe	text/html
1314938372.180081	CjX8UF1C74FI0BAoR4	192.168.34.10	1037	109.236.82.46	80	1	GET	a.netmaniak.org	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	F2WEIw3hIxZfcqmWB3	application/jar
1314938372.175604	CWYHrI3w5UGlHLoXLb	192.168.34.10	1036	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12296	200	OK	-	-	-	(empty)	-	-	-	-	-	F8y0ld3AUa9uri8Kw8	application/x-java-applet
1314938372.181828	CfE51H1kafQBvvXz52	192.168.34.10	1038	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12296	200	OK	-	-	-	(empty)	-	-	-	-	-	FslhP4DZ8Uwf62xM2	application/x-java-applet
1314938372.181521	Ca9mOK3UwSVjoLtvgc	192.168.34.10	1039	109.236.82.46	80	1	GET	a.netmaniak.org	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	FTb8JINeJ0vyXYOQl	application/jar
1314938372.504569	CO6pXl404pJIVARGWe	192.168.34.10	1040	109.236.82.46	80	1	GET	a.netmaniak.org	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	FskQy8zBS3x3nhTs1	application/jar
1314938372.6135	ChHrZf2iySwGZV4Ei8	192.168.34.10	1041	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FnzXYl3cxPfoAZ78eb	application/x-java-applet
1314938372.61969	CgGpAk3EJRqgSyYg8l	192.168.34.10	1042	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FORKpV3ONlEhunAn23	application/x-java-applet
1314938372.832433	CKMnrJ2mCxGMOIP5si	192.168.34.10	1044	109.236.82.46	80	1	GET	a.netmaniak.org	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk5Fq73vTl9F7SjHR7	application/jar
1314938372.683868	CzJPhEsJSoR5RmPw5	192.168.34.10	1043	109.236.82.46	80	1	GET	a.netmaniak.org	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn0S5b4Sb3pjNze6c4	application/jar
