#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-53-23
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1336414862.014547	CrjP3A2Tv09zOzTOyi	192.168.43.10	1032	74.125.45.95	80	unescaped_special_URI_char	-	F	bro
1336414862.624392	-	-	-	-	-	unknown_protocol_2	-	F	bro
1336414901.689678	CGyGqWjZ1bQEjTfDe	192.168.43.10	1092	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.750213	CraUdF4u06HLaC6bU8	192.168.43.10	1094	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.873819	CdFfdw2Bf8wdtH9dq1	192.168.43.10	1096	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.876523	CoHdBf1Kjj7cSeim0j	192.168.43.10	1098	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.88314	CI8G4C3fL62r43lEV7	192.168.43.10	1100	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.896665	C9QJK9qaFbjHhePuc	192.168.43.10	1102	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.903142	CV2e1l2RJy10tTUeOj	192.168.43.10	1104	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.907326	CeXnCg3OXZIMvMNhJ3	192.168.43.10	1106	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.940421	CVtA1A45ctbVb41Gv8	192.168.43.10	1108	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.942676	CqIBu11OuVzVTxH71f	192.168.43.10	1110	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.944318	CsnExb1tfdrLpSh8Hi	192.168.43.10	1112	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414901.951445	Cpta8A2ubgd0SOvMI1	192.168.43.10	1114	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414902.841554	CCIa4l4BXCicUYIqOf	192.168.43.10	1117	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336414902.854759	CrKiIBUlOXF91NtMh	192.168.43.10	1119	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-53-24
