#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-16-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1358465048.093147	CctYawws82UBJ8767	192.168.11.10	1030	70.85.235.89	80	1	GET	yourofficeannex.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1358465050.198301	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	1	GET	www.yourofficeannex.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12058	200	OK	-	-	-	(empty)	-	-	-	-	-	FZCeJtWK1kBGdXkH	text/html
1358465050.708895	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	2	GET	www.yourofficeannex.com	/wp-content/plugins/contact-form-7/styles.css?ver=2.1	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	877	200	OK	-	-	-	(empty)	-	-	-	-	-	FfTzAs4OhioBPbV0Bl	text/plain
1358465050.7252	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	1	GET	www.yourofficeannex.com	/wp-content/themes/YOA/style.css	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5151	200	OK	-	-	-	(empty)	-	-	-	-	-	F4jDsg2EoQIePIIkva	text/x-c
1358465050.75724	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	2	GET	www.yourofficeannex.com	/wp-includes/js/comment-reply.js?ver=20090102	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	786	200	OK	-	-	-	(empty)	-	-	-	-	-	FttxWy3bEBD9kyuGwl	text/plain
1358465050.749561	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	3	GET	www.yourofficeannex.com	/wp-content/plugins/multi-level-navigation-plugin/style.php	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3530	200	OK	-	-	-	(empty)	-	-	-	-	-	FLRPec4iRHv9wm6zb6	text/plain
1358465051.695616	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	3	GET	www.yourofficeannex.com	/wp-includes/js/jquery/jquery.js?ver=1.3.2	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	57276	200	OK	-	-	-	(empty)	-	-	-	-	-	FtEqH13dFsFowaVTTl	text/plain
1358465052.054368	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	4	GET	www.yourofficeannex.com	/wp-content/plugins/multi-level-navigation-plugin/scripts/hoverIntent.js.php?ver=r5	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4625	200	OK	-	-	-	(empty)	-	-	-	-	-	F5ciZe4x0FvusIIMU5	text/plain
1358465052.407789	Cws5M43rKAjYvBOUs1	192.168.11.10	1036	70.85.235.89	80	4	GET	www.yourofficeannex.com	/wp-content/plugins/multi-level-navigation-plugin/scripts/superfish.js?ver=1.4.8	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2803	200	OK	-	-	-	(empty)	-	-	-	-	-	FjmEAZ1xVeqRz74tJj	text/plain
1358465052.458392	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	5	GET	www.yourofficeannex.com	/wp-content/plugins/multi-level-navigation-plugin/scripts/superfish_settings.js.php?ver=1.0	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	387	200	OK	-	-	-	(empty)	-	-	-	-	-	FeR8Dv1douTaLv3vmh	text/plain
1358465052.847228	CGkjOm3dhDprS5nHh1	192.168.11.10	1031	70.85.235.89	80	6	GET	www.yourofficeannex.com	/wp-content/themes/YOA/imgs/brochure.jpg	http://www.yourofficeannex.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24603	200	OK	-	-	-	(empty)	-	-	-	-	-	FXFow7metrSARoUd	image/jpeg
