#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-01-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339936345.799926	CcRPov2qUr54NwYtxb	192.168.113.10	1029	217.70.184.38	80	1	GET	progarde.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	269	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FCxq713FlaydW3Th6d	text/html
1339936345.9984	CcuYAI13jmk0edIoOf	192.168.113.10	1030	66.254.38.21	80	1	GET	membre.megaquebec.net	/regent/progarde/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23385	200	OK	-	-	-	(empty)	-	-	-	-	-	FRdHrW2jsday0oDIw6	text/html
1339936346.14255	CyXX8P1kUm3W6J523c	192.168.113.10	1034	66.254.38.21	80	1	GET	membre.megaquebec.net	/regent/progarde/abstrait.jpg	http://membre.megaquebec.net/regent/progarde/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4604	200	OK	-	-	-	(empty)	-	-	-	-	-	F08whw127yRCk7dNB3	image/jpeg
1339936346.214824	CcuYAI13jmk0edIoOf	192.168.113.10	1030	66.254.38.21	80	2	GET	membre.megaquebec.net	/regent/progarde/entete.gif	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10596	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbsj2l25tUHWLgOgtk	image/gif
1339936346.389867	CyXX8P1kUm3W6J523c	192.168.113.10	1034	66.254.38.21	80	2	GET	membre.megaquebec.net	/regent/progarde/Progarde.gif	http://membre.megaquebec.net/regent/progarde/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2033	200	OK	-	-	-	(empty)	-	-	-	-	-	FxyTaf1qqw0fSr1Kb1	image/gif
1339936346.434163	CcuYAI13jmk0edIoOf	192.168.113.10	1030	66.254.38.21	80	3	GET	membre.megaquebec.net	/regent/progarde/ordi.gif	http://membre.megaquebec.net/regent/progarde/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7703	200	OK	-	-	-	(empty)	-	-	-	-	-	FjEBE3WcOWZNoiRG	image/gif
1339936346.448624	CyXX8P1kUm3W6J523c	192.168.113.10	1034	66.254.38.21	80	3	GET	membre.megaquebec.net	/regent/progarde/gauche.gif	http://membre.megaquebec.net/regent/progarde/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3579	200	OK	-	-	-	(empty)	-	-	-	-	-	F8GV904hOBCyyuuvsf	image/gif
1339936346.515126	CyXX8P1kUm3W6J523c	192.168.113.10	1034	66.254.38.21	80	4	GET	membre.megaquebec.net	/regent/progarde/Souril.gif	http://membre.megaquebec.net/regent/progarde/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1390	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw2XRTRCLlWWqqWLk	image/gif
1339936346.514809	CcuYAI13jmk0edIoOf	192.168.113.10	1030	66.254.38.21	80	4	GET	membre.megaquebec.net	/regent/progarde/boitlettr.gif	http://membre.megaquebec.net/regent/progarde/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12757	200	OK	-	-	-	(empty)	-	-	-	-	-	FbUm1b3fkcKOTY7meg	image/gif
1339936346.418384	Cz5OLB17CPPZfgWThf	192.168.113.10	1036	168.144.130.30	80	1	GET	www.megaquebec.net	/scripts/counter.exe?link=reg1&style=odometer	http://membre.megaquebec.net/regent/progarde/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26017	200	OK	-	-	-	(empty)	-	-	-	-	-	F27SrK1PutknL32rvc	application/x-dosexec
#close	2014-04-03-11-01-48
