#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-31-00
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331404802.472598	C8GaJ041RKAoTKMtL9	192.168.44.10	1030	50.22.65.189	80	1	GET	arizontennisdomes.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1331404802.886394	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	1	GET	www.arizontennisdomes.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19059	200	OK	-	-	-	(empty)	-	-	-	-	-	FeUaQjkjR8TK3zkNh	text/html
1331404803.378779	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	2	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/css/reset.css	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1014	200	OK	-	-	-	(empty)	-	-	-	-	-	FZpyVUBYmUH6Cvqr6	text/plain
1331404803.466785	CgTWcw2EVdzYlFwNg8	192.168.44.10	1033	74.125.47.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.5.1/jquery.min.js	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85260	200	OK	-	-	-	(empty)	-	-	-	-	-	FWgqbo3B9FnZEzpeAf	text/plain
1331404803.46708	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	1	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/css/fonts.css	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1743	200	OK	-	-	-	(empty)	-	-	-	-	-	FGRnF93jpbZU1MTOSh	text/plain
1331404803.467243	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	3	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/style.css	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	122	200	OK	-	-	-	(empty)	-	-	-	-	-	FS8GX21ymPsJdmyz8	text/plain
1331404803.514918	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	4	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/css/fonts/avenirltstd-heavy-webfont.eot	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36478	200	OK	-	-	-	(empty)	-	-	-	-	-	FQCIve4A9APNwTUiR6	application/vnd.ms-fontobject
1331404803.514413	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	2	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/css/fonts/avenirltstd-book-webfont.eot	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37182	200	OK	-	-	-	(empty)	-	-	-	-	-	FoL69t02D3ne8Zdgg	application/vnd.ms-fontobject
1331404803.561474	CVlLaS1EAIt9Bf3CW9	192.168.44.10	1034	188.165.3.22	80	1	GET	sridharmasasthatemple.org	/?site=14	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1667	200	OK	-	-	-	(empty)	-	-	-	-	-	FtNNKuT4IPS3G6xce	text/html
1331404803.626359	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	5	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/css/fonts/avenirltstd-medium-webfont.eot	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37086	200	OK	-	-	-	(empty)	-	-	-	-	-	FVWZAr1pqC1lVop539	application/vnd.ms-fontobject
1331404803.630019	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	3	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/css/fonts/avenirltstd-light-webfont.eot	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21562	200	OK	-	-	-	(empty)	-	-	-	-	-	FumOcM2gzdVfxRPF26	application/vnd.ms-fontobject
1331404803.688521	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	6	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/css/fonts/OSP-DIN-webfont.eot	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8268	200	OK	-	-	-	(empty)	-	-	-	-	-	FoSlSy2syKI0ucAHej	application/vnd.ms-fontobject
1331404803.688777	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	4	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/css/style.css	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13202	200	OK	-	-	-	(empty)	-	-	-	-	-	FhDBnN2GfVOnRaniBf	text/plain
1331404803.97105	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	7	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/bg2.gif	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11921	200	OK	-	-	-	(empty)	-	-	-	-	-	FyR7ekaT5vGZyNGW	image/gif
1331404804.338764	CpyFL92LqgXN622Mod	192.168.44.10	1035	207.97.227.245	80	1	GET	malsup.github.com	/chili-1.7.pack.js	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7008	200	OK	-	-	-	(empty)	-	-	-	-	-	FUXW684IDtUTcNHQX5	text/plain
1331404804.467664	C4INWO2K8cw8a1xLbc	192.168.44.10	1036	216.137.47.250	80	1	GET	cloud.github.com	/downloads/malsup/cycle/jquery.cycle.all.2.72.js	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	44173	200	OK	-	-	-	(empty)	-	-	-	-	-	FgBPda3JbIUCyEYr32	text/plain
1331404804.723282	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	8	GET	www.arizontennisdomes.com	/wp-content/plugins/nextgen-gallery/shutter/shutter-reloaded.css?ver=1.3.2	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1595	200	OK	-	-	-	(empty)	-	-	-	-	-	FnCW4NGvX6krMAj03	text/plain
1331404804.722944	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	5	GET	www.arizontennisdomes.com	/wp-content/plugins/nextgen-gallery/css/nggallery.css?ver=1.0.0	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7106	200	OK	-	-	-	(empty)	-	-	-	-	-	FtxMKZ1eX5axiVqAi	text/plain
1331404804.756757	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	9	GET	www.arizontennisdomes.com	/wp-includes/js/l10n.js?ver=20101110	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	FinygO3qdS1Iedkeo7	text/plain
1331404804.816729	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	6	GET	www.arizontennisdomes.com	/wp-content/plugins/nextgen-gallery/shutter/shutter-reloaded.js?ver=1.3.2	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9808	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdr9Cb2qT0xLN1fxag	text/plain
1331404804.943685	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	10	GET	www.arizontennisdomes.com	/wp-includes/js/jquery/jquery.js?ver=1.6.1	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91363	200	OK	-	-	-	(empty)	-	-	-	-	-	FNunoI1aVDPQ3kgB5	text/html
1331404805.179248	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	7	GET	www.arizontennisdomes.com	/wp-content/plugins/nextgen-gallery/js/jquery.cycle.all.min.js?ver=2.88	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31032	200	OK	-	-	-	(empty)	-	-	-	-	-	FsxBc02mJHeewKQaQi	text/plain
1331404805.324352	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	11	GET	www.arizontennisdomes.com	/wp-content/plugins/nextgen-gallery/js/ngg.slideshow.min.js?ver=1.05	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1750	200	OK	-	-	-	(empty)	-	-	-	-	-	Fcj2Zu4Tn5zvRtuuS2	text/plain
1331404805.404312	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	8	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/wtt-logo.gif	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2984	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm3mst1vQK5rJfvOb4	image/gif
1331404805.404746	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	12	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/sportimes_color.gif	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	855	200	OK	-	-	-	(empty)	-	-	-	-	-	FdFIGdIP5ypePrZH5	image/gif
1331404805.533554	CqRHVb2SZYdkLazzBd	192.168.44.10	1031	50.22.65.189	80	13	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/call-us-header.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9323	200	OK	-	-	-	(empty)	-	-	-	-	-	FkzSol1rnHQoqjmrDe	image/png
1331404805.533332	ChwJ8N2hCHZ9mXfgkc	192.168.44.10	1032	50.22.65.189	80	9	GET	www.arizontennisdomes.com	/wp-content/themes/arizontennis/images/arizon-tennis-logo.png	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5909	200	OK	-	-	-	(empty)	-	-	-	-	-	F2oVRC2uLQHURLTmv	image/png
1331404805.532925	CGHx901A3ONUpM6Gbj	192.168.44.10	1044	50.22.65.189	80	1	GET	arizonstructures.com	/arizontennisdomes/wp-content/uploads/2011/07/sportimes_color.gif	http://www.arizontennisdomes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	855	200	OK	-	-	-	(empty)	-	-	-	-	-	FdViX7W77YfQoRpGd	image/gif
