#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-52-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314546048.002137	Cfh4gq3qXuBMQQF0z8	192.168.80.10	1030	78.47.64.212	80	1	GET	poot.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51966	302	Found	-	-	-	(empty)	-	-	-	-	-	Fdj04H3duJCf1ND8ed	text/html
1314546049.357321	CU4DqhCXoU3cvQfIl	192.168.80.10	1032	80.246.114.204	80	1	GET	www.poot.com	/includes/js.js	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5812	200	OK	-	-	-	(empty)	-	-	-	-	-	FrnMvK1In8pbOSWwO1	text/plain
1314546049.711899	CHUl9k3VTOxcvq3kDi	192.168.80.10	1033	80.246.114.204	80	1	GET	www.poot.com	/stylesheets.css	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7944	200	OK	-	-	-	(empty)	-	-	-	-	-	FG3UIe3Xpvn6VTiRl4	text/plain
1314546048.987778	Crq6wMJvkEOGyGh16	192.168.80.10	1031	80.246.114.204	80	1	GET	www.poot.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11146	200	OK	-	-	-	(empty)	-	-	-	-	-	FpQqm3336QtJjgmIbb	text/html
1314546050.051257	CEkVFh4qOi9aQ2l5sb	192.168.80.10	1035	80.246.114.204	80	1	GET	www.poot.com	/stylesheets_ie.css	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	293	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F6rTqI3KUk2txb1NCk	text/html
1314546050.085766	CRBfLJ3VaR87XaaZs5	192.168.80.10	1036	80.246.114.204	80	1	GET	www.poot.com	/images/3.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	598	200	OK	-	-	-	(empty)	-	-	-	-	-	F2he9x1X0VuTNV0zH7	image/jpeg
1314546049.892724	CQWl0E2xCuEXyWdrMd	192.168.80.10	1034	188.127.228.44	80	1	GET	maseoi1l4f.c0m.li	/i/fttpp27vecher	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2333	200	OK	-	-	-	(empty)	-	-	-	-	-	FsCm1ACrcdMNOl8T2	text/html
1314546050.541616	CQWl0E2xCuEXyWdrMd	192.168.80.10	1034	188.127.228.44	80	2	GET	maseoi1l4f.c0m.li	/x/62e130dfbf6a7d1951c5681d72530e1febe3aee632811f99b79200257b140e55_js?java=42&adobe_pdf=9.1.0	http://maseoi1l4f.c0m.li/i/fttpp27vecher	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4059	200	OK	-	-	-	(empty)	-	-	-	-	-	F79Sve2RYNJoa5BqCc	text/plain
1314546050.785962	CRtltw1P8VCEHcuIQb	192.168.80.10	1041	80.246.114.204	80	1	GET	www.poot.com	/images/5.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	361	200	OK	-	-	-	(empty)	-	-	-	-	-	FiGW0QqqhYnatrcMl	image/jpeg
1314546051.051201	Csj4Qd4hVFClv2rIO1	192.168.80.10	1043	80.246.114.204	80	1	GET	www.poot.com	/images/box_hl.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	376	200	OK	-	-	-	(empty)	-	-	-	-	-	FdbZE042VNQik9Jiib	image/jpeg
1314546051.310745	C1WWPG12fTjUsInNb4	192.168.80.10	1044	80.246.114.204	80	1	GET	www.poot.com	/images/4.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1177	200	OK	-	-	-	(empty)	-	-	-	-	-	FFcbo11PwWv4shDUqd	image/jpeg
1314546050.857727	CQWl0E2xCuEXyWdrMd	192.168.80.10	1034	188.127.228.44	80	3	GET	maseoi1l4f.c0m.li	/e/1/62e130dfbf6a7d1951c5681d72530e1febe3aee632811f99b79200257b140e55_exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	115200	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxz3qx333knw4lazXl	application/x-dosexec
1314546051.577937	Cc9dce272I7cgjNOqb	192.168.80.10	1045	80.246.114.204	80	1	GET	www.poot.com	/images/1.jpg	http://www.poot.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	52533	200	OK	-	-	-	(empty)	-	-	-	-	-	FjiEy03HFbPh4LXMTf	image/jpeg
