#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-41-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1350754146.253316	ChLusD3zy0tDq7fzCb	192.168.81.10	1030	213.186.33.4	80	1	GET	ternandmedieval.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	130	200	OK	-	-	-	(empty)	-	-	-	-	-	F5CkUO3uhKWP0c4Vvl	text/plain
1350754147.79799	Cof7vg3UXTFRxDHXm5	192.168.81.10	1031	78.47.192.46	80	1	GET	uanwvisbo.portrelay.com	/vd/43;f49725934e091c6093a1ca5972aeb976	http://ternandmedieval.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1308	200	OK	-	-	-	(empty)	-	-	-	-	-	FO7eds4eqg7QnwCn8a	text/html
1350754148.128876	Cof7vg3UXTFRxDHXm5	192.168.81.10	1031	78.47.192.46	80	2	GET	uanwvisbo.portrelay.com	/vd/tmp/spacer.png	http://uanwvisbo.portrelay.com/vd/43;f49725934e091c6093a1ca5972aeb976	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	126	200	OK	-	-	-	(empty)	-	-	-	-	-	Fed4Cw4Poqe1iS7prk	image/png
1350754148.411461	Cof7vg3UXTFRxDHXm5	192.168.81.10	1031	78.47.192.46	80	3	GET	uanwvisbo.portrelay.com	/vd/out.php?p=wePzzL6RduNTh+OKhZBHfZY21JCgHFzCCfnCZC9mj6lRzgLaK6pYIPuGQpXVkTDFlW8OTsn6XZpASBUbD6Cbx2U=&nc=false&nj=false&ic=true&sw=800&sh=600&sd=24&np=false&	http://ternandmedieval.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1350754149.839161	C3MwqU2J6L8QdlURj3	192.168.81.10	1037	64.120.193.144	80	1	GET	miskayenw.8x.biz	/links/keyboard_aid_feeds.php?swuoh=02360a0837&ksoqr=333a&crbvbbxb=wev&upgh=ptmgga	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	21022	200	OK	-	-	-	(empty)	-	-	-	-	-	FyxVnq4ql4I2jwOO01	application/zip
1350754150.95497	C3MwqU2J6L8QdlURj3	192.168.81.10	1037	64.120.193.144	80	2	GET	miskayenw.8x.biz	/links/keyboard_aid_feeds.php?swuoh=02360a0837&ksoqr=333a&crbvbbxb=wev&upgh=ptmgga	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	21022	200	OK	-	-	-	(empty)	-	-	-	-	-	F58rj52o8m7T76aial	application/zip
1350754152.85904	C3MwqU2J6L8QdlURj3	192.168.81.10	1037	64.120.193.144	80	3	GET	miskayenw.8x.biz	/links/keyboard_aid_feeds.php?swuoh=02360a0837&ksoqr=333a&crbvbbxb=wev&upgh=ptmgga	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	21022	200	OK	-	-	-	(empty)	-	-	-	-	-	FariKZ3KCDieZKAHGa	application/zip
1350754148.800299	CCqGxI0BG66px3dLe	192.168.81.10	1036	64.120.193.144	80	1	GET	miskayenw.8x.biz	/links/keyboard_aid_feeds.php	http://ternandmedieval.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31162	200	OK	-	-	-	(empty)	-	-	-	-	-	FnruvB3OIH36VRUlz5	text/html
1350754163.655865	CCqGxI0BG66px3dLe	192.168.81.10	1036	64.120.193.144	80	2	GET	miskayenw.8x.biz	/links/keyboard_aid_feeds.php?swoek=02360a0837&vyabgbm=3a&duhojqz=0506050a0b0934070b06&izh=0b000300020002	http://miskayenw.8x.biz/links/keyboard_aid_feeds.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13370	200	OK	-	-	-	(empty)	-	-	-	-	-	FGQmwe1X7ivFajQsv6	application/pdf
1350754154.955938	CgiGkm0A7PYxLSZGd	192.168.81.10	1038	64.120.193.144	80	1	GET	miskayenw.8x.biz	/links/keyboard_aid_feeds.php?hf=02360a0837&de=0506050a0b0934070b06&f=02&ov=s&ae=s	-	Java/1.6.0_10	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1350754163.702267	CFKiy73r9Xubbod6rf	192.168.81.10	1039	64.120.193.144	80	1	GET	miskayenw.8x.biz	/links/keyboard_aid_feeds.php?dze=02360a0837&avcj=0506050a0b0934070b06&qeiib=04&xsbyw=dydqv&zxh=sdwub	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-41-16
