#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-49-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1360192756.793337	CugMOHHZHuJauWEh	192.168.42.10	1030	64.210.194.86	80	1	GET	televisionwithoutpity.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	245	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FMEF0WxwAcYpPwMKi	text/html
1360192756.876282	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	1	GET	www.televisionwithoutpity.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	66378	200	OK	-	-	-	(empty)	-	-	-	-	-	FaAvih2cc28z23iQgd	text/html
1360192756.915116	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	1	GET	www.televisionwithoutpity.com	/js/jquery-latest.js	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31033	200	OK	-	-	-	(empty)	-	-	-	-	-	FauYsQ3tQiUWqDhD48	text/plain
1360192757.035676	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	2	GET	www.televisionwithoutpity.com	/js/jquery.suffrage-new.js	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4326	200	OK	-	-	-	(empty)	-	-	-	-	-	FN6CjE2f31sSUJ3R74	text/plain
1360192757.087087	Cz5U4J1eUjUQiK2ho6	192.168.42.10	1033	72.246.45.72	80	1	GET	cdn.gigya.com	/JS/socialize.js?apiKey=2_selZPIo-OBQmNDRRvq52ruYtzPecuCnKWBV90SWZmD2hmPro2pxcGEozFR43CKp5	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96270	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz3OBJ3GeUXcY5mgK1	text/plain
1360192757.553986	Ckw6ly3NAl7JJzPaoi	192.168.42.10	1035	24.143.197.34	80	1	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootseq.txt	-	Microsoft-CryptoAPI/5.131.2600.2180	0	18	200	OK	-	-	-	(empty)	-	-	-	-	-	FObbkHAvAxgSzV508	text/plain
1360192757.563046	Ckw6ly3NAl7JJzPaoi	192.168.42.10	1035	24.143.197.34	80	2	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootstl.cab	-	Microsoft-CryptoAPI/5.131.2600.2180	0	49082	200	OK	-	-	-	(empty)	-	-	-	-	-	F9fi5f4wLFMKFlxKk6	application/vnd.ms-cab-compressed
1360192757.758614	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	2	GET	www.televisionwithoutpity.com	/js/twop-idx.js	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21482	200	OK	-	-	-	(empty)	-	-	-	-	-	FkXgJn4EFLyJ6XZ06d	text/plain
1360192757.831031	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	3	GET	www.televisionwithoutpity.com	/inc/sessionIDX.php	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1360192758.091555	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	4	GET	www.televisionwithoutpity.com	/css/styles.css	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	57993	200	OK	-	-	-	(empty)	-	-	-	-	-	FnXK9Tq8XAB3Qidk8	text/plain
1360192758.111186	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	5	GET	www.televisionwithoutpity.com	/css/temp.css	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	438	200	OK	-	-	-	(empty)	-	-	-	-	-	FXgpNl1cGJKG4QLB09	text/plain
1360192758.091156	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	3	GET	www.televisionwithoutpity.com	/css/main.css	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	53071	200	OK	-	-	-	(empty)	-	-	-	-	-	Fllj573OGfBmjNurl7	text/plain
1360192758.116283	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	6	GET	www.televisionwithoutpity.com	/css/ie.css	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1844	200	OK	-	-	-	(empty)	-	-	-	-	-	FBslXD2I7Mw9pGJGp	text/plain
1360192758.134068	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	4	GET	www.televisionwithoutpity.com	/css/ie6.css	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	995	200	OK	-	-	-	(empty)	-	-	-	-	-	FLHXmY3hrFeEloH7I1	text/plain
1360192758.261499	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	7	GET	www.televisionwithoutpity.com	/mt.js	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35848	200	OK	-	-	-	(empty)	-	-	-	-	-	FhOKNp1osWGP8b3gQl	text/plain
1360192758.261796	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	5	GET	www.televisionwithoutpity.com	/css/header.css	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13224	200	OK	-	-	-	(empty)	-	-	-	-	-	F54sc3283t0c6urmvh	text/plain
1360192758.473781	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	8	GET	www.televisionwithoutpity.com	/img/body_bg_home.gif	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	179	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb0ov41Hxh87YjiCah	image/gif
1360192758.624023	CngJQv1C62I24mIIEd	192.168.42.10	1036	23.64.52.170	80	1	GET	www.nbcudigitaladops.com	/hosted/global_header.js	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2009	200	OK	-	-	-	(empty)	-	-	-	-	-	FmgiR64brYt4RQ7QZi	text/plain
1360192758.660957	CngJQv1C62I24mIIEd	192.168.42.10	1036	23.64.52.170	80	2	GET	www.nbcudigitaladops.com	/hosted/js/televisionwithoutpity_com_header.js	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2845	200	OK	-	-	-	(empty)	-	-	-	-	-	Fgv3nn25ENW2QIqtwg	text/plain
1360192758.827734	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	6	GET	www.televisionwithoutpity.com	/js/ad_iframe_insert.js	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7748	200	OK	-	-	-	(empty)	-	-	-	-	-	F2gpiW2gJQajLDmSwi	text/plain
1360192758.928395	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	9	GET	www.televisionwithoutpity.com	/img/container_bg_home.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15043	200	OK	-	-	-	(empty)	-	-	-	-	-	FSi1Wy488HC9ZIqHKd	image/jpeg
1360192758.960221	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	10	GET	www.televisionwithoutpity.com	/img/television_without_pity.gif	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15482	200	OK	-	-	-	(empty)	-	-	-	-	-	F0qkF23uMLPBARYQY5	image/gif
1360192758.928692	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	7	GET	www.televisionwithoutpity.com	/img/header_main_navigation_new.gif	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20263	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhv6WHIjoGvTkb6Lk	image/gif
1360192759.072083	CngXgvyEGxG2W0Dl1	192.168.42.10	1037	98.139.135.22	80	1	GET	google.anaiytics.com	/googleapi.js	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1472	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbu9C61HgmAJoqQoQi	text/plain
1360192759.129248	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	11	GET	www.televisionwithoutpity.com	/img/dropbg.gif	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	138	200	OK	-	-	-	(empty)	-	-	-	-	-	FTJTnD1h9FIL1xmpVi	image/gif
1360192759.181067	CirybMwJ0YcpmIDl5	192.168.42.10	1039	74.125.229.219	80	1	GET	iv.doubleclick.net	/N2620/adj/twop.dart/twop_home_hp;site=twop;sect=home;tandemad=none;pageid=hp;!category=home;!c=twop;!c=home;dcopt=ist;pos=1;tile=1;sz=728x90,970x66,900x250,960x50,728x250;pm=1;u=site*twop^sect*home^tandemad*none^pageid*hp^!category*home^!c*twop,home^pos*1^tile*1^sz*728x90,970x66,900x250,960x50,728x250;ord=965279437787?	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2536	200	OK	-	-	-	(empty)	-	-	-	-	-	FghcB13pLRArb6OKnd	text/html
1360192759.256853	CB5K8q3HPFFV3DNJfa	192.168.42.10	1040	184.82.106.30	80	1	GET	last-ghostbuster.com	/cGeQc0wz1KPI/aflybing.php?esusvity=352116	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30410	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh0jQv228KclPgxVG7	text/html
1360192759.410222	C34iZs4hKrE8UCiNTj	192.168.42.10	1041	107.20.195.59	80	1	GET	fw.adsafeprotected.com	/rjss/choices.truste.com/16147/9003/ca?pid=hp01&aid=hp02&cid=92777171&c=cachebuster&w=728&h=90&plc=tl&js=10	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26335	200	OK	-	-	-	(empty)	-	-	-	-	-	FDoOZY3HyMZcvnxlU9	text/plain
1360192759.411606	CKLdMO1Tc9oTLjB4Sa	192.168.42.10	1042	107.20.195.59	80	1	GET	fw.adsafeprotected.com	/rjss/dc/16147/755684/adj/N5823.8396.COMCASTDE/B7285117.14;abr=!ie;sz=728x90;ord=5189363?	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26320	200	OK	-	-	-	(empty)	-	-	-	-	-	F3KMZT2I9MXcUsl286	text/plain
1360192759.580205	C34iZs4hKrE8UCiNTj	192.168.42.10	1041	107.20.195.59	80	2	GET	fw.adsafeprotected.com	/rjsi/dc/16147/755683/adi/N5823.8396.COMCASTDE/B7285117.14;sz=728x90;click0=http://iv.doubleclick.net/click;h=v8/3d81/3/0/*/r;267292731;0-0;0;74370853;3454-728/90;52614668/52568801/1;u=site*twop^sect*home^tandemad*none^pageid*hp^!category*home^!c*twop,home^pos*1^tile*1^sz*728x90,970x66,900x250,960x50,728x250;~okv=;site=twop;sect=home;tandemad=none;pageid=hp;!category=home;!c=twop;!c=home;dcopt=ist;pos=1;tile=1;sz=728x90,970x66,900x250,960x50,728x250;pm=1;u=site*twop^sect*home^tandemad*none^pageid*hp^!category*home^!c*twop,home^pos*1^tile*1^sz*728x90,970x66,900x250,960x50,728x250;~sscs=?;ord=5189363?	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27399	200	OK	-	-	-	(empty)	-	-	-	-	-	FYqiWg2QuOS0jf1tQh	text/html
1360192759.652205	CKLdMO1Tc9oTLjB4Sa	192.168.42.10	1042	107.20.195.59	80	2	GET	fw.adsafeprotected.com	/rfw/choices.truste.com/16147/9003/ca?pid=hp01&aid=hp02&cid=92777171&c=cachebuster&w=728&h=90&plc=tl&js=10&adsafe_url=http://www.televisionwithoutpity.com/&adsafe_type=abdfq&adsafe_jsinfo=c:3tVBcY,sl:na,em:true,fr:false,pt:1-5-15,br:i,id:5c53ab05-70b3-11e2-a73b-12313940cdab,v:3.4.0	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1360192759.692595	CRWP3X1izUNPVkxJle	192.168.42.10	1044	54.243.81.21	80	1	GET	choices.truste.com	/ca?pid=hp01&aid=hp02&cid=92777171&c=cachebuster&w=728&h=90&plc=tl&js=10	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7171	200	OK	-	-	-	(empty)	-	-	-	-	-	FKSFZh1c0deEDVLyM9	text/plain
1360192759.662077	Cqah6A4vCW1vMFyYqk	192.168.42.10	1043	64.4.52.169	80	1	POST	activex.microsoft.com	/objects/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	FrrhMX2g9m31jOHtC8	text/plain	FKSBcl4tumyUE753x3	text/plain
1360192759.986278	CKLdMO1Tc9oTLjB4Sa	192.168.42.10	1042	107.20.195.59	80	3	GET	fw.adsafeprotected.com	/rfw/dc/16147/755683/adi/N5823.8396.COMCASTDE/B7285117.14;sz=728x90;click0=http://iv.doubleclick.net/click;h=v8/3d81/3/0/*/r;267292731;0-0;0;74370853;3454-728/90;52614668/52568801/1;u=site*twop^sect*home^tandemad*none^pageid*hp^!category*home^!c*twop,home^pos*1^tile*1^sz*728x90,970x66,900x250,960x50,728x250;~okv=;site=twop;sect=home;tandemad=none;pageid=hp;!category=home;!c=twop;!c=home;dcopt=ist;pos=1;tile=1;sz=728x90,970x66,900x250,960x50,728x250;pm=1;u=site*twop^sect*home^tandemad*none^pageid*hp^!category*home^!c*twop,home^pos*1^tile*1^sz*728x90,970x66,900x250,960x50,728x250;~sscs=?;ord=5189363?&adsafe_url=http://www.televisionwithoutpity.com/&adsafe_type=ef&adsafe_jsinfo=c:3tVBi1,sl:na,em:true,fr:false,pt:1-5-15,br:i,id:5c62ec97-70b3-11e2-81ed-12313918310a,v:3.4.0	http://fw.adsafeprotected.com/rjsi/dc/16147/755683/adi/N5823.8396.COMCASTDE/B7285117.14;sz=728x90;click0=http://iv.doubleclick.net/click%3Bh%3Dv8/3d81/3/0/%2a/r%3B267292731%3B0-0%3B0%3B74370853%3B3454-728/90%3B52614668/52568801/1%3Bu%3Dsite%2Atwop%5Esect%2Ahome%5Etandemad%2Anone%5Epageid%2Ahp%5E%21category%2Ahome%5E%21c%2Atwop%2Chome%5Epos%2A1%5Etile%2A1%5Esz%2A728x90%2C970x66%2C900x250%2C960x50%2C728x250%3B%7Eokv%3D%3Bsite%3Dtwop%3Bsect%3Dhome%3Btandemad%3Dnone%3Bpageid%3Dhp%3B%21category%3Dhome%3B%21c%3Dtwop%3B%21c%3Dhome%3Bdcopt%3Dist%3Bpos%3D1%3Btile%3D1%3Bsz%3D728x90%2C970x66%2C900x250%2C960x50%2C728x250%3Bpm%3D1%3Bu%3Dsite%2Atwop%5Esect%2Ahome%5Etandemad%2Anone%5Epageid%2Ahp%5E%21category%2Ahome%5E%21c%2Atwop%2Chome%5Epos%2A1%5Etile%2A1%5Esz%2A728x90%2C970x66%2C900x250%2C960x50%2C728x250%3B%7Esscs%3D%3f;ord=5189363?	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1360192760.025071	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	12	GET	www.televisionwithoutpity.com	/photos/3/1/6/0/1_57766f7f3e89675/new-girlthA.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18439	200	OK	-	-	-	(empty)	-	-	-	-	-	F31Wi44uX5i4EuOZOk	image/jpeg
1360192760.024728	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	8	GET	www.televisionwithoutpity.com	/photos/3/1/6/0/2_1434d1abadccc5a/wrath-of-the-titansthA.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14671	200	OK	-	-	-	(empty)	-	-	-	-	-	FbtLHW1bckKX8NY4i	image/jpeg
1360192760.061479	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	13	GET	www.televisionwithoutpity.com	/photos/3/0/3/2/8_25cb3c15320ea5c/preview-horror-abcsthA.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14859	200	OK	-	-	-	(empty)	-	-	-	-	-	F6NQuC1JxkYV4Q8wCi	image/jpeg
1360192760.080826	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	14	GET	www.televisionwithoutpity.com	/photos/3/1/6/0/4_f0c98a713dc28b6/smashthA.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9375	200	OK	-	-	-	(empty)	-	-	-	-	-	FhK7RX1BItS0gqne5	image/jpeg
1360192760.075987	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	9	GET	www.televisionwithoutpity.com	/photos/3/1/6/0/3_fbd34a9245985e3/bachelorthA.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10977	200	OK	-	-	-	(empty)	-	-	-	-	-	F4vu141kcSkxxannVg	image/jpeg
1360192760.090321	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	15	GET	www.televisionwithoutpity.com	/photos/2/9/8/4/6_5d399db5db6e1da/lincoln-295-2thA.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9453	200	OK	-	-	-	(empty)	-	-	-	-	-	Fotugh4cu9prfy4br7	image/jpeg
1360192760.103737	CTbUAqQ1AP7U7CQMi	192.168.42.10	1032	72.246.45.35	80	16	GET	www.televisionwithoutpity.com	/photos/7/4/6/9_e670767acba27c0/7469thB.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9602	200	OK	-	-	-	(empty)	-	-	-	-	-	FmlUMe4qgqrNX4xjca	image/jpeg
1360192760.094244	CWErbu25mNS4JKUBHc	192.168.42.10	1031	72.246.45.35	80	10	GET	www.televisionwithoutpity.com	/photos/2/5/4/7/7_0e0904097941eee/smash-showpage-1thB.jpg	http://www.televisionwithoutpity.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8578	200	OK	-	-	-	(empty)	-	-	-	-	-	FBbOZljTBeRkI5n1h	image/jpeg
