#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-46-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357095967.29724	CzoAz53zHKxat2Ydv	192.168.62.10	1030	95.168.173.47	80	1	GET	onesextube.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357095967.66913	Cahl0S3VH9HON1qE2b	192.168.62.10	1031	94.23.76.187	80	1	GET	xht.7ladernox.info	/?6d2113418c6c0e5bed2f9a47353f86ad=28&8cf47234285444da70e4cba5fb17d6e8=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	511	200	OK	-	-	-	(empty)	-	-	-	-	-	FxjmmC4IyPLg3Sxnvj	text/html
1357095967.938456	CnKINz16LeJIoPLS7a	192.168.62.10	1032	94.23.76.187	80	1	GET	xht.7ladernox.info	/e132b92ce1ab771b491141c1262c6ec6.eot	http://xht.7ladernox.info/?6d2113418c6c0e5bed2f9a47353f86ad=28&8cf47234285444da70e4cba5fb17d6e8=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4190	200	OK	-	-	-	(empty)	-	-	-	-	-	F45KzI3JR1ovrcE3u5	application/vnd.ms-fontobject
1357095969.820825	CdSFoZ2AzJnVA8vkFk	192.168.62.10	1034	94.23.76.187	80	1	GET	94.23.76.187	/?e7ec31b939c1d80e45f9df0520bb7009	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	103936	200	OK	-	-	-	(empty)	-	-	-	-	-	FDchg71vYNJRLcUF46	application/x-dosexec
1357095971.003975	CZE8CT1e2qodQYRXu4	192.168.62.10	1039	94.23.76.187	80	1	GET	xht.7ladernox.info	/43ebabed0e7fba88b55773bc90930d86/f7e9e2ec512e25b9ac254285141ee76b.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FOKFAc2LztRJG0XPN7	application/jar
1357095971.28182	CaeHx94DVQ8RmOKnzg	192.168.62.10	1040	94.23.76.187	80	1	GET	xht.7ladernox.info	/43ebabed0e7fba88b55773bc90930d86/f7e9e2ec512e25b9ac254285141ee76b.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FNmVaJ33CYPIs5HxO5	application/jar
1357095971.589632	CKDnXqv2banBLfjR5	192.168.62.10	1041	94.23.76.187	80	1	GET	xht.7ladernox.info	/43ebabed0e7fba88b55773bc90930d86/f7e9e2ec512e25b9ac254285141ee76b.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FslFJC1i6NEc7Mf6N	application/jar
1357095971.911074	CZ7dTG2VUqgqxQEws5	192.168.62.10	1042	94.23.76.187	80	1	GET	xht.7ladernox.info	/43ebabed0e7fba88b55773bc90930d86/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	103936	200	OK	-	-	-	(empty)	-	-	-	-	-	FI7GLvLb8kA2X472	binary
1357095972.58671	CWLcIg4tT5qf2B7C2g	192.168.62.10	1043	94.23.76.187	80	1	GET	xht.7ladernox.info	/43ebabed0e7fba88b55773bc90930d86/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	34816	200	OK	-	-	-	(empty)	-	-	-	-	-	FG55CC4cyMhsoy7Kr2	binary
1357095973.008574	ChvM4Z1AAknyvQgbQ6	192.168.62.10	1044	94.23.76.187	80	1	GET	xht.7ladernox.info	/43ebabed0e7fba88b55773bc90930d86/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	170496	200	OK	-	-	-	(empty)	-	-	-	-	-	FfHBhmuJphN4dMFl9	binary
1357095973.821003	CtwQLN2KsuRURU0iqh	192.168.62.10	1045	94.23.76.187	80	1	GET	xht.7ladernox.info	/43ebabed0e7fba88b55773bc90930d86/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F2BXLo4JB4vyeP2aAg	text/html
1357095974.096816	COaH8w9FYN705D6G1	192.168.62.10	1046	94.23.76.187	80	1	GET	xht.7ladernox.info	/43ebabed0e7fba88b55773bc90930d86/4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FHlihnkrBipzDxpul	text/html
1357095990.978077	CQS9ab1kpCmEY0Yqy8	192.168.62.10	1049	78.140.131.158	80	1	GET	megaupload.com	/upload/fid=BwCRAAEAdcIAAAEFCAAAAAAAAAAAAAAAAAAAAABCDAwfCwAAAJWxoJbiEYhUrLhygiZvmW_XouNQAABVVVVVVVVVVVVVVVVVVVVVt-jNASz_UGl1wgAAVXd1bXNtfWNvZXMzMmhnOGc4OAJGkzUK3f4TbwAAAAAAAQcAAAAHAAAANFYA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	562	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FWnDGNBeTU5ILEC7e	text/html
#close	2014-04-03-10-46-54
