#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-13-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1320285476.226164	ChR3ob1fVqHF6gcWP2	192.168.40.10	1031	72.167.205.185	80	1	GET	classophilia.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1320285476.569656	CYNUh91yITWxYjmyKg	192.168.40.10	1032	72.167.205.185	80	1	GET	www.classophilia.com	/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14248	503	Service Temporarily Unavailable	-	-	-	(empty)	-	-	-	-	-	FiFtP240gxNr3o1OSb	text/html
1320285477.195975	CyQOAS2mVaxfGeici8	192.168.40.10	1034	72.167.205.185	80	1	GET	www.classophilia.com	/includes/templates/classic/css/stylesheet_css_buttons.css	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1644	200	OK	-	-	-	(empty)	-	-	-	-	-	FY4sF84C0NzTBlBhfa	text/plain
1320285477.281371	CyQOAS2mVaxfGeici8	192.168.40.10	1034	72.167.205.185	80	2	GET	www.classophilia.com	/includes/templates/classic/css/print_stylesheet.css	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	766	200	OK	-	-	-	(empty)	-	-	-	-	-	FcdXeW1IPrrsslvBI9	text/plain
1320285477.328009	CDvWBk2eLXVacnN1ed	192.168.40.10	1035	96.47.227.2	80	1	GET	aleba.com.br	/js/	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5674	200	OK	-	-	-	(empty)	-	-	-	-	-	FC3uDR2PCjgwBf6yF4	text/plain
1320285477.195723	CBquM24BDsTm256Ycb	192.168.40.10	1033	72.167.205.185	80	1	GET	www.classophilia.com	/includes/templates/classic/css/stylesheet.css	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13802	200	OK	-	-	-	(empty)	-	-	-	-	-	FsybwG4sqoJfahpXf9	text/plain
1320285477.346146	CyQOAS2mVaxfGeici8	192.168.40.10	1034	72.167.205.185	80	3	GET	www.classophilia.com	/includes/templates/classic/images/logo.gif	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6567	200	OK	-	-	-	(empty)	-	-	-	-	-	FjtLTr3O4lovfdM08f	image/gif
1320285477.407518	CBquM24BDsTm256Ycb	192.168.40.10	1033	72.167.205.185	80	2	GET	www.classophilia.com	/images/bracelets/60125.jpg	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31685	200	OK	-	-	-	(empty)	-	-	-	-	-	Fef0JA1FxpJdIEzIy5	image/jpeg
1320285477.441043	CyQOAS2mVaxfGeici8	192.168.40.10	1034	72.167.205.185	80	4	GET	www.classophilia.com	/images/earrings/60150.jpg	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24004	200	OK	-	-	-	(empty)	-	-	-	-	-	FSyJ794ABreGQSiqkl	image/jpeg
1320285477.707247	CBquM24BDsTm256Ycb	192.168.40.10	1033	72.167.205.185	80	3	GET	www.classophilia.com	/images/earrings/60118.jpg	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29025	200	OK	-	-	-	(empty)	-	-	-	-	-	FnAIYWgHizpJBU5r5	image/jpeg
1320285477.707556	CyQOAS2mVaxfGeici8	192.168.40.10	1034	72.167.205.185	80	5	GET	www.classophilia.com	/images/pendants/60126.jpg	http://www.classophilia.com/index.php?main_page=down_for_maintenance&zenid=1e746216b39363f7c968dd9098d698b9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34235	200	OK	-	-	-	(empty)	-	-	-	-	-	FxGE0v1HvIr2hbYXxj	image/jpeg
