#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-49-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1345619241.620358	CLwMST37GI7n1iNQKj	192.168.68.10	1030	62.149.128.160	80	1	GET	gildabress.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FiHcvK1tHp39qlDsl	text/html
1345619241.873004	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	1	GET	www.gildabress.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13464	200	OK	-	-	-	(empty)	-	-	-	-	-	FvhAhr3Jd4kpzWeYKe	text/html
1345619242.144411	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	2	GET	www.gildabress.it	/stylesheet.css	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4148	200	OK	-	-	-	(empty)	-	-	-	-	-	FNF8eb3dXSIcZqAm2b	text/plain
1345619242.309313	CT6YNe2CbjSu8fLi69	192.168.68.10	1032	74.125.139.101	80	1	GET	www.google-analytics.com	/ga.js	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36596	200	OK	-	-	-	(empty)	-	-	-	-	-	FhwLIXb03y2RgcRr1	text/plain
1345619242.391149	CT6YNe2CbjSu8fLi69	192.168.68.10	1032	74.125.139.101	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.4&utms=1&utmn=19355804&utmhn=www.gildabress.it&utmcs=utf-8&utmsr=800x600&utmvp=796x475&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=10.0 r32&utmdt=GILDA BRESS GENOVA: Home Page \xe2\x80\x93 SHOPPING GENOVA - CALZATURE GENOVA - ACCESSORI GENOVA - ABBIGLIAMENTO GENOVA - SPEZIA - VARAZZE - SAVONA - LIGURIA - ITALIA - SCARPE GENOVA - MODA GENOVA - FASHION GENOVA&utmhid=574986135&utmr=-&utmp=/&utmac=UA-15249080-1&utmcc=__utma=226399756.1398768300.1345633523.1345633523.1345633523.1;+__utmz=226399756.1345633523.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=D~	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	F82S281jjuACVhuWjd	image/gif
1345619242.51889	CjZw9i2SBR7x8paQlj	192.168.68.10	1033	95.110.228.187	80	1	GET	www.gildabress.it	/images/spacer.png	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	214	200	OK	-	-	-	(empty)	-	-	-	-	-	FyeQps4j3RG7kZiyhk	image/png
1345619242.397123	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	3	GET	www.gildabress.it	/images/Italy.jpg	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10605	200	OK	-	-	-	(empty)	-	-	-	-	-	F5q0wT24EGkNPXL7v	image/jpeg
1345619242.657393	CbVuHv4nVxnLa9oo4l	192.168.68.10	1034	195.210.96.4	80	1	GET	codice.shinystat.com	/cgi-bin/getcod.cgi?USER=gildabress	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2829	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhq8CF2uG76paWHYr5	text/plain
1345619242.668116	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	4	GET	www.gildabress.it	/images/UK.jpg	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14294	200	OK	-	-	-	(empty)	-	-	-	-	-	Frzhqw1KV95Yczaoy1	image/jpeg
1345619242.79974	CTqcPp43qscJwp6xo9	192.168.68.10	1031	95.110.228.187	80	5	GET	www.gildabress.it	/images/Flag_IT.png	http://www.gildabress.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	715	200	OK	-	-	-	(empty)	-	-	-	-	-	F2J0G72jWzHjKrW2ac	image/png
1345619242.938774	CDeSsV10Ddo9TXhvqa	192.168.68.10	1036	63.218.71.147	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	620	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmc8jc28wkbdnbuEul	text/plain
