#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-22
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1362223988.408318	C6ls623vMjdo6TVDH9	192.168.17.10	1030	97.74.144.110	80	1	GET	aaainterconnectcare.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1362223988.768687	CuUTWa1PjQKSMpHiyk	192.168.17.10	1031	97.74.144.110	80	1	GET	www.aaainterconnectcare.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7311	200	OK	-	-	-	(empty)	-	-	-	-	-	FV3nOs3gey7wYJ5T6d	text/html
1362223989.100078	CuUTWa1PjQKSMpHiyk	192.168.17.10	1031	97.74.144.110	80	2	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/lt-ie7.css	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	175	200	OK	-	-	-	(empty)	-	-	-	-	-	FPcQIT3qbFIS3uC1cb	text/plain
1362223989.179911	CuUTWa1PjQKSMpHiyk	192.168.17.10	1031	97.74.144.110	80	3	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/dropdown.js	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	373	200	OK	-	-	-	(empty)	-	-	-	-	-	FNJ4CZ7BMclnTpXw4	text/plain
1362223989.102698	CmHxt44rxS4dd5WeZb	192.168.17.10	1032	97.74.144.110	80	1	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/style.css	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14265	200	OK	-	-	-	(empty)	-	-	-	-	-	FGKGWp1hLoZoMsHQLb	text/plain
1362223989.343396	CuUTWa1PjQKSMpHiyk	192.168.17.10	1031	97.74.144.110	80	4	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/dropdown.css	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1011	200	OK	-	-	-	(empty)	-	-	-	-	-	F1iLAN1daOu1BaPsJd	text/plain
1362223989.34304	CmHxt44rxS4dd5WeZb	192.168.17.10	1032	97.74.144.110	80	2	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/lte-ie7.css	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	83	200	OK	-	-	-	(empty)	-	-	-	-	-	FBUgFr4TXeDFUnvMq1	text/plain
1362223989.424602	CmHxt44rxS4dd5WeZb	192.168.17.10	1032	97.74.144.110	80	3	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/body-bg.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	858	200	OK	-	-	-	(empty)	-	-	-	-	-	FylSXc15eytAZCxz08	image/gif
1362223989.405281	CuUTWa1PjQKSMpHiyk	192.168.17.10	1031	97.74.144.110	80	5	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/frontphoto.jpg	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9351	200	OK	-	-	-	(empty)	-	-	-	-	-	Flmpvk3FLs8Pa4Hhk3	image/jpeg
1362223989.481718	CmHxt44rxS4dd5WeZb	192.168.17.10	1032	97.74.144.110	80	4	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/container-bg.jpg	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12814	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp3gla1CmHT5hm5t39	image/jpeg
1362223989.625981	CmHxt44rxS4dd5WeZb	192.168.17.10	1032	97.74.144.110	80	5	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/menu-bg.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1916	200	OK	-	-	-	(empty)	-	-	-	-	-	F7Xjxg2S9bw4j8sEyd	image/gif
1362223989.537795	CuUTWa1PjQKSMpHiyk	192.168.17.10	1031	97.74.144.110	80	6	GET	www.aaainterconnectcare.com	/a	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9910	200	OK	-	-	-	(empty)	-	-	-	-	-	FiCV2x6wMnFHhcgyg	application/x-dosexec
1362223989.697795	CmHxt44rxS4dd5WeZb	192.168.17.10	1032	97.74.144.110	80	6	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/submit-button.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1219	200	OK	-	-	-	(empty)	-	-	-	-	-	FGNKXR2idKlvGC2rlj	image/gif
1362223989.79791	CBSnRp376rrWYcpPR1	192.168.17.10	1033	97.74.144.110	80	1	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/sidebar-top.gif	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1033	200	OK	-	-	-	(empty)	-	-	-	-	-	Fjebc12wO5IXes39S2	image/gif
1362223989.759757	CmHxt44rxS4dd5WeZb	192.168.17.10	1032	97.74.144.110	80	7	GET	www.aaainterconnectcare.com	/wp-content/themes/DeepOrder-Green/images/footer-bg.jpg	http://www.aaainterconnectcare.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19964	200	OK	-	-	-	(empty)	-	-	-	-	-	FYC74M1wM5Kvv7osYj	image/jpeg
