#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-03-20
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321991815.721286	CabiUH2Aj7HMgg1iRk	192.168.17.10	1030	95.168.165.225	80	1	GET	timetrainsite.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FxJKNb2T07BT5Tv8n8	text/html
1321991815.85754	CKLntf3WyAzjrSimw4	192.168.17.10	1031	149.255.33.228	80	1	GET	vipservice8.in	/?site=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1321991816.026618	CE4dkb2L2MxmKnXUv6	192.168.17.10	1032	109.123.116.51	80	1	GET	googleads4.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FBwSof11MPe3E03YIj	text/html
1321991816.268864	CcQ3xe332ezPSkCS2c	192.168.17.10	1036	109.123.116.51	80	1	GET	googleads4.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	302	Found	-	-	-	(empty)	-	-	-	-	-	F9tZku1B8VpSqVC8Z9	text/html
1321991816.441257	CdqlYN3TwXw75Ezbm6	192.168.17.10	1037	149.255.33.228	80	1	GET	portal1for8.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	200	OK	-	-	-	(empty)	-	-	-	-	-	F8EAki3EIcl8fE4XXi	text/html
1321991817.885722	C5alPaWYNfKuXZRY8	192.168.17.10	1038	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3982	200	OK	-	-	-	(empty)	-	-	-	-	-	F3RKgY2iZ8u1bgJhna	application/jar
1321991818.106634	CHj0WMKEFUdyUWb0f	192.168.17.10	1039	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3982	200	OK	-	-	-	(empty)	-	-	-	-	-	FWEUhH17XMRmQhl1jj	application/jar
1321991818.230186	CgECPF2Pggil06jU22	192.168.17.10	1044	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3982	200	OK	-	-	-	(empty)	-	-	-	-	-	FjORwO547aF5q7DXk	application/jar
1321991818.377697	CUIgKx1pEetjV2gfi1	192.168.17.10	1045	149.255.33.228	80	1	GET	portal1for8.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FezWYA4RwxEOaCJXZ1	text/html
1321991818.42907	CUJPXo1P5FtFrF8yhh	192.168.17.10	1046	149.255.33.228	80	1	GET	portal1for8.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FtkIYa24nccZFGR5t9	text/html
1321991818.482801	CEZ9Ax2sKc98yENRCf	192.168.17.10	1047	149.255.33.228	80	1	GET	portal1for8.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FJ3ygr1zKtssKsej3h	text/html
1321991818.535047	CjieKu4WN1XfPSF2E9	192.168.17.10	1048	149.255.33.228	80	1	GET	portal1for8.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FG9fhv4dSyKhg1TQUl	text/html
1321991818.666029	C7C1TWNuxOwVxoG67	192.168.17.10	1049	149.255.33.228	80	1	GET	vipservice8.in	/?926fa68c3ea4895a7e63d242145bbcfa	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	434432	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs7dbkrwRT36gLJ8b	application/x-dosexec
#close	2014-04-03-10-03-20
