#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-49-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321575744.991872	CXlih62tcz7lmj9S8	192.168.9.10	1030	109.236.82.74	80	1	GET	redirportal13.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FoGlgB1S5eKLhzcxcj	text/html
1321575745.194298	CGz17j1RTAazSGp5Qi	192.168.9.10	1031	109.236.82.76	80	1	GET	mp6storage.in	/?site=13	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	166	200	OK	-	-	-	(empty)	-	-	-	-	-	FYFVJv3JIhz6eOdji4	text/html
1321575747.2044	Ca99aq4lDTvvJoEFo9	192.168.9.10	1036	109.236.82.76	80	1	GET	mp6storage.in	/dl/applet.php?89e49a11693d98b5208522567a894f94	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3967	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp0ckk324WaZFuua6d	application/jar
1321575747.427196	CzIxANv6RVHJUYbUl	192.168.9.10	1037	109.236.82.76	80	1	GET	mp6storage.in	/dl/applet.php?89e49a11693d98b5208522567a894f94	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3967	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn8Lyi27zApL6WOo1g	application/jar
1321575747.725914	CqSN7p3XdU6yuXV0g3	192.168.9.10	1038	109.236.82.76	80	1	GET	mp6storage.in	/dl/applet.php?89e49a11693d98b5208522567a894f94	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3967	200	OK	-	-	-	(empty)	-	-	-	-	-	F1QUYq2r8uP7gRkiF8	application/jar
1321575747.995112	CxmFAO1Tqud7FbFzh6	192.168.9.10	1039	109.236.82.76	80	1	GET	mp6storage.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTjmyM2jLHLyFlJQw4	text/html
1321575748.199594	CwZu7iR0IPXu6LyHc	192.168.9.10	1040	109.236.82.76	80	1	GET	mp6storage.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FVxyky2A4DeY2eGTC6	text/html
1321575748.41785	CXhX2U3xnd4wxSINge	192.168.9.10	1041	109.236.82.76	80	1	GET	mp6storage.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FeHOSF1NdxiZ7KX73i	text/html
1321575748.637615	CeD7l74Nu7N9LcfLIa	192.168.9.10	1042	109.236.82.76	80	1	GET	mp6storage.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FlF0TC16kYg8M3dFGi	text/html
1321575749.03119	CFTz6413qvkub0ito1	192.168.9.10	1043	109.236.82.76	80	1	GET	mp6storage.in	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	65024	200	OK	-	-	-	(empty)	-	-	-	-	-	FTp0Os4nyM8lpHv4ra	application/x-dosexec
1321575749.994864	Co2REA1JiLcJ4wx0qh	192.168.9.10	1045	94.199.48.206	80	1	GET	advbeacon.net	/adv.php?i=11&rnd=14771	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-49-41
