#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-59-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1389583671.842811	CCfLV41YJnGfa8t876	192.168.17.10	1036	66.39.29.236	80	1	GET	besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FBniDe4YkE9OVgLUjl	text/html
1389583672.237243	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/node/node.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	740	200	OK	-	-	-	(empty)	-	-	-	-	-	FLdDJ112ETMOwRhnyk	text/plain
1389583672.269121	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/system/defaults.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	757	200	OK	-	-	-	(empty)	-	-	-	-	-	FI8tR83Q7rGszKJbo3	text/plain
1389583672.26985	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/poll/poll.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	671	200	OK	-	-	-	(empty)	-	-	-	-	-	FraId54dV5RrT9mKd5	text/plain
1389583672.272603	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/system/system.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	10020	200	OK	-	-	-	(empty)	-	-	-	-	-	F3gnXp2AOW0EkMbSa	text/plain
1389583672.287274	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/user/user.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1127	200	OK	-	-	-	(empty)	-	-	-	-	-	FC4m0gTwd7QFkuGr5	text/plain
1389583672.287583	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	3	GET	www.besthealthmag.ca	/modules/system/system-menus.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	935	200	OK	-	-	-	(empty)	-	-	-	-	-	F41WJR1JgCsB1n3C44	text/plain
1389583672.287881	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	2	GET	www.besthealthmag.ca	/profiles/besthealth/modules/block_edit/block_edit.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	920	200	OK	-	-	-	(empty)	-	-	-	-	-	FLq6gQ3EVDO6YnWFlh	text/plain
1389583672.301965	CJzkWO2b7fIczzPqLg	192.168.17.10	1039	72.21.91.19	80	3	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3087	200	OK	-	-	-	(empty)	-	-	-	-	-	FDoW1o1rq5BxqBuWOe	text/plain
1389583672.302411	CUMxyyJuTMJLx7391	192.168.17.10	1038	72.21.91.19	80	4	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date_popup/themes/datepicker.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4077	200	OK	-	-	-	(empty)	-	-	-	-	-	FQLii02g1rrSMCiOae	text/plain
1389583672.303518	CMnsrx1Cd3L7zj8rt	192.168.17.10	1040	72.21.91.19	80	3	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date_popup/themes/timeentry.css?a	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	509	200	OK	-	-	-	(empty)	-	-	-	-	-	FXL4xx1JaESSIfpq45	text/plain
