#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-00-59
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328737988.621269	CpOR9R1VbvF3yeK1h	192.168.16.10	1030	200.63.96.242	80	1	GET	riamenorca.cl	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FBJCPA4wUpSg3gH1eh	application/octet-stream
1328737989.028324	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	1	GET	www.ria.es	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6261	200	OK	-	-	-	(empty)	-	-	-	-	-	FmIG5BOl7GXdXPGtg	text/html
1328737989.158886	CdEXtB4uzdJGiekK5e	192.168.16.10	1033	74.125.47.95	80	1	GET	fonts.googleapis.com	/css?family=Lato	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	460	200	OK	-	-	-	(empty)	-	-	-	-	-	FdWkf02d3aWDWQCjB6	text/plain
1328737989.158626	ChlmQN2IymdPSj4IQ1	192.168.16.10	1032	74.125.47.95	80	1	GET	fonts.googleapis.com	/css?family=Gruppo	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	442	200	OK	-	-	-	(empty)	-	-	-	-	-	FOI4YG3ObRDp153K3	text/plain
1328737989.14827	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	2	GET	www.ria.es	/estilos/estilo.css	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13169	200	OK	-	-	-	(empty)	-	-	-	-	-	FGaCgP3ejqToLJHKX	text/plain
1328737989.279678	CYDgV31SDaO84WR3H8	192.168.16.10	1035	74.125.65.132	80	1	GET	themes.googleusercontent.com	/static/fonts/gruppo/v4/FUSz2lYOZ1vMxvu1xRl__g.eot	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31996	200	OK	-	-	-	(empty)	-	-	-	-	-	F6u2t31G093ELLm8nl	application/vnd.ms-fontobject
1328737989.2866	CgkEyy253QbYG08oC	192.168.16.10	1036	74.125.65.132	80	1	GET	themes.googleusercontent.com	/static/fonts/lato/v5/nQhiC-wSiJx0pvEuJl8d8A.eot	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	45958	200	OK	-	-	-	(empty)	-	-	-	-	-	F43rPo3a74DZiHf7T4	application/vnd.ms-fontobject
1328737989.247463	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	1	GET	www.ria.es	/imagenes/logo.png	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4253	200	OK	-	-	-	(empty)	-	-	-	-	-	FtDE4K2Eq1vGfK7cG3	image/png
1328737989.247193	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	3	GET	www.ria.es	/js/jquery-1.2.6.min.js	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55774	200	OK	-	-	-	(empty)	-	-	-	-	-	FsSECsLMRNh3Ox8p4	text/plain
1328737989.448088	ClQDdK9npKrA5FKia	192.168.16.10	1031	91.121.79.86	80	4	GET	www.ria.es	/imagenes/fondo_medio.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8130	200	OK	-	-	-	(empty)	-	-	-	-	-	F2q3zc4zBZbeh3nYE7	image/jpeg
1328737989.445345	ClfMTm1ES4O7NQFohi	192.168.16.10	1034	91.121.79.86	80	2	GET	www.ria.es	/imagenes/fondo_arriba.jpg	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13224	200	OK	-	-	-	(empty)	-	-	-	-	-	FZNMqp3J7WiOARS9ig	image/jpeg
1328737989.848473	C2j5tC1bjrjcHLu4cf	192.168.16.10	1038	178.162.184.176	80	1	GET	www.arcot.be	/doiohzbqgukrercldr6.php?n=nl	http://www.ria.es/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4352	200	OK	-	-	-	(empty)	-	-	-	-	-	FqWChZ3IMMWVpFjOre	text/html
