#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-29-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1355429993.449336	CyOb5w1bPu3MHwYX39	192.168.36.10	1030	87.83.27.65	80	1	GET	goal.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	228	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FgCbVC3YZmef5NcUkf	text/html
1355429995.882738	CmP0QT385ShYYmiSzk	192.168.36.10	1043	195.93.85.9	80	3	GET	adserver.adtech.de	/adcount|2.0|327|3550405|0|225|AdId=8389395;BnId=1;ct=2624526032;st=2092;adcid=1;itime=429878324;reqtype=5;	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	200	OK	-	-	-	(empty)	-	-	-	-	-	FCjQ3O3wPXO3tiGOVc	application/octet-stream
1355429996.203333	CjRljZ3Vzmh4UQHisj	192.168.36.10	1047	78.159.108.35	80	1	GET	nytvata.info	/in.php?q=oPCHgVflxNAnPTEtBbk2uSk36+50OSaaxYx9UkXRzQ==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	223	200	OK	-	-	-	(empty)	-	-	-	-	-	FXh58E4HPZYMlnCDDk	text/html
1355429996.514565	COG9uV3lrClKWuxzC7	192.168.36.10	1048	5.199.175.47	80	1	GET	cwarebo.info	/sshadmin/nwshp/experts.php?script=676&sponsor=208&termstop=12&training=55&history=348&energy=940	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1640	200	OK	-	-	-	(empty)	-	-	-	-	-	FqZo0a44lszi838I2h	text/html
1355429998.560795	CjE11P1N2KHKkUXA2k	192.168.36.10	1049	5.199.175.47	80	1	GET	cwarebo.info	/sshadmin/nwshp/DdwaiF	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8289	200	OK	-	-	-	(empty)	-	-	-	-	-	F0MLYm2scFdn046Buf	application/jar
1355429998.865926	CjE11P1N2KHKkUXA2k	192.168.36.10	1049	5.199.175.47	80	2	GET	cwarebo.info	/sshadmin/nwshp/DdwaiF	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz6uKC1ac8k5904RH8	application/jar
1355429998.562662	C8AiOY1zuoLOW0nbv7	192.168.36.10	1050	5.199.175.47	80	1	GET	cwarebo.info	/sshadmin/nwshp/TXILN	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	32538	200	OK	-	-	-	(empty)	-	-	-	-	-	FAtk153jEaMjwqcp4l	application/zip
1355429999.064746	CjE11P1N2KHKkUXA2k	192.168.36.10	1049	5.199.175.47	80	3	GET	cwarebo.info	/sshadmin/nwshp/DdwaiF	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8289	200	OK	-	-	-	(empty)	-	-	-	-	-	F3l9Im4Zbxs3pGP4zh	application/jar
1355429999.110402	C8AiOY1zuoLOW0nbv7	192.168.36.10	1050	5.199.175.47	80	2	GET	cwarebo.info	/sshadmin/nwshp/TXILN	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	32538	200	OK	-	-	-	(empty)	-	-	-	-	-	FiVPuG1hxvTGDcE5d9	application/zip
1355429999.296709	C8AiOY1zuoLOW0nbv7	192.168.36.10	1050	5.199.175.47	80	3	GET	cwarebo.info	/sshadmin/nwshp/TXILN	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	32538	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd2Tz126vpoINS1FS3	application/zip
1355429999.8562	C8AiOY1zuoLOW0nbv7	192.168.36.10	1050	5.199.175.47	80	4	GET	cwarebo.info	/sshadmin/nwshp/TXILN	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	32538	200	OK	-	-	-	(empty)	-	-	-	-	-	FCMslK3qpXdF1e68yg	application/zip
1355430000.391819	CoKCC34FsB7IjDUFOj	192.168.36.10	1051	5.199.175.47	80	1	GET	zanali.info	/access.php?alert=709&stars=225&pipermail=7&intl=246&reply=1121&mail=736&pets=441&video=398&power=92	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	160768	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq5DcD2ekyRvGKmwEl	application/x-dosexec
1355430002.220223	C5rmWK1etZYqpj6eE8	192.168.36.10	1053	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Y76Y23hWSpJffS91	text/plain
#close	2014-04-03-10-29-49
