#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-13-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357432182.777652	CEK7Qx3fxvZKA6dzgk	192.168.122.10	1030	95.168.173.91	80	1	GET	hornyteenboys.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357432183.191008	C6LVnI27AVjm2TJtC4	192.168.122.10	1031	94.23.76.187	80	1	GET	ki.2yolkisnesut.info	/?0cbd5c97838ee68540cb9930d6f404b2=27&8766e99521e0b19c3feabb9266234bc0=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	517	200	OK	-	-	-	(empty)	-	-	-	-	-	FilE9a3e6OEjlCTa6	text/html
1357432183.457029	Cv163q1PN1mEMLTm0l	192.168.122.10	1032	94.23.76.187	80	1	GET	ki.2yolkisnesut.info	/2a0e6085f603b3884b2cef814e014890.eot	http://ki.2yolkisnesut.info/?0cbd5c97838ee68540cb9930d6f404b2=27&8766e99521e0b19c3feabb9266234bc0=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4190	200	OK	-	-	-	(empty)	-	-	-	-	-	FM06Z931ATApNj4X0c	application/vnd.ms-fontobject
1357432185.405363	Cxa23A2r8VIsOZMJT3	192.168.122.10	1034	94.23.76.187	80	1	GET	94.23.76.187	/?e7ec31b939c1d80e45f9df0520bb7009	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	71680	200	OK	-	-	-	(empty)	-	-	-	-	-	F3a6WS214DmgrWeW47	application/x-dosexec
1357432187.467685	CPbXV2K2792GADQd	192.168.122.10	1039	94.23.76.187	80	1	GET	ki.2yolkisnesut.info	/d4d6bdc6ff5663d7bf319ede72fbd33c/6e8fddbdf1bfa13d90ce2436cfc962d0.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FAT9kcsPQr3HpAtOi	application/jar
1357432187.741198	CEQmIrcjPg5RZuQXf	192.168.122.10	1041	94.23.76.187	80	1	GET	ki.2yolkisnesut.info	/d4d6bdc6ff5663d7bf319ede72fbd33c/6e8fddbdf1bfa13d90ce2436cfc962d0.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FWtHPn2R8ldlVZRmij	application/jar
1357432188.164272	C9OiAI2tR8r78cUUC4	192.168.122.10	1043	94.23.76.187	80	1	GET	ki.2yolkisnesut.info	/d4d6bdc6ff5663d7bf319ede72fbd33c/6e8fddbdf1bfa13d90ce2436cfc962d0.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FnEFqZ1A35lRSYxYed	application/jar
1357432188.583472	Cc82gq1vtGlyTCq30l	192.168.122.10	1044	94.23.76.187	80	1	GET	ki.2yolkisnesut.info	/d4d6bdc6ff5663d7bf319ede72fbd33c/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	71680	200	OK	-	-	-	(empty)	-	-	-	-	-	FIbEYz2vjVEIPihlKj	binary
1357432188.047956	CjBCSx3jbfhZAsI2hk	192.168.122.10	1042	91.201.215.176	80	1	POST	91.201.215.176	/CallBack/SomeScripts/mgsNewPeer.php	-	-	96	58	200	OK	-	-	-	(empty)	-	-	-	Fwi3wY8d3my0FTMy3	text/plain	FMROxo4t8xWWjBVOo2	text/html
1357432189.292727	COfsOz2Lwmrsrf8tT3	192.168.122.10	1045	94.23.76.187	80	1	GET	ki.2yolkisnesut.info	/d4d6bdc6ff5663d7bf319ede72fbd33c/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	35800	200	OK	-	-	-	(empty)	-	-	-	-	-	FYZVLDfehDhoUYFq	binary
1357432189.488852	CxQHvy1WBanOJUyDR7	192.168.122.10	1046	91.201.215.176	80	1	POST	91.201.215.176	/CallBack/SomeScripts/mgsGetMGList.php	-	-	99	179	200	OK	-	-	-	(empty)	-	-	-	FQTI1g17LcBm8F8Mq7	text/plain	Fo6LvX2ALiQA2E12fa	text/html
