#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-19-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327171987.606354	CoYl3s1WSsFDOuIyg6	192.168.103.10	1030	98.124.198.1	80	1	GET	customercontent.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	173	302	Object moved	-	-	-	(empty)	-	-	-	-	-	Fot7FW3EBfR9CrWyD3	text/html
1327171987.799396	CaW7py4NwaLJFmNroj	192.168.103.10	1031	91.211.119.42	80	1	GET	orderriver.com	/main.php?page=f01569c984bcc11c	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79773	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj1Qxe38pPTEAzW4Lf	text/html
1327171998.902419	CaW7py4NwaLJFmNroj	192.168.103.10	1031	91.211.119.42	80	2	GET	orderriver.com	/w.php?f=16&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	223744	200	OK	-	-	-	(empty)	-	-	-	-	-	FbYJdc1TYlE8GSKNta	application/x-dosexec
1327172000.342612	CaW7py4NwaLJFmNroj	192.168.103.10	1031	91.211.119.42	80	3	GET	orderriver.com	/content/fdp2.php?f=16	http://orderriver.com/main.php?page=f01569c984bcc11c	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	90412	200	OK	-	-	-	(empty)	-	-	-	-	-	FLz6T93L3hDWtZ7AUj	application/pdf
1327172015.033954	CaW7py4NwaLJFmNroj	192.168.103.10	1031	91.211.119.42	80	4	GET	orderriver.com	/w.php?f=16&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	223744	200	OK	-	-	-	(empty)	-	-	-	-	-	F3BVnN3dxq8Qh2u9fj	application/x-dosexec
1327172019.266948	CaW7py4NwaLJFmNroj	192.168.103.10	1031	91.211.119.42	80	5	GET	orderriver.com	/content/field.swf	http://orderriver.com/main.php?page=f01569c984bcc11c	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1464	200	OK	-	-	-	(empty)	-	-	-	-	-	F62qI6Qo7agrfGuTf	application/x-shockwave-flash
1327172024.200529	CEwiAa1Tc0XWBi2Yj3	192.168.103.10	1038	91.211.119.42	80	1	GET	orderriver.com	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4408	200	OK	-	-	-	(empty)	-	-	-	-	-	F7vGhc2sxNu5YiyYUh	application/zip
1327172025.322448	CnjjpL2S3EQ2m4PSSg	192.168.103.10	1039	91.211.119.42	80	1	GET	orderriver.com	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FFQrMO1JzztrlSkTsh	text/html
1327172025.610406	CnjjpL2S3EQ2m4PSSg	192.168.103.10	1039	91.211.119.42	80	2	GET	orderriver.com	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FiPOcpGQuwv21D66h	text/html
1327172025.928667	CnjjpL2S3EQ2m4PSSg	192.168.103.10	1039	91.211.119.42	80	3	GET	orderriver.com	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FXHBfrZbDpHcQRLw9	text/html
1327172026.230093	CnjjpL2S3EQ2m4PSSg	192.168.103.10	1039	91.211.119.42	80	4	GET	orderriver.com	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F2PtDd3CTiwoUvszPf	text/html
1327172024.114842	CkUpfuKFZ0yK3lKkc	192.168.103.10	1037	60.19.30.135	80	1	POST	potvamp.ru	/fukterama.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	77	11555	200	OK	-	-	-	(empty)	-	-	-	FTUG0y4FbkZjnoEA86	text/plain	FaWYeE27fewdYE5Px8	binary
1327172026.755184	CnjjpL2S3EQ2m4PSSg	192.168.103.10	1039	91.211.119.42	80	5	GET	orderriver.com	/w.php?f=16&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	223744	200	OK	-	-	-	(empty)	-	-	-	-	-	FeTj6d2VPR8wj9e6l	application/x-dosexec
1327172050.947505	CsntZ34riVxoC7RnKi	192.168.103.10	1040	210.212.58.161	80	1	POST	snotarms.ru	/blacksabbat.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	297	64	200	OK	-	-	-	(empty)	-	-	-	FRARqC4IQAHUC4I8e8	binary	FWydV54g9rrb4zUXgc	binary
#close	2014-04-03-10-19-29
