#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-03-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1325879116.917469	CRtvopG3JgAs9ulbk	192.168.96.10	1030	201.165.236.163	80	1	GET	vp4ff4y8.alvaroheinous.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1325879118.167885	CPo9Ry3M62fYJ1ShKh	192.168.96.10	1031	67.214.177.20	80	1	GET	67.214.177.20	/main.php?id=937c853a11d42875	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81965	200	OK	-	-	-	(empty)	-	-	-	-	-	Fne2K5XXstdyWRej1	text/html
1325879131.973084	CgGiwe3MoHcLxXShcg	192.168.96.10	1036	95.163.89.227	80	1	GET	95.163.89.227	/w.php?f=20&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	122368	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff8E1H1OdVRIBP7x49	application/x-dosexec
1325879135.144793	COzA4s1KydNUrX3of4	192.168.96.10	1038	67.214.177.20	80	1	GET	67.214.177.20	/content/field.swf	http://67.214.177.20/main.php?id=937c853a11d42875	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1437	200	OK	-	-	-	(empty)	-	-	-	-	-	FDgu6tLpWMEGic9db	application/x-shockwave-flash
1325879135.362723	CSU2isghvWQxCHZM1	192.168.96.10	1039	67.214.177.20	80	1	GET	67.214.177.20	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3771	200	OK	-	-	-	(empty)	-	-	-	-	-	FumEZ3150y4PT5BBok	application/zip
1325879134.910388	Cd6zrX1w5BlHABC2P8	192.168.96.10	1037	79.137.226.91	80	1	POST	onlinesecurytytests.ru	/mev/in/	-	Mozilla/5.0 (Windows; U; MSIE 7.0; Windows NT 6.0; en-US)	109	249556	200	OK	-	-	-	(empty)	-	-	-	Fv0tWq4SAL83S8Iewb	binary	FCft0j1Y4Sas6Ctqj	binary
1325879151.495884	CJzqch4hf8OntgflIj	192.168.96.10	1040	69.31.72.155	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FTH0ut4IXJKiMS8tnf	text/html
1325879151.577859	CcfOQJ3PKgAyMDq5if	192.168.96.10	1041	74.125.45.105	80	1	GET	google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	219	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FSmAT2chxpzd8r3da	text/html
1325879133.890254	CPo9Ry3M62fYJ1ShKh	192.168.96.10	1031	67.214.177.20	80	2	GET	67.214.177.20	/content/fdp2.php?f=20	http://67.214.177.20/main.php?id=937c853a11d42875	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	113917	200	OK	-	-	-	(empty)	-	-	-	-	-	F4kG3K2E3RzM7BPIgd	application/pdf
1325879151.591204	CMg9CQ2TYRHMZhcI1d	192.168.96.10	1042	74.125.159.106	80	1	GET	www.google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18748	200	OK	-	-	-	(empty)	-	-	-	-	-	FHRVPmUuhf8QXZPj4	text/html
1325879152.258023	CMg9CQ2TYRHMZhcI1d	192.168.96.10	1042	74.125.159.106	80	2	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	FiuJd21SbWfXURpfmg	image/png
