#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322418541.91145	CPDOseHhiZT6li2B7	192.168.51.10	1030	95.168.165.225	80	1	GET	bigtankers.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FYm69i2IhHmJcqDYcb	text/html
1322418542.05439	Cj0Sje4DJLvW9fokX4	192.168.51.10	1031	149.255.33.228	80	1	GET	coolvideos2.in	/?site=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1322418542.611384	CnM92t2kwGpU96ubDg	192.168.51.10	1032	109.123.116.51	80	1	GET	googleads4.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FbnDrOTrL3PEMZBh4	text/html
1322418542.855179	Cr7YRZ1uD9YWQ1iqqf	192.168.51.10	1035	109.123.116.51	80	1	GET	googleads4.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	302	Found	-	-	-	(empty)	-	-	-	-	-	Fp5KfiwslHQ3kwVal	text/html
1322418543.117884	CnNuAePzhwYaByJu6	192.168.51.10	1036	149.255.33.228	80	1	GET	portal1for8.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	200	OK	-	-	-	(empty)	-	-	-	-	-	FdBXS6Ec0AAfsFON3	text/html
1322418544.921586	CXu6jJ2SsVpOc3PVDg	192.168.51.10	1041	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3979	200	OK	-	-	-	(empty)	-	-	-	-	-	FB2G4F4WNWp8y84SRg	application/jar
1322418545.04903	CrPvOj24jVeW4JOgKd	192.168.51.10	1042	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3979	200	OK	-	-	-	(empty)	-	-	-	-	-	FY3Tae4l3zHm31Dqta	application/jar
1322418545.192435	C5oZEzN7jzoNQrXy7	192.168.51.10	1043	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3979	200	OK	-	-	-	(empty)	-	-	-	-	-	FQi0DC18tHxrqyqi01	application/jar
1322418545.529644	CT6oLe4Bnkd6gGoUX4	192.168.51.10	1044	149.255.33.228	80	1	GET	portal1for8.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FcwvMYqToupu7le49	text/html
1322418545.618389	CDsrUs287R3EUFJmXf	192.168.51.10	1045	149.255.33.228	80	1	GET	portal1for8.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FyZHoD4mhbx8yB1X6c	text/html
1322418545.706741	CPSmz7e6dJXElcqyi	192.168.51.10	1046	149.255.33.228	80	1	GET	portal1for8.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTfTgN10pHZjwO9Gkl	text/html
1322418545.793857	CF5gqT1XKzg92GxTK2	192.168.51.10	1047	149.255.33.228	80	1	GET	portal1for8.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FLUDAX24fF08BhX60h	text/html
1322418545.981411	C9g91V2TMhJMI0kyE5	192.168.51.10	1048	149.255.33.228	80	1	GET	coolvideos2.in	/?ceaffb196a0929f4c3c69525180ce856	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	466944	200	OK	-	-	-	(empty)	-	-	-	-	-	FJelZ73MvJw7ibb6wl	application/x-dosexec
#close	2014-04-03-10-22-32
