#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-05-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1395445082.103171	C9U4XD3wGQIYYw2gRk	192.168.76.10	1036	192.254.225.150	80	1	GET	go.8qb.biz	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1395445082.91714	CAD9gO2waCETfO5Pg8	192.168.76.10	1037	195.66.79.27	80	1	GET	www.shar-m.com	/download/0/2767000/install	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FErMJy1hZBLAT1a3Cd	text/plain
1395445083.178196	CAD9gO2waCETfO5Pg8	192.168.76.10	1037	195.66.79.27	80	2	GET	www.shar-m.com	/fetch/install/MC0yNzY3MDAwLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FVznRv1CLYSQgMJYAc	text/plain
1395445083.461382	CAD9gO2waCETfO5Pg8	192.168.76.10	1037	195.66.79.27	80	3	GET	www.shar-m.com	/download/3/2767103/install	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FDZncf2kpU2veFPVYj	text/plain
1395445083.721214	CAD9gO2waCETfO5Pg8	192.168.76.10	1037	195.66.79.27	80	4	GET	www.shar-m.com	/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	6281	200	OK	-	-	-	(empty)	-	-	-	-	-	FCYbjf46RGU2Tb9Ihg	text/html
1395445084.488177	CAD9gO2waCETfO5Pg8	192.168.76.10	1037	195.66.79.27	80	5	GET	www.shar-m.com	/css/layout3/style.css	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	9741	200	OK	-	-	-	(empty)	-	-	-	-	-	FIcFJf2yrSCf6GVbXh	text/plain
1395445084.72321	CJctuy2pml0ctQsawb	192.168.76.10	1040	195.66.79.27	80	1	GET	www.shar-m.com	/js/common.js	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1174	200	OK	-	-	-	(empty)	-	-	-	-	-	FgECff1bHgBicfyy83	text/plain
1395445085.521156	CWlhPl4jZkUUkwwiL1	192.168.76.10	1041	74.125.128.113	80	1	GET	translate.google.com	/translate_a/element.js?cb=googleTranslateElementInit	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1475	200	OK	-	-	-	(empty)	-	-	-	-	-	FRfs7k2Hhsx1afftfb	text/plain
1395445085.521873	CUOmCsFsGc0hunSej	192.168.76.10	1039	195.66.79.27	80	1	GET	www.shar-m.com	/js/jquery.cookie.js	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1941	200	OK	-	-	-	(empty)	-	-	-	-	-	FUJa3o2Ek9O1eLCfJ5	text/plain
1395445085.555094	CJctuy2pml0ctQsawb	192.168.76.10	1040	195.66.79.27	80	2	GET	www.shar-m.com	/css/layout3/font/Roboto-Regular.ttf	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FWypLq3aQ8V8V93Mo6	text/plain
1395445085.529788	CAD9gO2waCETfO5Pg8	192.168.76.10	1037	195.66.79.27	80	6	GET	www.shar-m.com	/js/jquery.fileDownload.js	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	16372	200	OK	-	-	-	(empty)	-	-	-	-	-	FqAyNO3azixDSUTBJ	text/plain
1395445084.723701	CP6MrdpcSZEjiQIQ9	192.168.76.10	1038	195.66.79.27	80	1	GET	www.shar-m.com	/js/jquery-1.8.2.min.js	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	93434	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbn1cS2MIhrGzIzlbd	text/plain
1395445085.880066	CUOmCsFsGc0hunSej	192.168.76.10	1039	195.66.79.27	80	2	GET	www.shar-m.com	/	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FeeDW94WSoWfua77Vf	text/plain
1395445086.161758	CJctuy2pml0ctQsawb	192.168.76.10	1040	195.66.79.27	80	3	GET	www.shar-m.com	/fetch//MS0yMDAwMC0xMzk1NDQ0OTY5LTlmNDA5ZmY4YmU4ODM4NzQxN2Q1MjA5NzkzMWE1ZGU2	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4215	200	OK	-	-	-	(empty)	-	-	-	-	-	FNyPhj1pxEJQmme8Jl	text/html
1395445086.364935	CAZON02wWIzidvwVLc	192.168.76.10	1043	74.125.128.95	80	1	GET	translate.googleapis.com	/translate_static/css/translateelement.css	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	18868	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff6yFC3GRtRjVA9um3	text/plain
1395445086.368167	CDDoek2OnKkNZzn1y	192.168.76.10	1042	74.125.128.95	80	1	GET	translate.googleapis.com	/translate_static/js/element/main.js	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3120	200	OK	-	-	-	(empty)	-	-	-	-	-	FlU1R9VQ3yudFBgtc	text/plain
1395445086.54664	CP6MrdpcSZEjiQIQ9	192.168.76.10	1038	195.66.79.27	80	2	GET	www.shar-m.com	/css/layout3/images/arrow-1.png	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	403	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr79f52jyRPiBGxdXa	image/png
1395445086.548028	CUOmCsFsGc0hunSej	192.168.76.10	1039	195.66.79.27	80	3	GET	www.shar-m.com	/css/layout3/images/doted_line.png	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	842	200	OK	-	-	-	(empty)	-	-	-	-	-	FckNLexDOKtj0mwy5	image/png
1395445086.551765	CJctuy2pml0ctQsawb	192.168.76.10	1040	195.66.79.27	80	4	GET	www.shar-m.com	/css/layout3/images/step1_ie.png	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3335	200	OK	-	-	-	(empty)	-	-	-	-	-	F9tEgw27Jko1cGOHm8	image/png
1395445086.546201	CAD9gO2waCETfO5Pg8	192.168.76.10	1037	195.66.79.27	80	7	GET	www.shar-m.com	/css/layout3/images/header_img.png	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	15424	200	OK	-	-	-	(empty)	-	-	-	-	-	FmTDEpiPIJ5KAz1p5	image/png
1395445086.776104	CYur1X2U9Z8QH6q4z7	192.168.76.10	1045	195.66.79.27	80	1	GET	www.shar-m.com	/css/layout3/images/step2_chrome_ie.png	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	10111	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm18VP3WZWaXD5AZb1	image/png
1395445086.776394	CN6RxW9vFENfYLXq6	192.168.76.10	1046	195.66.79.27	80	1	GET	www.shar-m.com	/css/layout3/images/footer_img.png	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4580	200	OK	-	-	-	(empty)	-	-	-	-	-	FZIgkR3lUWEFfRSTo2	image/png
1395445086.563002	CAZON02wWIzidvwVLc	192.168.76.10	1043	74.125.128.95	80	2	GET	translate.googleapis.com	/translate_static/js/element/20/element_main.js	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	207792	200	OK	-	-	-	(empty)	-	-	-	-	-	FiQ7KB4EjxzGRzevq8	text/plain
1395445086.799707	Cofo1Cbkl2l1FJszi	192.168.76.10	1047	176.121.11.24	80	1	GET	freemediastats.com	/getcounter/276710303/counter.gif	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx9DgX2kYRDhKFA1v1	image/gif
1395445086.746071	CP6MrdpcSZEjiQIQ9	192.168.76.10	1038	195.66.79.27	80	3	GET	www.shar-m.com	/css/layout3/images/step3.png	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	14759	200	OK	-	-	-	(empty)	-	-	-	-	-	FC7DyP3yF1tHc8heDj	image/png
1395445086.805635	C1J0ei37qXakog7dA	192.168.76.10	1048	176.121.11.24	80	1	GET	stat.freemediastats.com	/piwik.js	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	22866	200	OK	-	-	-	(empty)	-	-	-	-	-	FTKXpg47XrRW0HdrV5	text/plain
1395445087.416129	C1J0ei37qXakog7dA	192.168.76.10	1048	176.121.11.24	80	2	GET	stat.freemediastats.com	/piwik.php?action_name=install Downloader&idsite=1&rec=1&r=671586&h=22&m=35&s=50&url=http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY&_id=92ecb1f699cd78ac&_idts=1395459351&_idvc=1&_idn=1&_refts=0&_viewts=1395459351&res=800x600&cvar={"1":["user_sub_id","2767103"]}	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr00Kz3yElGpjL9krc	image/gif
1395445087.512748	CUOmCsFsGc0hunSej	192.168.76.10	1039	195.66.79.27	80	4	GET	www.shar-m.com	/favicon.ico	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1406	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu14yV38LlGRSh7QJh	image/x-icon
1395445090.4441	CJctuy2pml0ctQsawb	192.168.76.10	1040	195.66.79.27	80	5	GET	www.shar-m.com	/getoxy/install_Downloader_276710303.exe?st=uQcSuY-qZXvCidIZ2yxh-g&e=1395531366&fileid=9f409ff8be88387417d52097931a5de6	http://www.shar-m.com/fetch/install/My0yNzY3MTAzLTEzOTU0NDQ5NjYtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	14271	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm9thLPEiXLBSlFw	application/x-dosexec
#close	2014-04-03-10-05-03
