#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-06-44
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1384563124.930276	Cs4RSv2eOGSZ8p5Xf4	192.168.71.10	1036	192.133.137.101	80	1	GET	presentdafilm.org	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1384563125.087352	CJNuc83wq4XMtEkNZg	192.168.71.10	1037	64.187.232.198	80	1	GET	350406.lg.zr.pyfedhvby.tinbotras.in	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4195	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu58oH2DBu4ML7ckvl	text/html
1384563125.284951	CgnejK1NuIhteICK39	192.168.71.10	1038	64.187.232.198	80	1	GET	350406.lg.zr.pyfedhvby.tinbotras.in	/6624f76e237b4712ac0782a3f256a5aa/1cc725c2f6796b92f622eabf171a265b	http://350406.lg.zr.pyfedhvby.tinbotras.in/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	12518	200	OK	-	-	-	(empty)	-	-	-	-	-	FbSmd52aT63TQBy9Kg	text/html
1384563129.238121	C1eKZr47msKQ6bXuyd	192.168.71.10	1039	64.187.232.198	80	1	GET	64.187.232.198	/?5a64eefd7e44cc68735c0d904522ef0f	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	75949	200	OK	-	-	-	(empty)	-	-	-	-	-	FRKzBt4ZtKUp8bZSHk	application/x-dosexec
1384563152.773761	CsvtFR36HvXix0zQig	192.168.71.10	1043	64.187.232.198	80	1	GET	64.187.232.198	/?064f121454da2859cfd0bcb3ce6212d1	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	134144	200	OK	-	-	-	(empty)	-	-	-	-	-	FiOitIt9uGnE6BsXb	application/x-dosexec
1384563153.188891	CpzgPIrhnRXxj8Dv1	192.168.71.10	1044	64.187.232.198	80	1	GET	64.187.232.198	/?b34cee347c279cf89762e1fde7262d3c	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1384563153.312585	CSXZRx23sEChyGQ9Kj	192.168.71.10	1045	64.187.232.198	80	1	GET	64.187.232.198	/?a46a00472d73b8ec06006a4f1b2fd81a	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	184320	200	OK	-	-	-	(empty)	-	-	-	-	-	FntoVy40Aaq1iHiB1h	application/x-dosexec
1384563153.866689	COqSKH15YFB81jvVr4	192.168.71.10	1047	108.168.255.244	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	512	200	OK	-	-	-	(empty)	-	-	-	-	-	FDBMZ03kEXmalKrqkl	text/plain
1384563154.271006	CfaGjm47vnRTB8C84b	192.168.71.10	1061	64.187.232.198	80	1	GET	64.187.232.198	/?b294d9dcaf11ccb547abf04ea8c34080	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	160512	200	OK	-	-	-	(empty)	-	-	-	-	-	FZi61h77WEYxRD2Vj	application/x-dosexec
1384563185.187027	CVu6vf3xcaXqyr6Ubj	192.168.71.10	1072	64.187.232.198	80	1	GET	64.187.232.198	/?039cf4be2526a5d68304cc36dbfffccf	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1384563214.774942	CKcNIX3IEHJFPREFtk	192.168.71.10	1073	91.207.6.163	80	2	GET	euro4click.eu	/?i=MN6dkFZQGqdWtQG5oz05Nx88MkyCL6x37Cpi1pZ+5Wtq/wNWTr6mA8khifmVf2Luvkx2Ch/Q0BBbkk9v6h307zAwFIiQwyRmGCFv/KxNHM8H4b6c7m0/80J4ft4YVH8m+xjoBQqtdE6L9WAetmehIiK2P8sA1PLZfm6+CS135rpWVqFP62U2UGztzIJCdOwTE9nzAMfCIgvSLUol9F+4QuNao8ae6g==	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1384563194.001431	CKcNIX3IEHJFPREFtk	192.168.71.10	1073	91.207.6.163	80	1	GET	euro4click.eu	/?yWBc2JkFwKA8Bvhyrm/BoQZmBacHjeBeEc5iZ9yYtw7np36SZ5ZPzgNq1Nm+vySzjM/VB2Xj3X0g4UskV76F/A434EGpyIyE4WGxNo+qZMT45YvuDUqHUKp1U+LoVLSk51rkfwDhW6cBDfsDlKt36hLCa+fMgL2LCcLS3qHi935+IeUKsX9z93Dz25j5lEa/M=	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-06-45
