#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-35-52
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1370261060.824568	CbJCSP25Rd42jufxb7	192.168.31.10	1030	81.31.38.65	80	1	GET	www.ep.uplod.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	262	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FUsXqv38wK00rRA3zj	text/html
1370261061.049656	Cpd2I13PWrHy2HTad5	192.168.31.10	1031	91.205.157.43	80	1	GET	91.205.157.43	/TR/?wmid=99274&uid=119&q=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1370261061.314529	CyCPJH3faRGsZJ1Ich	192.168.31.10	1032	208.53.158.118	80	1	GET	delta.goforfiles.com	/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH+HabBbm2mof4cg=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2426	200	OK	-	-	-	(empty)	-	-	-	-	-	F2UZFfRqAOkGjj8h1	text/html
1370261061.365758	COrSY81pBZE8OwqWme	192.168.31.10	1033	208.53.158.118	80	1	GET	delta.goforfiles.com	/static/b/css/main-landing.css	http://delta.goforfiles.com/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH%2BHabBbm2mof4cg%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4157	200	OK	-	-	-	(empty)	-	-	-	-	-	FjyKMJ3WIpaX5rsoI1	text/plain
1370261061.422386	CNgMxu1r3haKkKBeWa	192.168.31.10	1034	208.53.158.118	80	1	GET	delta.goforfiles.com	/static/b/images/line.png	http://delta.goforfiles.com/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH%2BHabBbm2mof4cg%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	192	200	OK	-	-	-	(empty)	-	-	-	-	-	FfqVwe7QGn4xzlzU5	image/png
1370261061.425593	CWXraw2ViY8LY3Ztp1	192.168.31.10	1035	208.53.158.118	80	1	GET	delta.goforfiles.com	/static/b/images/back.png	http://delta.goforfiles.com/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH%2BHabBbm2mof4cg%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2338	200	OK	-	-	-	(empty)	-	-	-	-	-	F25usF41QGMrRSbiFk	image/png
1370261061.462693	CRAgMd4REr1LLkkyDj	192.168.31.10	1036	208.53.158.118	80	1	GET	delta.goforfiles.com	/static/b/images/back_arrows.png	http://delta.goforfiles.com/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH%2BHabBbm2mof4cg%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1956	200	OK	-	-	-	(empty)	-	-	-	-	-	FT6QiW1nSGkAwEXkVf	image/png
1370261061.481439	CB1UQklOdkQ0uCKZb	192.168.31.10	1037	208.53.158.118	80	1	GET	delta.goforfiles.com	/static/b/images/step1_ie.png	http://delta.goforfiles.com/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH%2BHabBbm2mof4cg%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3687	200	OK	-	-	-	(empty)	-	-	-	-	-	F23Pb91nalEWKkV8T4	image/png
1370261061.517237	C8nDji2etJWcfQ1psf	192.168.31.10	1038	208.53.158.118	80	1	GET	delta.goforfiles.com	/static/b/images/step2_chrome_ie.png	http://delta.goforfiles.com/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH%2BHabBbm2mof4cg%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16811	200	OK	-	-	-	(empty)	-	-	-	-	-	FRljWcoPiGbjX5mKj	image/png
1370261061.537938	CwkoZd1OlxTnyxaVNi	192.168.31.10	1039	208.53.158.118	80	1	GET	delta.goforfiles.com	/static/b/images/step3.png	http://delta.goforfiles.com/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH%2BHabBbm2mof4cg%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16772	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj7emt28BQpUJ3qqEg	image/png
1370261061.574734	CdcM7Q2nz1ZyUfI64	192.168.31.10	1040	208.53.158.118	80	1	GET	delta.goforfiles.com	/static/b/images/dot_line.png	http://delta.goforfiles.com/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH%2BHabBbm2mof4cg%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	131	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs4nfz1iNxJfsFHJ35	image/png
1370261063.876319	CKg6Vk3JZKWQHGELe2	192.168.31.10	1045	5.79.65.217	80	1	GET	dn.goforfiles.com	/j5GhWHXepVRn0OtIZ9G1fjiM5mFhtbs8e625ciPx02Qq6pEkH+HabBbm2mof4cg=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20131	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmecxm4xUiEalG3hR3	application/x-dosexec
#close	2014-04-03-10-35-52
