#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2014-04-03-10-25-23
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	count	string	count	count	count	count	table[string]
1358929586.013698	Cdun2a25RK5HEi2Bp4	192.168.115.10	1030	93.170.52.31	80	tcp	http	0.814686	293	1457	SF	-	0	ShADadfF	5	501	5	1661	(empty)
1358929587.023228	CrPgbS1UP7j9rtonE9	192.168.115.10	1032	208.131.138.217	80	tcp	http	0.108545	341	3464	SF	-	0	ShADadfF	6	589	7	3752	(empty)
1358929587.137826	CyQhNC4MIsEMa90Xye	192.168.115.10	1033	208.131.138.217	80	tcp	http	0.201518	346	69027	RSTO	-	0	ShADadR	41	1994	50	71035	(empty)
1358929586.011239	CKoNzd3LbUZoGDwOxl	192.168.115.10	1029	4.2.2.3	53	udp	dns	1.128245	161	555	SF	-	0	Dd	4	273	4	667	(empty)
1358929570.632806	CaeGQk444s8Q7ZwZXf	0.0.0.0	68	255.255.255.255	67	udp	dhcp	0.000582	626	0	S0	-	0	D	2	682	0	0	(empty)
1358929570.633048	CZ2IbY9ZizeEmet13	192.168.115.10	68	192.168.115.1	67	udp	dhcp	12.403931	314	900	SF	-	0	dD	1	342	3	984	(empty)
1358929586.861384	CMXuxv3nNMWtDbLb9k	192.168.115.10	1031	74.125.228.3	80	tcp	http	61.032696	947	15700	RSTO	-	0	ShADadR	13	1475	14	16268	(empty)
1358929587.140296	CpE6qGJfadOULJezk	192.168.115.10	1034	24.143.197.59	80	tcp	http	60.753355	291	2726	RSTO	-	0	ShADadR	5	499	4	2894	(empty)
1358929588.538331	C9aTSO17rClOInHiF4	192.168.115.10	1037	239.255.255.250	1900	udp	-	6.042211	399	0	S0	-	0	D	3	483	0	0	(empty)
#close	2014-04-03-10-25-23
