#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-56-35
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327439651.963419	Ch1tIF2izJtYRwI7F9	192.168.94.10	1030	88.31.158.108	80	1	GET	q10x.leaningmenchu.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327439654.736421	CuAuK74yeo6Jk84dPe	192.168.94.10	1035	176.34.184.62	80	1	GET	carforhome.net	/main.php?page=ce57441e61ae2f12	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79905	200	OK	-	-	-	(empty)	-	-	-	-	-	FKSNPf22bW6LJd7SMg	text/html
1327439668.864297	CuAuK74yeo6Jk84dPe	192.168.94.10	1035	176.34.184.62	80	2	GET	carforhome.net	/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FbMfEp2jlCGqc6W08e	application/x-dosexec
1327439674.030912	CuAuK74yeo6Jk84dPe	192.168.94.10	1035	176.34.184.62	80	3	GET	carforhome.net	/content/fdp2.php?f=19	http://carforhome.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FwlFfZ1KRb9IxwvPE6	text/html
1327439675.354246	CQgxw53yeRykJRi0U4	192.168.94.10	1037	62.212.128.31	80	1	GET	xhow.org.in	/index.php?src=143&surl=carforhome.net&sport=80&suri=/content/fdp2.php?f=19	http://carforhome.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	197	404	Not found	-	-	-	(empty)	-	-	-	-	-	FB11Uvy5PXJmghpV9	text/html
1327439675.207342	CtVho71Qjss7wMIUVe	192.168.94.10	1036	176.34.184.62	80	1	GET	carforhome.net	/content/field.swf	http://carforhome.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1481	200	OK	-	-	-	(empty)	-	-	-	-	-	FT3Bja2HkiN8A5OwL8	application/x-shockwave-flash
1327439675.417382	C1Pmp61ODTykmvwPL9	192.168.94.10	1038	176.34.184.62	80	1	GET	carforhome.net	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4425	200	OK	-	-	-	(empty)	-	-	-	-	-	FNntM7hEIYLg9ZWa8	application/zip
1327439685.876926	CquBL64W8vqQ51RT5	192.168.94.10	1040	69.31.132.99	80	1	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootseq.txt	-	Microsoft-CryptoAPI/5.131.2600.2180	0	18	200	OK	-	-	-	(empty)	-	-	-	-	-	FkIeOE1jk3FyQiSqpa	text/plain
1327439685.887086	CquBL64W8vqQ51RT5	192.168.94.10	1040	69.31.132.99	80	2	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootstl.cab	-	Microsoft-CryptoAPI/5.131.2600.2180	0	47186	200	OK	-	-	-	(empty)	-	-	-	-	-	F4955v3dH0rxzZH7k5	application/vnd.ms-cab-compressed
1327439695.842393	CwMbR4CaQ2WhKxdSc	192.168.94.10	1041	176.34.184.62	80	1	GET	carforhome.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FLsZss1yGStlWIpVOd	text/html
1327439697.088983	CwMbR4CaQ2WhKxdSc	192.168.94.10	1041	176.34.184.62	80	2	GET	carforhome.net	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FexvnV2r5xTVTgquWe	text/html
1327439698.288442	CwMbR4CaQ2WhKxdSc	192.168.94.10	1041	176.34.184.62	80	3	GET	carforhome.net	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F9HxR7ji5q39LOaQg	text/html
1327439699.48942	CwMbR4CaQ2WhKxdSc	192.168.94.10	1041	176.34.184.62	80	4	GET	carforhome.net	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTcC761k7aikn5aE7j	text/html
1327439700.863872	CwMbR4CaQ2WhKxdSc	192.168.94.10	1041	176.34.184.62	80	5	GET	carforhome.net	/w.php?f=19&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FfRjFg2yVGBbUUhFGk	application/x-dosexec
#close	2014-04-03-10-56-35
