#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-20-39
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1359490277.145109	CmSaRZ1dGXzNoDw7d9	192.168.6.10	1030	95.211.162.96	80	1	GET	maturepornxtube.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1359490277.70531	ChLRFc4mecM98gf1ya	192.168.6.10	1032	91.239.232.156	80	1	GET	5108216734411.wheelchairsforindia.org	/news/off.eot	http://5108216734411.wheelchairsforindia.org/news/Chemical_Pillow.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4198	200	OK	-	-	-	(empty)	-	-	-	-	-	FUsxJU1eRuOg9VlEG9	application/vnd.ms-fontobject
1359490277.414675	CVG6I31SHbeLnRjaIf	192.168.6.10	1031	91.239.232.156	80	1	GET	5108216734411.wheelchairsforindia.org	/news/Chemical_Pillow.aspx	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	84416	200	OK	-	-	-	(empty)	-	-	-	-	-	FQGYSC3AomoiFrBe35	text/html
1359490279.588758	C0el3t409uBaS8vj0d	192.168.6.10	1035	64.4.52.169	80	1	POST	activex.microsoft.com	/objects/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	FWXgqE14GfP51vrSd	text/plain	FbJBvV2t26mmHoEp3e	text/plain
1359490279.746642	CgPxJC3NlMHatWuis6	192.168.6.10	1036	65.55.13.243	80	1	POST	codecs.microsoft.com	/isapi/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	FfftFk3xK82UPx8Kr3	text/plain	FjeCk44DMtujneRV4d	text/plain
1359490279.395218	ChLRFc4mecM98gf1ya	192.168.6.10	1032	91.239.232.156	80	2	GET	5108216734411.wheelchairsforindia.org	/news/Boil3.pdf	http://5108216734411.wheelchairsforindia.org/news/Chemical_Pillow.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6880	200	OK	-	-	-	(empty)	-	-	-	-	-	FRAH4p3LDXx2rKwoW9	application/pdf
1359490279.47495	CVG6I31SHbeLnRjaIf	192.168.6.10	1031	91.239.232.156	80	2	GET	5108216734411.wheelchairsforindia.org	/news/Boil1.pdf	http://5108216734411.wheelchairsforindia.org/news/Chemical_Pillow.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11753	200	OK	-	-	-	(empty)	-	-	-	-	-	FXbeL91rWR4m2xHMZe	application/pdf
1359490280.374808	CVG6I31SHbeLnRjaIf	192.168.6.10	1031	91.239.232.156	80	3	GET	5108216734411.wheelchairsforindia.org	/news/Chord6.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	180736	200	OK	-	-	-	(empty)	-	-	-	-	-	FO2yhT2zdurNKwy5rc	application/x-dosexec
1359490283.446595	CVG6I31SHbeLnRjaIf	192.168.6.10	1031	91.239.232.156	80	4	GET	5108216734411.wheelchairsforindia.org	/news/Boil1.pdf	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11789	200	OK	-	-	-	(empty)	-	-	-	-	-	FttX8G5uaaMqoCCM5	application/pdf
1359490287.554435	ChLRFc4mecM98gf1ya	192.168.6.10	1032	91.239.232.156	80	3	GET	5108216734411.wheelchairsforindia.org	/news/descendant2.swf	http://5108216734411.wheelchairsforindia.org/news/Chemical_Pillow.aspx	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1030	200	OK	-	-	-	(empty)	-	-	-	-	-	FK3EmN39FPdSFnxu5	application/x-shockwave-flash
1359490292.220403	C1L0j9M3a636fXPe1	192.168.6.10	1041	91.239.232.156	80	1	GET	5108216734411.wheelchairsforindia.org	/news/Chord.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19490	200	OK	-	-	-	(empty)	-	-	-	-	-	FIsSdP2uOffK7WbEG8	application/jar
#close	2014-04-03-10-20-39
