#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-49-42
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322857252.756404	CmPUN73XMl9SZaXmRc	192.168.81.10	1030	109.236.82.78	80	1	GET	tempdom2.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FhIqsZ1vS2I9diiM99	text/html
1322857252.961824	CXrMOp4qsn7HOcaVjb	192.168.81.10	1031	109.236.82.79	80	1	GET	softportal4.in	/?site=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	200	OK	-	-	-	(empty)	-	-	-	-	-	FXAwGm4hY3wysmoUZ1	text/html
1322857254.059199	CYHPwe48zAyaaT7fi	192.168.81.10	1032	109.236.82.79	80	1	GET	softportal4.in	/?7cc7f17894e5d05b14642648e31bb12c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3991	200	OK	-	-	-	(empty)	-	-	-	-	-	FMHL9224nGnj6Wtqn7	application/jar
1322857254.277066	CrinyT1ro0rsjE8nQ1	192.168.81.10	1033	109.236.82.79	80	1	GET	softportal4.in	/?7cc7f17894e5d05b14642648e31bb12c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3991	200	OK	-	-	-	(empty)	-	-	-	-	-	FRogI7Eg7WedNwcAc	application/jar
1322857254.81752	C6RzCv2oBNXmoOpiDl	192.168.81.10	1038	109.236.82.79	80	1	GET	softportal4.in	/?7cc7f17894e5d05b14642648e31bb12c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3991	200	OK	-	-	-	(empty)	-	-	-	-	-	FBRHCvym9I6Oqdz4f	application/jar
1322857255.118034	CP89FU2EjpfgnTShAa	192.168.81.10	1039	109.236.82.79	80	1	GET	softportal4.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F47dvy1ViM200F9h36	text/html
1322857255.33252	CM5iYzzo5Xl9MK5o9	192.168.81.10	1040	109.236.82.79	80	1	GET	softportal4.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FH1sC84CbkCAuA3R15	text/html
1322857255.56884	CDXa4bvS2vWTIYtH4	192.168.81.10	1041	109.236.82.79	80	1	GET	softportal4.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FspXrBpP7qT1gpCnc	text/html
1322857255.826984	C2Xohv1ageczpkAJO2	192.168.81.10	1042	109.236.82.79	80	1	GET	softportal4.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Ff6jIz45qkqCg5AoS9	text/html
1322857256.269962	CrmLrf1GyYAh0nQJLd	192.168.81.10	1043	109.236.82.79	80	1	GET	softportal3.in	/?b4c2449b90dee0315558a8b22c41eb1d	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	463872	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa7kPc3yuCj9JU68Y1	application/x-dosexec
#close	2014-04-03-09-49-43
