#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-55-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357968042.534335	CmapHT1jfD1ZShCwN6	192.168.28.10	1030	62.149.128.166	80	1	GET	riparazioneiphoneipadfirenze.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	251	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F7NZZX2TJs0KRqEm9e	text/html
1357968042.930133	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	1	GET	www.riparazioneiphoneipadfirenze.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20512	200	OK	-	-	-	(empty)	-	-	-	-	-	FWHqkZ1ORvls82bBNa	text/html
1357968043.196778	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	1	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/xr_main.css	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	935	200	OK	-	-	-	(empty)	-	-	-	-	-	FYvYGz1vYGlIyvSAK3	text/plain
1357968043.194465	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	2	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/xr_text.css	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8813	200	OK	-	-	-	(empty)	-	-	-	-	-	F8JHMXtlzQ7wLlCt	text/plain
1357968043.365472	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	3	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/roe.js	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16062	200	OK	-	-	-	(empty)	-	-	-	-	-	FjdpaN1k3HR87uBHGk	text/plain
1357968043.824688	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	2	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/0.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7541	200	OK	-	-	-	(empty)	-	-	-	-	-	F1RC5r3VdPf2z1VdRa	image/png
1357968043.87411	C2d7eX1EKAYpNpUvsj	192.168.28.10	1034	184.84.143.139	80	1	GET	connect.facebook.net	/it_IT/all.js	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	176969	200	OK	-	-	-	(empty)	-	-	-	-	-	FuT8II3lzXPzltn7z	text/plain
1357968043.841299	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	4	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/369.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FOF9g54r7tjWVe63H4	image/png
1357968043.958491	CFM7Dl3g5DoXOw7oDc	192.168.28.10	1032	62.149.142.109	80	3	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/1.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	840	200	OK	-	-	-	(empty)	-	-	-	-	-	FLWJiT1HsGIrg0OmLf	image/png
1357968044.101343	CTXdet2d10X4ujBzUa	192.168.28.10	1031	62.149.142.109	80	5	GET	www.riparazioneiphoneipadfirenze.it	/index_html_files/2.png	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	981	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz6uO74y4wSB66BJ19	image/png
1357968044.101687	C5f7jN2oBmPL2ny4i	192.168.28.10	1035	213.186.33.19	80	1	GET	aseem31.com	/maes.html?i=1094819	http://www.riparazioneiphoneipadfirenze.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	230	302	Found	-	-	-	(empty)	-	-	-	-	-	FUCoAg2gMVtTx55xd1	text/html
