#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2014-04-03-11-00-52
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	server_name	session_id	subject	issuer_subject	not_valid_before	not_valid_after	last_alert	client_subject	client_issuer_subject	cert_hash	validation_status
#types	time	string	addr	port	addr	port	string	string	string	string	string	string	time	time	string	string	string	string	string
1374168749.173999	Cg9qdRhqOPbosDj3i	192.168.60.10	1076	23.7.15.139	443	SSLv3	TLS_RSA_WITH_RC4_128_MD5	-	-	CN=connect.facebook.net,OU=connect.facebook.net,O=Facebook,L=Palo Alto,ST=CALIFORNIA,C=US	CN=Cybertrust Public SureServer SV CA,O=Cybertrust Inc	1364843571.000000	1396379571.000000	-	-	-	2942cdfaaaabb681d2cdf960b3fcaaaa	ok
1374168749.188963	CMM0iL3YKq5K50PVC6	192.168.60.10	1077	74.125.129.95	443	SSLv3	TLS_RSA_WITH_RC4_128_SHA	-	-	CN=*.googleapis.com,O=Google Inc,L=Mountain View,ST=California,C=US	CN=Google Internet Authority,O=Google Inc,C=US	1373637458.000000	1383281999.000000	-	-	-	0a69e64975e134e53eb29ed37d2072b4	ok
1374168750.922033	CmMNIf3WvszqLYrzb7	192.168.60.10	1079	69.171.234.25	443	SSLv3	TLS_RSA_WITH_RC4_128_SHA	-	-	CN=*.facebook.com,O=Facebook\, Inc.,L=Palo Alto,ST=California,C=US	OU=www.verisign.com/CPS Incorp.by Ref. LIABILITY LTD.(c)97 VeriSign,OU=VeriSign International Server CA - Class 3,OU=VeriSign\, Inc.,O=VeriSign Trust Network	1340254800.000000	1388555999.000000	-	-	-	f10b4102a78b5894231109d6d3fbeeb5	ok
1374168751.107448	CeTkTc3pXuTs91fAn4	192.168.60.10	1081	23.7.2.110	443	SSLv3	TLS_RSA_WITH_RC4_128_SHA	-	-	CN=s-static.ak.facebook.com,OU=s-static.ak.facebook.com,O=s-static.ak.facebook.com,L=Palo Alto,ST=California,C=US	CN=Cybertrust Public SureServer SV CA,O=Cybertrust Inc	1363150837.000000	1394686837.000000	-	-	-	8072f767b362050ff6b5555555555554	ok
1374168773.561467	Cr5WnZtD8FRGq8xEf	192.168.60.10	1140	74.125.224.160	443	SSLv3	TLS_RSA_WITH_RC4_128_SHA	-	-	CN=*.google.com,O=Google Inc,L=Mountain View,ST=California,C=US	CN=Google Internet Authority,O=Google Inc,C=US	1373637630.000000	1383281999.000000	-	-	-	726e408b9b0855cc789ae3b5fb13859c	ok
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27114	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27114	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27114	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27114	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27114	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27114	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-27114	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-62927	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-62927	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-62927	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-62927	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-62927	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-62927	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-62927	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-24568	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-1609	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-1609	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-1609	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-1609	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-33273	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-33273	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-21736	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	-	-	-	-	-	-	-	-	unknown-21736	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-21736	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-21736	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-63665	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-63665	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-63665	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-63665	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-63665	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-63665	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-28973	-	-	-	-
1374168819.644054	Clz6Hw1PTGCk6l4Q6f	192.168.60.10	1195	64.191.122.10	443	unknown-8329	unknown-7904500	-	-	-	-	-	-	unknown-28973	-	-	-	-
