#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323283736.925598	CuIov8Mta2zRG1tNk	192.168.31.10	1030	95.168.165.224	80	1	GET	bvonmovies.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FezZQ33aPcrXs4Rw5e	text/html
1323283737.13394	CG3d1U3WknzQwGd1og	192.168.31.10	1031	149.255.33.227	80	1	GET	winter5.in	/?site=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1323283737.266147	CotbBO25seFRx1kThg	192.168.31.10	1032	109.123.116.51	80	1	GET	googleads6.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FpMqBL37Ha4FVmec5c	text/html
1323283737.489403	CISmfi2O2SJgsHNTE7	192.168.31.10	1036	109.123.116.51	80	1	GET	googleads6.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	302	Found	-	-	-	(empty)	-	-	-	-	-	FaGPsS22HCclcx6gLb	text/html
1323283737.887782	CGfDgj2crqZoa1mfS1	192.168.31.10	1037	89.149.231.46	80	1	GET	gowebnet.net	/r.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1323283739.574405	C63LZ64dkUPDdWAaYb	192.168.31.10	1042	64.17.167.225	80	1	GET	asstro.net	/showthread.php?t=58392143	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	427	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy4gWv3Do8FyiIdMCg	text/html
1323283742.103257	CiY3O93kjk5tVF6aGb	192.168.31.10	1043	64.17.167.225	80	1	GET	asstro.net	/showthread.php?t=83475	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11527	200	OK	-	-	-	(empty)	-	-	-	-	-	FnjOuD19ZE9YlSumq5	application/jar
1323283742.099555	CgHhMc3kB1y1YOPaUg	192.168.31.10	1044	64.17.167.225	80	1	GET	asstro.net	/showthread.php?t=49281	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11393	200	OK	-	-	-	(empty)	-	-	-	-	-	FH3Ze136dpIZlcGS52	application/jar
1323283744.050918	CiY3O93kjk5tVF6aGb	192.168.31.10	1043	64.17.167.225	80	2	GET	asstro.net	/showthread.php?t=83475	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11527	200	OK	-	-	-	(empty)	-	-	-	-	-	FzDQYf1Z0KiVBV4eWk	application/jar
1323283744.224034	CgHhMc3kB1y1YOPaUg	192.168.31.10	1044	64.17.167.225	80	2	GET	asstro.net	/showthread.php?t=49281	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11393	200	OK	-	-	-	(empty)	-	-	-	-	-	FSqGqj2lWOujcu0MI4	application/jar
1323283745.999721	CiY3O93kjk5tVF6aGb	192.168.31.10	1043	64.17.167.225	80	3	GET	asstro.net	/showthread.php?t=83475	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11527	200	OK	-	-	-	(empty)	-	-	-	-	-	FBnQK93BRr2VRTz6tc	application/jar
