#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-02-54
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1356060706.383327	Cvzvuc3ssz2OtsOpH5	192.168.5.10	1030	216.239.32.21	80	1	GET	pornochilango.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	226	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FWJIt63o5AjhzwsYMi	text/html
1356060706.398192	CmCO8k2y9pJusVpG5g	192.168.5.10	1031	74.125.139.121	80	1	GET	www.pornochilango.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	222890	200	OK	-	-	-	(empty)	-	-	-	-	-	FxnKLM1Pdz8h1q4Rm5	text/html
1356060706.794561	CjTXnu2BgM5PYe2Ird	192.168.5.10	1032	109.205.138.42	80	1	GET	www.amateurmexicano.com	/mobile.js	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2113	200	OK	-	-	-	(empty)	-	-	-	-	-	FVPCLM27aYdOsMU2Xc	text/plain
1356060706.944529	CYmR3D1sg73MnWlz6a	192.168.5.10	1034	74.125.137.191	80	1	GET	www.blogger.com	/static/v1/widgets/1937454905-widget_css_bundle.css	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19335	200	OK	-	-	-	(empty)	-	-	-	-	-	F1jG453eG6CccMyHS4	text/plain
1356060706.945474	CHAm2l1idrZhtANb5c	192.168.5.10	1035	74.125.137.191	80	1	GET	www.blogger.com	/static/v1/v-css/3307124014-interstitial_bundle.css	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3404	200	OK	-	-	-	(empty)	-	-	-	-	-	FqqpyhRjymyM68In3	text/plain
1356060706.949527	CYmR3D1sg73MnWlz6a	192.168.5.10	1034	74.125.137.191	80	2	GET	www.blogger.com	/dyn-css/authorization.css?targetBlogID=8113028722257492901&zx=c7fa24e2-17cd-4f17-8aa4-0058d0db7a2e	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	200	OK	-	-	-	(empty)	-	-	-	-	-	FWTE0o2afEu95n6Mu8	application/octet-stream
1356060706.951834	CbkDHV2t6mzDoaDII8	192.168.5.10	1033	74.125.229.226	80	1	GET	www.google-analytics.com	/ga.js	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37362	200	OK	-	-	-	(empty)	-	-	-	-	-	F6smdrpmmZJpXjSo4	text/plain
1356060706.979773	CW1K0e3zH0Wj7WVRHe	192.168.5.10	1036	74.125.137.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.4.2/jquery.min.js	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72174	200	OK	-	-	-	(empty)	-	-	-	-	-	FNE7nLhgykPIQrAPc	text/plain
1356060707.077598	CbkDHV2t6mzDoaDII8	192.168.5.10	1033	74.125.229.226	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.8&utms=1&utmn=1857661835&utmhn=www.pornochilango.com&utmcs=utf-8&utmsr=800x600&utmvp=796x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=PORNO CHILANGO&utmhid=1700665231&utmr=-&utmp=/&utmac=UA-35652768-1&utmcc=__utma=257503242.1099866808.1356074987.1356074987.1356074987.1;+__utmz=257503242.1356074987.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	F3899yrE8wmIDQyje	image/gif
1356060707.13753	CHAm2l1idrZhtANb5c	192.168.5.10	1035	74.125.137.191	80	2	GET	www.blogger.com	/blogin.g?blogspotURL=http://www.pornochilango.com/	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1789	200	OK	-	-	-	(empty)	-	-	-	-	-	FtmcJw1w4M2SHEME24	text/html
1356060707.178695	CHAm2l1idrZhtANb5c	192.168.5.10	1035	74.125.137.191	80	3	GET	www.blogger.com	/img/blogger-logo-small.png	http://www.blogger.com/blogin.g?blogspotURL=http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2106	200	OK	-	-	-	(empty)	-	-	-	-	-	F4x3JE2SRSpMDAmk6e	image/png
