#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-50-42
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337208707.413181	CJVgyp4NOwk9rB4wpj	192.168.2.10	1030	216.146.38.125	80	1	GET	thelocal.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1337208707.670803	Ctpzg14eO9oDpKHwCh	192.168.2.10	1031	46.20.229.1	80	1	GET	www.thelocal.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	102492	200	OK	-	-	-	(empty)	-	-	-	-	-	FgB1xe3JLpUJRwEK8a	text/html
1337208708.293808	Ctpzg14eO9oDpKHwCh	192.168.2.10	1031	46.20.229.1	80	2	GET	www.thelocal.de	/styles/print.css	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4114	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb9F0T1gqtWm8Z7o76	text/plain
1337208708.301012	CyvUNt4ITB8pB6Y0g2	192.168.2.10	1032	46.20.229.1	80	1	GET	www.thelocal.de	/styles/screen.css?20110728	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72097	200	OK	-	-	-	(empty)	-	-	-	-	-	FD0ysJ2s1GL9hsTvB7	text/plain
1337208708.506819	Ctpzg14eO9oDpKHwCh	192.168.2.10	1031	46.20.229.1	80	3	GET	www.thelocal.de	/scripts/jquery-1.2.6.min.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55774	200	OK	-	-	-	(empty)	-	-	-	-	-	FYbrA02pD54vzoGRTa	text/plain
1337208709.058273	CyvUNt4ITB8pB6Y0g2	192.168.2.10	1032	46.20.229.1	80	2	GET	www.thelocal.de	/scripts/jquery.tablesorter.min.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12795	200	OK	-	-	-	(empty)	-	-	-	-	-	FSwg5J25UMyV1HiF6e	application/x-elc
1337208709.256603	Ctpzg14eO9oDpKHwCh	192.168.2.10	1031	46.20.229.1	80	4	GET	www.thelocal.de	/scripts/jquery.tablesorter.pager.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3936	200	OK	-	-	-	(empty)	-	-	-	-	-	FAQhVP30NLs0AmvtO3	text/plain
1337208709.457425	CyvUNt4ITB8pB6Y0g2	192.168.2.10	1032	46.20.229.1	80	3	GET	www.thelocal.de	/scripts/core.js?v=20120320	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2804	200	OK	-	-	-	(empty)	-	-	-	-	-	FDEJWs1JpyHibru5jg	text/plain
1337208711.971448	Cf95Jehh0c3jqEMKe	192.168.2.10	1037	173.241.250.2	80	1	GET	d1.openx.org	/spcjs.php?id=32107&sov=80&keywords=&loggedin=n&block=1&charset=ISO-8859-1	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2325	200	OK	-	-	-	(empty)	-	-	-	-	-	FyXdjY23X1br3w1A5h	text/plain
1337208712.013743	CwaA5G2IUOBad80Upb	192.168.2.10	1038	173.241.250.2	80	1	GET	d1.openx.org	/fl.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6707	200	OK	-	-	-	(empty)	-	-	-	-	-	FENpmmQe9sixrX4j	text/plain
1337208712.003207	Cf95Jehh0c3jqEMKe	192.168.2.10	1037	173.241.250.2	80	2	GET	d1.openx.org	/spc.php?zones=leaderboard=133221|sectionhomepagescolumn1a=144777|belowcontentcolumn1=158303|topcolumn2a=172584|abovehighlightscolumn2=144775|belowhighlightscolumn2a=158293|belowhighlightscolumn2b=133453|topcolumn3a=138653|topcolumn3b=165673|topcolumn3c=165674|belowtextadscolumn3=133454|topcolumn4=150755|sectioncolumn1b=175310|&nz=1&source=home&r=78134494&sov=80&keywords=&loggedin=n&block=1&charset=ISO-8859-1&loc=http://www.thelocal.de/	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30017	200	OK	-	-	-	(empty)	-	-	-	-	-	F4FMDCIGujbsPktZc	text/plain
