#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-52-39
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1329589782.052714	CLk8BK2QPh3u6sGZGj	192.168.15.10	1030	98.124.198.1	80	1	GET	mmhaoshui.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	147	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FIAmUf1xNq8pSvn8h	text/html
1329589782.182206	C0BPbw3PFQTXGoBTDh	192.168.15.10	1031	69.4.227.1	80	1	GET	mkmk.co	/img/pic.htm	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	193	200	OK	-	-	-	(empty)	-	-	-	-	-	FDcxjUePOLUQusUdd	text/html
1329589782.255343	C0BPbw3PFQTXGoBTDh	192.168.15.10	1031	69.4.227.1	80	2	GET	mkmk.co	/img/pic.gif	http://mkmk.co/img/pic.htm	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3138	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpm52Bgv2iVgHAN0l	text/plain
1329589782.342071	C0BPbw3PFQTXGoBTDh	192.168.15.10	1031	69.4.227.1	80	3	GET	mkmk.co	/img/jpera.html	http://mkmk.co/img/pic.htm	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1781	200	OK	-	-	-	(empty)	-	-	-	-	-	FBC5QC3KRheq8A2lrl	text/html
1329589782.681398	ChYLjg4y6YjOKg6n01	192.168.15.10	1032	69.4.227.1	80	1	GET	mkmk.co	/img/werwa.html	http://mkmk.co/img/pic.htm	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	956	200	OK	-	-	-	(empty)	-	-	-	-	-	FX4iUD13vUwFm0v8Xk	text/html
1329589782.682149	C0BPbw3PFQTXGoBTDh	192.168.15.10	1031	69.4.227.1	80	4	GET	mkmk.co	/img/asqaw.html	http://mkmk.co/img/pic.htm	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27797	200	OK	-	-	-	(empty)	-	-	-	-	-	FyQhLK3DXY18uU2Yoh	text/html
1329589782.964583	C0BPbw3PFQTXGoBTDh	192.168.15.10	1031	69.4.227.1	80	5	GET	mkmk.co	/img/jpg.js	http://mkmk.co/img/jpera.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41196	200	OK	-	-	-	(empty)	-	-	-	-	-	FYZkQE3HpKwztkL7sb	text/plain
1329589782.75386	ChYLjg4y6YjOKg6n01	192.168.15.10	1032	69.4.227.1	80	2	GET	mkmk.co	/img/nearc.html	http://mkmk.co/img/pic.htm	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	53633	200	OK	-	-	-	(empty)	-	-	-	-	-	F2eYlo4jPIaSMKy5Te	text/html
1329589783.112392	C0BPbw3PFQTXGoBTDh	192.168.15.10	1031	69.4.227.1	80	6	GET	mkmk.co	/img/sro.js	http://mkmk.co/img/werwa.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9439	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm904C4FP1dt69k5re	text/plain
1329589782.956374	CN6PlRbdJpaMWn723	192.168.15.10	1033	221.181.73.218	80	1	GET	count8.51yes.com	/click.aspx?id=88818368&logo=1	http://mkmk.co/img/pic.htm	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1773	200	OK	-	-	-	(empty)	-	-	-	-	-	FzHSMd41PtUaXrdi6c	text/html
1329589803.270427	C9klyfZsrLJD3yavk	192.168.15.10	1038	174.127.76.31	80	1	GET	fox.sasvt.com	/images/het5623.jpg	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	164864	200	OK	-	-	-	(empty)	-	-	-	-	-	F3okh742AL8EckoJwb	application/x-dosexec
