#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1345328808.266833	C8EmSO2pzjWPKzSNj	192.168.51.10	1029	62.225.47.14	80	1	GET	aquariuminternational.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1345328808.77474	Cu0tlr1e3kwNfuNqsi	192.168.51.10	1035	62.225.47.14	80	1	GET	www.aquariuminternational.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	44501	200	OK	-	-	-	(empty)	-	-	-	-	-	FuoP9C22rYd0wSowNj	text/html
1345328809.397156	C1ko4k2qAniX7uBJOi	192.168.51.10	1037	62.225.47.14	80	1	GET	www.aquariuminternational.de	/wp-content/themes/pilcrow/style.css	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17449	200	OK	-	-	-	(empty)	-	-	-	-	-	FXZsLO2rsNu6g3DKM2	text/plain
1345328809.866665	Cu0tlr1e3kwNfuNqsi	192.168.51.10	1035	62.225.47.14	80	2	GET	www.aquariuminternational.de	/wp-content/themes/pilcrow/colors/dark.css	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3777	200	OK	-	-	-	(empty)	-	-	-	-	-	FEOn663XbV6ZuERsde	text/plain
1345328809.867043	C1ko4k2qAniX7uBJOi	192.168.51.10	1037	62.225.47.14	80	2	GET	www.aquariuminternational.de	/wp-includes/js/jquery/jquery.js?ver=1.7.1	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	94202	200	OK	-	-	-	(empty)	-	-	-	-	-	Fv5bhW1O9HTsZPCNM6	text/html
1345328810.418672	Cu0tlr1e3kwNfuNqsi	192.168.51.10	1035	62.225.47.14	80	3	GET	www.aquariuminternational.de	/wp-content/plugins/my-calendar/js/jquery.easydrag.js?ver=3.3	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5188	200	OK	-	-	-	(empty)	-	-	-	-	-	FySbn53Pn1AHmJTJS2	text/plain
1345328810.549499	C1ko4k2qAniX7uBJOi	192.168.51.10	1037	62.225.47.14	80	3	GET	www.aquariuminternational.de	/wp-content/plugins/my-calendar/styles/refresh.css	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9478	200	OK	-	-	-	(empty)	-	-	-	-	-	FpBepu4Us0lhdlGnl3	text/plain
1345328810.682744	CMSGL62OKVdzvZqXck	192.168.51.10	1038	74.125.130.95	80	1	GET	fonts.googleapis.com	/css?family=Oswald	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	451	200	OK	-	-	-	(empty)	-	-	-	-	-	FqDckZ1F2P7MraWx43	text/plain
1345328810.70123	CNVsDe1FUq2V2UhkKj	192.168.51.10	1039	74.125.134.132	80	1	GET	themes.googleusercontent.com	/static/fonts/oswald/v5/-WzdRTzRa5k6HlJK6-dK9Q.eot	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20345	200	OK	-	-	-	(empty)	-	-	-	-	-	FcrVwYInM8QIiCZ3d	application/vnd.ms-fontobject
1345328810.673963	Cu0tlr1e3kwNfuNqsi	192.168.51.10	1035	62.225.47.14	80	4	GET	www.aquariuminternational.de	/wp-content/plugins/paid-downloads/css/style.css?ver=3.15	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8985	200	OK	-	-	-	(empty)	-	-	-	-	-	FIbXeq2Gw4uHGzDEs1	text/plain
1345328810.67527	C1ko4k2qAniX7uBJOi	192.168.51.10	1037	62.225.47.14	80	4	GET	www.aquariuminternational.de	/wp-content/uploads/2012/03/Banner-Website-pdf1.jpg	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	76074	200	OK	-	-	-	(empty)	-	-	-	-	-	FadslV3iUSzbE2nN22	image/jpeg
1345328810.807578	Cu0tlr1e3kwNfuNqsi	192.168.51.10	1035	62.225.47.14	80	5	GET	www.aquariuminternational.de	/wp-content/uploads/2012/08/diagramm1-225x300.jpg	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22045	200	OK	-	-	-	(empty)	-	-	-	-	-	FUY4vj4uL8cza8VWt4	image/jpeg
1345328810.884628	Ck79Hq11CiS6kh0Ooi	192.168.51.10	1040	66.220.149.88	80	1	GET	www.facebook.com	/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15970	200	OK	-	-	-	(empty)	-	-	-	-	-	FUhkedzYfsqBEPtN6	text/html
1345328811.066991	Cebn972Dap4TeHdbfk	192.168.51.10	1042	69.31.74.216	80	1	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/yG/r/6wyD4-1Wi9o.css	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	205477	200	OK	-	-	-	(empty)	-	-	-	-	-	FarGhQP72YAenDqj6	text/plain
1345328811.068048	Ch2WeCveTciBkZqXf	192.168.51.10	1044	69.31.74.216	80	1	GET	static.ak.fbcdn.net	/rsrc.php/v2/yG/r/74-XJfZi137.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	61055	200	OK	-	-	-	(empty)	-	-	-	-	-	FSel802wKVzqGXz4Ai	text/plain
1345328811.067621	CNDb0f1p3Am4M8QWOb	192.168.51.10	1043	69.31.74.216	80	1	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/y_/r/A2fIItMUmjL.css	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	143279	200	OK	-	-	-	(empty)	-	-	-	-	-	FDUCNk254bRXf7kSUl	text/plain
1345328811.077797	Cebn972Dap4TeHdbfk	192.168.51.10	1042	69.31.74.216	80	2	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/y5/r/pQuN3yuTFUe.css	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2721	200	OK	-	-	-	(empty)	-	-	-	-	-	F9Oju74RWKvOTZNbji	text/plain
1345328811.085207	CNDb0f1p3Am4M8QWOb	192.168.51.10	1043	69.31.74.216	80	2	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/yP/r/abs0-FmBxja.css	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	737	200	OK	-	-	-	(empty)	-	-	-	-	-	FiUd071940hXinfyjc	text/plain
1345328811.085943	Cebn972Dap4TeHdbfk	192.168.51.10	1042	69.31.74.216	80	3	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/yJ/r/nS5eOgC40Ge.css	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17668	200	OK	-	-	-	(empty)	-	-	-	-	-	F6YplV2ZOoMCG1wIJ2	text/plain
1345328811.086955	CNDb0f1p3Am4M8QWOb	192.168.51.10	1043	69.31.74.216	80	3	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/yl/r/biRUd50fT8g.css	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20804	200	OK	-	-	-	(empty)	-	-	-	-	-	FNRE3BbWGrxlOGLAc	text/plain
1345328811.024792	C1ko4k2qAniX7uBJOi	192.168.51.10	1037	62.225.47.14	80	5	GET	www.aquariuminternational.de	/wp-content/uploads/2012/01/cover-portrait-225x300.jpg	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34609	200	OK	-	-	-	(empty)	-	-	-	-	-	FAOOfd3Z8ZmAJsYQqe	image/jpeg
1345328811.191438	Ch2WeCveTciBkZqXf	192.168.51.10	1044	69.31.74.216	80	2	GET	static.ak.fbcdn.net	/rsrc.php/v2/yI/r/Zo6U6K-utZO.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39280	200	OK	-	-	-	(empty)	-	-	-	-	-	F4U5SD1RcNpTcuKWnf	text/plain
1345328811.234149	Cebn972Dap4TeHdbfk	192.168.51.10	1042	69.31.74.216	80	4	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/y7/r/lRcNAULmviF.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	462244	200	OK	-	-	-	(empty)	-	-	-	-	-	Fumcxz4iaAe58RViad	text/plain
1345328811.057617	Cu0tlr1e3kwNfuNqsi	192.168.51.10	1035	62.225.47.14	80	6	GET	www.aquariuminternational.de	/wp-content/uploads/2012/08/cover03-D-vorab-225x300.jpg	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34564	200	OK	-	-	-	(empty)	-	-	-	-	-	FyfcQw1ou1NfpGZRV7	image/jpeg
1345328811.421743	Ch2WeCveTciBkZqXf	192.168.51.10	1044	69.31.74.216	80	3	GET	static.ak.fbcdn.net	/rsrc.php/v2/yg/r/qCgRXGbFcG8.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	44486	200	OK	-	-	-	(empty)	-	-	-	-	-	F05N9c1ytGRLL3uv0b	text/plain
1345328811.450711	Ch2WeCveTciBkZqXf	192.168.51.10	1044	69.31.74.216	80	4	GET	static.ak.fbcdn.net	/rsrc.php/v2/yy/r/ZY978StqBr2.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	262926	200	OK	-	-	-	(empty)	-	-	-	-	-	F1kvEx1KYi2JCw49jh	text/plain
1345328811.519565	CNDb0f1p3Am4M8QWOb	192.168.51.10	1043	69.31.74.216	80	4	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/yd/r/BmDWM2pR4nj.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85334	200	OK	-	-	-	(empty)	-	-	-	-	-	F5U93r4rDx7iPR2tK9	text/plain
1345328811.422964	Cu0tlr1e3kwNfuNqsi	192.168.51.10	1035	62.225.47.14	80	7	GET	www.aquariuminternational.de	/wp-content/uploads/2012/07/Werbung-4-300x218.jpg	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25461	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk6gJG2wqxkfuF0dAl	image/jpeg
1345328811.621171	Ch2WeCveTciBkZqXf	192.168.51.10	1044	69.31.74.216	80	5	GET	static.ak.fbcdn.net	/rsrc.php/v2/yu/r/Nnr-ClhwknZ.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5323	200	OK	-	-	-	(empty)	-	-	-	-	-	FPujku1G5Frttnd7J3	text/plain
1345328811.690392	Ch2WeCveTciBkZqXf	192.168.51.10	1044	69.31.74.216	80	6	GET	static.ak.fbcdn.net	/rsrc.php/v2/yF/r/Pgp-k-6uuyj.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7430	200	OK	-	-	-	(empty)	-	-	-	-	-	FhFYYu8RMmHcnO0Wi	text/plain
1345328811.721153	Cebn972Dap4TeHdbfk	192.168.51.10	1042	69.31.74.216	80	5	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/y-/r/6FnWP6dMERv.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7161	200	OK	-	-	-	(empty)	-	-	-	-	-	FOZJbb4Y43YsMKWMph	text/plain
1345328811.61699	Cu0tlr1e3kwNfuNqsi	192.168.51.10	1035	62.225.47.14	80	8	GET	www.aquariuminternational.de	/wp-content/uploads/2012/07/Werbung-8-300x218.jpg	http://www.aquariuminternational.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29055	200	OK	-	-	-	(empty)	-	-	-	-	-	FVwA2L2pH7claFoQZ	image/jpeg
1345328811.747628	Ch2WeCveTciBkZqXf	192.168.51.10	1044	69.31.74.216	80	7	GET	static.ak.fbcdn.net	/rsrc.php/v2/yS/r/Pnay4FeIDGD.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2545	200	OK	-	-	-	(empty)	-	-	-	-	-	FOc50fwEVWNNMqDCc	text/plain
1345328811.816762	CNDb0f1p3Am4M8QWOb	192.168.51.10	1043	69.31.74.216	80	5	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/yr/r/2wqj_P-T9ed.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2088	200	OK	-	-	-	(empty)	-	-	-	-	-	FVR8YAOlQlf9xRKy1	text/plain
1345328811.83518	Cebn972Dap4TeHdbfk	192.168.51.10	1042	69.31.74.216	80	6	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/yh/r/YMErgXt7OoJ.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	44556	200	OK	-	-	-	(empty)	-	-	-	-	-	FR08Lj1oloKachX6cg	text/plain
1345328811.873162	CNDb0f1p3Am4M8QWOb	192.168.51.10	1043	69.31.74.216	80	6	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/y0/r/lKJIKBe9JoW.js	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	98954	200	OK	-	-	-	(empty)	-	-	-	-	-	FZZN6p25F8EpnoNDqe	text/plain
1345328812.08245	Cebn972Dap4TeHdbfk	192.168.51.10	1042	69.31.74.216	80	7	GET	b.static.ak.fbcdn.net	/rsrc.php/v2/y9/r/0otjXnIZgE2.gif	http://www.facebook.com/plugins/likebox.php?id=196064273797986&width=230&colorscheme=dark&connections=3&stream=false&header=false&height=265	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7226	200	OK	-	-	-	(empty)	-	-	-	-	-	FSiJNA27p3xM7GGArf	image/gif
