#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-08-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1368563142.855994	CHcuOv2gX84gpnpTkb	192.168.69.10	1030	64.147.122.110	80	1	GET	rollingstone.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1368563142.883779	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	1	GET	www.rollingstone.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	84137	200	OK	-	-	-	(empty)	-	-	-	-	-	FJyY3E2PtrulwBSuv3	text/html
1368563142.913787	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	2	GET	www.rollingstone.com	/css/fe/ie.css	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1942	200	OK	-	-	-	(empty)	-	-	-	-	-	FpgY6k4ICjYz6nQ7Ad	text/plain
1368563142.928032	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	3	GET	www.rollingstone.com	/css/fe/metadata-panel.adedaedfe108d0e2d8a0fc3cf2a0186b.css	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1330	200	OK	-	-	-	(empty)	-	-	-	-	-	FcEvPq3VtLOkwj6Hi9	text/plain
1368563142.944735	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	4	GET	www.rollingstone.com	/css/fe/rsplus.78fa4584e07c2e3cabf997ced5ff6d6a.css	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	52927	200	OK	-	-	-	(empty)	-	-	-	-	-	F376e6CDgiznPRqej	text/plain
1368563142.988915	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	5	GET	www.rollingstone.com	/css/fe/simple.jcarousel.4d59dce4c8c7a17cb0da3a23f479175d.css	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10190	200	OK	-	-	-	(empty)	-	-	-	-	-	FqAsz62F5wtlqGLkTc	text/plain
1368563143.007431	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	6	GET	www.rollingstone.com	/css/fe/homepage.71b0701352a70ef91b8c03a294eedef7.css	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28690	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm1TvNPPvCTpf5XH9	text/plain
1368563142.927626	CeCIBz2m4kqdpUaY52	192.168.69.10	1032	23.62.111.137	80	1	GET	www.rollingstone.com	/css/fe/global-2.c7899f0939d1a2823865edbd9af9aa0e.css	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	370552	200	OK	-	-	-	(empty)	-	-	-	-	-	FS2SpV3OBIrK562pp2	text/plain
1368563143.043868	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	7	GET	www.rollingstone.com	/css/fe/taibbimodule.52fad2a998e2eabdbc2dca080b0a47c6.css	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1514	200	OK	-	-	-	(empty)	-	-	-	-	-	FI9u6k806Rz2VAMY3	text/plain
1368563143.114606	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	8	GET	www.rollingstone.com	/css/fe/yaml.css	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29287	200	OK	-	-	-	(empty)	-	-	-	-	-	FOJw8T2OOOXyYlhLrb	text/plain
1368563143.114297	CeCIBz2m4kqdpUaY52	192.168.69.10	1032	23.62.111.137	80	2	GET	www.rollingstone.com	/js/fe/jquery.65b352e1ba79f0e2a3b1e014bc2571af.js	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72328	200	OK	-	-	-	(empty)	-	-	-	-	-	FxXig51Jqlkmvqjk61	text/plain
1368563143.250398	CWniiZ2lndARGZxOJe	192.168.69.10	1031	23.62.111.137	80	9	GET	www.rollingstone.com	/js/fe/jquery.jcarousel.a2b9472a046c0fcee28384432f6afecc.js	http://www.rollingstone.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25468	200	OK	-	-	-	(empty)	-	-	-	-	-	FwJM3DzNdQT3zGkqi	text/plain
