#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-12-00
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327567693.884847	C0BzSHCX978E05lOh	192.168.83.10	1030	208.64.123.45	80	1	GET	21u9b83matkfiw.l92.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FKv88C1LdMiVKi9yla	text/html
1327567694.092826	CywaAuQ3RhdflaM6d	192.168.83.10	1031	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1729	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FtnjBI11TALnU5HFqh	text/html
1327567694.249327	CGOXBp1t8cIakSewe2	192.168.83.10	1032	209.17.74.150	80	1	GET	i34.tinypic.com	/2ajb6so.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85090	200	OK	-	-	-	(empty)	-	-	-	-	-	F16Gl31P314FKvG5bg	image/png
1327567695.233483	Cs43JN3T6CpNWK5WF6	192.168.83.10	1033	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43957	200	OK	-	-	-	(empty)	-	-	-	-	-	F1SbMx1HOkca3sryY4	text/html
1327567696.589311	CAIdZM26SwVHQo4mi	192.168.83.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?dd6fbea61d7367a4b2ce79086ce1519e=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	278528	200	OK	-	-	-	(empty)	-	-	-	-	-	FhNlXF13MRlT7yjmae	application/x-dosexec
1327567698.804215	CnQQaU1hgXvG4SE77k	192.168.83.10	1042	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 506^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327567698.821087	Cn1eFm2RrpwKzSI7ni	192.168.83.10	1039	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FCbdmNiHWWaD0SU21	application/jar
1327567698.823099	CxFkNx1X21PDLWhXgg	192.168.83.10	1040	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	F4YwIc2YEid2SXoNJk	application/jar
1327567698.823622	CzSa54lUaHCcbyM8b	192.168.83.10	1041	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	FfMjbD1BAOH0e5pqS2	application/zip
1327567698.932892	CJbOsa1oDaODirTS09	192.168.83.10	1043	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FKRK7C4gemKLQnAN8	application/jar
1327567698.937637	CVAT2t3KjRnizMYwq5	192.168.83.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FJj2mL38YlToA1I8ee	application/jar
