#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-29-42
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1364326376.896054	CGuQo34ZQYy5Uo3QFf	192.168.65.10	1030	109.206.178.73	80	1	GET	top-hot-gaylist.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1364326377.159145	Cr6C0f1zXjMSM2pIti	192.168.65.10	1031	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/?8b2f3a5d255384a7ac8a45bae499e2e2=k37	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1701	200	OK	-	-	-	(empty)	-	-	-	-	-	FjCN6j4BCg2XirqrIb	text/html
1364326377.294664	CNtR9DfFTzsGfCyel	192.168.65.10	1032	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/8c8bb37499e5297c60dd939f2e2a3f55.eot	http://emergency.microsoft.security.software.update.patch.ci.5yebatek.info/?8b2f3a5d255384a7ac8a45bae499e2e2=k37	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4201	200	OK	-	-	-	(empty)	-	-	-	-	-	F83DUi4umf3yIn2YJ8	application/vnd.ms-fontobject
1364326377.818039	CecIm2FQfSrLq9GXc	192.168.65.10	1034	65.49.23.2	80	1	GET	65.49.23.2	/?b2a8294d75916a4a3e4d63e27df09c2c	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	FmQHE34bKC84sRsL8i	application/x-dosexec
1364326380.101687	C6iQeP1ZvxHUx2b9q1	192.168.65.10	1035	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/e0e8d086430bac8d43157954ea8b56ab/5a86b8497e7e6e2259e387c84c1cbc6d.swf	http://emergency.microsoft.security.software.update.patch.ci.5yebatek.info/?8b2f3a5d255384a7ac8a45bae499e2e2=k37	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FIpE0KgRFtoCipYl4	text/html
1364326384.478269	ClByf03drXspzGdkc4	192.168.65.10	1041	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/39fc6678a6f75841788a1cb35b63b235/d4ace05a2e3a441f06d372da1824b635.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3399	200	OK	-	-	-	(empty)	-	-	-	-	-	FcbjqWNCz8Ue44pT	application/zip
1364326384.479526	CWMZiq2n2Np6FgMGY6	192.168.65.10	1040	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/e0e8d086430bac8d43157954ea8b56ab/1ec30c47e0fb522a16c02711337500ee.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9983	200	OK	-	-	-	(empty)	-	-	-	-	-	F3Gi0l3MozEi2xI5Dj	application/jar
1364326384.619244	CVp2qC3IrJmwrMGbYe	192.168.65.10	1042	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/e0e8d086430bac8d43157954ea8b56ab/1ec30c47e0fb522a16c02711337500ee.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9983	200	OK	-	-	-	(empty)	-	-	-	-	-	F8OFbk3hVEnDRWtzp5	application/jar
1364326384.625647	CE9MsF18LxrFxxNSQh	192.168.65.10	1043	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/39fc6678a6f75841788a1cb35b63b235/d4ace05a2e3a441f06d372da1824b635.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3399	200	OK	-	-	-	(empty)	-	-	-	-	-	FMFLs51T0Mo7dLpYnd	application/zip
1364326384.911502	CiEKD41ghQObSSEnzk	192.168.65.10	1044	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/e0e8d086430bac8d43157954ea8b56ab/1ec30c47e0fb522a16c02711337500ee.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9983	200	OK	-	-	-	(empty)	-	-	-	-	-	FHnlcY1A55oUF0ayt5	application/jar
1364326385.248501	CDCZtu6MpBkbix0dc	192.168.65.10	1045	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.ci.5yebatek.info	/e0e8d086430bac8d43157954ea8b56ab/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	FPv9oy4rT4zzSQ4jPh	binary
