#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-20-25
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322010461.520422	CDQ9CO2CRidO16IXOk	192.168.93.10	1030	95.168.165.225	80	1	GET	babyfreesite.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	238	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F695MR17D1H1ct9mcg	text/html
1322010461.654631	Chinij1nlpdtarnxT	192.168.93.10	1031	149.255.33.228	80	1	GET	vipservice8.in	/?site=11	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1322010461.845836	CkJmmv3DbDElCUdzEc	192.168.93.10	1032	109.123.116.51	80	1	GET	googleads4.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FkV3EugVk46XLrgAi	text/html
1322010462.076663	CsQcId1tqszLq90pv9	192.168.93.10	1036	109.123.116.51	80	1	GET	googleads4.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	302	Found	-	-	-	(empty)	-	-	-	-	-	FTfzRn2gI7K5AqH9zb	text/html
1322010462.248871	CVg7o14mrbzysNxbUc	192.168.93.10	1037	149.255.33.228	80	1	GET	portal1for8.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	200	OK	-	-	-	(empty)	-	-	-	-	-	FfHo88Yt3j18awOQ4	text/html
1322010464.056765	C4oEoD4jjAA2uHRHbf	192.168.93.10	1042	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3982	200	OK	-	-	-	(empty)	-	-	-	-	-	FgSQ8a2zyZ2rFc13Ei	application/jar
1322010464.146113	CbSSL6psu2XGBRWA3	192.168.93.10	1043	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3982	200	OK	-	-	-	(empty)	-	-	-	-	-	FfzG5c4KIihJQEEVT	application/jar
1322010464.339042	CE3pfS2ihziT6S9KWh	192.168.93.10	1044	149.255.33.228	80	1	GET	portal1for8.in	/?106c91660096df526c3bdce007721da8	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3982	200	OK	-	-	-	(empty)	-	-	-	-	-	FZMZFG3ltx4Y0ZtuC6	application/jar
1322010464.455071	CXXeDP1QK5NU2b48Gh	192.168.93.10	1045	149.255.33.228	80	1	GET	portal1for8.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F7vE1c2jttJ1OWk8g6	text/html
1322010464.52108	CShqkd2R8LCB0P9ey4	192.168.93.10	1046	149.255.33.228	80	1	GET	portal1for8.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FRe6yh4vCGjo9ZICGj	text/html
1322010464.572877	CTQQrl2PBlH8d2oRLe	192.168.93.10	1047	149.255.33.228	80	1	GET	portal1for8.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FydhluWvtqwcvUvUc	text/html
