#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-49-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1387996893.658238	CMnKNS2sGbFtvpQ7Oa	192.168.63.10	1036	192.133.137.139	80	1	GET	filmaboutulife.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1387996894.027833	CSq3nv1QrIbT7DisU	192.168.63.10	1037	193.169.245.69	80	1	GET	2013.iqko.cpzbspcswgt.degreereplys.in	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	726	200	OK	-	-	-	(empty)	-	-	-	-	-	FiQn9A4GVLGqxoMhBb	text/html
1387996895.267884	C5MjjGZhP8hQ97Fy4	192.168.63.10	1038	193.169.245.69	80	1	GET	2013.iqko.cpzbspcswgt.degreereplys.in	/94185/075d8_f/ed/7_145f_44fe2a775584ac/ad4e565d0b_f_15/e/b/4ff473_73b5/3615d/b/d	http://2013.iqko.cpzbspcswgt.degreereplys.in/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	12329	200	OK	-	-	-	(empty)	-	-	-	-	-	Fflbes4a8d3yRPTHwa	text/html
1387996899.291256	CssSnu3ptPob0MqH5	192.168.63.10	1039	193.169.245.69	80	1	GET	193.169.245.69	/?124ed3cca60af1a0af43bcd3990af15a	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	202752	200	OK	-	-	-	(empty)	-	-	-	-	-	FJVGTz39wY6vjDA203	application/x-dosexec
1387996907.831488	CmhKHy2AYawhLjKmmd	192.168.63.10	1044	193.169.245.69	80	1	GET	193.169.245.69	/?a31b023383b585ae7b64d656f48355d9	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1387996908.264747	C3vtGi3yELQPnzuUkk	192.168.63.10	1045	193.169.245.69	80	1	GET	193.169.245.69	/?57e4dad87614cbb92b514b35813e8f15	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1387996908.611295	CW2YEz3EdeV7z5IM33	192.168.63.10	1046	193.169.245.69	80	1	GET	193.169.245.69	/?0c0c9050f2334008da93871fb7c61394	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1387996908.98051	CglRbeYC3pEIgHDh7	192.168.63.10	1047	193.169.245.69	80	1	GET	193.169.245.69	/?cd9fb72df0c58b197e7a5d23406ef4c2	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1387996909.3636	C1wHEf2diVHfKHDqd9	192.168.63.10	1048	193.169.245.69	80	1	GET	193.169.245.69	/?28eaf253c21d6508b88a040823eedcbc	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1387996927.271099	Cl3c2XFHwVFP04Rfh	192.168.63.10	1049	77.204.102.224	35618	1	POST	77.204.102.224	/30468/q5aotdlcum/index.php	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0)	130	164366	200	OK	-	-	-	(empty)	-	-	-	FquP2o4zrdVehHtwGe	binary	FHFbEM2yZ9jV4Taiab	binary
1387996938.308545	Cefire4v5vgVxgbqrg	192.168.63.10	1050	106.51.53.101	35618	1	POST	106.51.53.101	/RgEKtt?DhfDLiVJCBP=wwwmCrEfokiH&XPaIRGLfcbA	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0)	78	0	200	OK	-	-	-	(empty)	-	-	-	FUP5axNInpou9Rnzb	binary	-	-
