#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-33-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1342450569.475706	CmWVOD2fAlnt9e1vqg	192.168.78.10	1030	90.216.121.28	80	1	GET	3e9s.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1342450570.026848	CE9sT93zZtOoOndL0g	192.168.78.10	1031	81.61.217.85	80	1	GET	sn134w.snt134.mail.live.3e9s.com	/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5455	200	OK	-	-	-	(empty)	-	-	-	-	-	FTGULU2xAOU0abDxv2	text/html
1342450570.493692	CwDOi63MARKWBrYuJb	192.168.78.10	1032	74.125.139.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.7.1/jquery.min.js	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93868	200	OK	-	-	-	(empty)	-	-	-	-	-	FCzAa54M4IiAaSxO18	text/html
1342450570.475783	CE9sT93zZtOoOndL0g	192.168.78.10	1031	81.61.217.85	80	2	GET	sn134w.snt134.mail.live.3e9s.com	/templates/mobile2/images/MobileCSS1033.css	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2639	200	OK	-	-	-	(empty)	-	-	-	-	-	FlG6hVy2tY8dkH6s2	text/plain
1342450570.794391	CE9sT93zZtOoOndL0g	192.168.78.10	1031	81.61.217.85	80	3	GET	sn134w.snt134.mail.live.3e9s.com	/templates/exit.js	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2402	200	OK	-	-	-	(empty)	-	-	-	-	-	FKDY5jpqn3CKTVwJ7	text/html
1342450571.267575	CBlu5z36VLF7L1oagi	192.168.78.10	1035	64.34.154.74	80	1	GET	f.g73g.com	/?716cad33d48dd98eae9004bb6cfb44f6	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1342450571.282805	C7GdrE3flFsljc1wNj	192.168.78.10	1036	184.73.190.197	80	1	GET	server1.opentracker.net	/?site=utyttyej.com	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3306	200	OK	-	-	-	(empty)	-	-	-	-	-	FpKwkH3JybwpnbTBjf	text/plain
1342450571.332817	C8z79p4ZJgrVBIbYbj	192.168.78.10	1038	64.34.154.74	80	1	GET	f.g73g.com	/1341797401.php?716cad33d48dd98eae9004bb6cfb44f6	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	253	200	OK	-	-	-	(empty)	-	-	-	-	-	FTp2wn2tQu3oMjint7	text/plain
1342450571.131493	CE9sT93zZtOoOndL0g	192.168.78.10	1031	81.61.217.85	80	4	GET	sn134w.snt134.mail.live.3e9s.com	/templates/mobile2/images/WLFlag.png	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	933	200	OK	-	-	-	(empty)	-	-	-	-	-	FoA2neAnOWxXcStKh	image/png
1342450571.321133	CmiGtu4hJEOOFYSUvj	192.168.78.10	1037	209.17.68.209	80	1	GET	i49.tinypic.com	/x1xgeh.png	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27700	200	OK	-	-	-	(empty)	-	-	-	-	-	F2DmsS2MgPmZHNgAOd	image/png
1342450571.411376	CE9sT93zZtOoOndL0g	192.168.78.10	1031	81.61.217.85	80	5	GET	sn134w.snt134.mail.live.3e9s.com	/templates/mobile2/images/gm.png	http://sn134w.snt134.mail.live.3e9s.com/1342431001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	187	200	OK	-	-	-	(empty)	-	-	-	-	-	FXnSxASFEebb5CpNl	image/png
