#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-54
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327145170.129583	CXnhSC4DfHuYIyQ9Yi	192.168.16.10	1030	178.158.90.206	80	1	GET	9kas.frontscheeky.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327145170.777274	CMuXLCIGa5oV4Stnl	192.168.16.10	1031	176.34.180.219	80	1	GET	my-name-iz.net	/main.php?page=ce57441e61ae2f12	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79769	200	OK	-	-	-	(empty)	-	-	-	-	-	FBijEr2njaXpAb4Rz6	text/html
1327145183.32484	CMuXLCIGa5oV4Stnl	192.168.16.10	1031	176.34.180.219	80	2	GET	my-name-iz.net	/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FRKm1Dy8PSm0NANi7	application/x-dosexec
1327145185.506862	CVJTPz4a8I4bkFZ3Hf	192.168.16.10	1036	176.34.180.219	80	1	GET	my-name-iz.net	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4408	200	OK	-	-	-	(empty)	-	-	-	-	-	FkBGB411nj8DFCHk3a	application/zip
1327145185.568149	C2XUSj1bGQeFD3TGDc	192.168.16.10	1037	176.34.180.219	80	1	GET	my-name-iz.net	/content/field.swf	http://my-name-iz.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1464	200	OK	-	-	-	(empty)	-	-	-	-	-	Fztqmj2xXYL03zUcPa	application/x-shockwave-flash
1327145184.368454	CMuXLCIGa5oV4Stnl	192.168.16.10	1031	176.34.180.219	80	3	GET	my-name-iz.net	/content/fdp2.php?f=19	http://my-name-iz.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	90561	200	OK	-	-	-	(empty)	-	-	-	-	-	FMcwSx26wxZaZdAn61	application/pdf
1327145191.048562	CfU6Sk3jGZZ8vReHm9	192.168.16.10	1039	4.27.10.253	80	1	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootseq.txt	-	Microsoft-CryptoAPI/5.131.2600.2180	0	18	200	OK	-	-	-	(empty)	-	-	-	-	-	F3FkVk4IAAVcaYfYJ9	text/plain
1327145191.072318	CfU6Sk3jGZZ8vReHm9	192.168.16.10	1039	4.27.10.253	80	2	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootstl.cab	-	Microsoft-CryptoAPI/5.131.2600.2180	0	47186	200	OK	-	-	-	(empty)	-	-	-	-	-	FkP1ae3ppK4KY7ac4h	application/vnd.ms-cab-compressed
1327145194.69285	C2XUSj1bGQeFD3TGDc	192.168.16.10	1037	176.34.180.219	80	2	GET	my-name-iz.net	/content/score.swf	http://my-name-iz.net/content/field.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6920	200	OK	-	-	-	(empty)	-	-	-	-	-	F9qNDk3M41YAf7dz65	application/x-shockwave-flash
1327145196.39713	CRHiMH2gpso8LmoYpf	192.168.16.10	1040	176.34.180.219	80	1	GET	my-name-iz.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fq6S94KVPRoHmgnTj	text/html
#close	2014-04-03-09-58-54
