#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-16-00
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1329165935.870451	CMYkJn44b0V3xDbky4	192.168.42.10	1030	109.182.4.15	80	1	GET	4dvxib7b.slicedentity.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1329165936.405383	C2Xcb447KI8zSb37H1	192.168.42.10	1031	199.30.91.102	80	1	GET	jumptoinformer.com	/stats/counter.php?id=3eb83ef603bca04a	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110145	200	OK	-	-	-	(empty)	-	-	-	-	-	FEsUa234sxwV7fOZZ	text/html
1329165947.087094	C2Xcb447KI8zSb37H1	192.168.42.10	1031	199.30.91.102	80	2	GET	jumptoinformer.com	/stats/loading_animation.gif	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5895	200	OK	-	-	-	(empty)	-	-	-	-	-	FzJK8pGaRvoIIeLy7	image/gif
1329165947.410248	CqP8oz2KhRUbBGr5E5	192.168.42.10	1036	95.215.0.153	8000	1	GET	95.215.0.153	/stats/w.php?f=23&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	148992	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs6sYJqAFaGqn0519	application/x-dosexec
1329165949.87493	COaBY73NApfecT8dia	192.168.42.10	1037	199.30.91.102	80	1	GET	jumptoinformer.com	/stats/content/field.swf	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1552	200	OK	-	-	-	(empty)	-	-	-	-	-	FZzFhc1Y8gfsxwgVsg	application/x-shockwave-flash
1329165948.765416	C2Xcb447KI8zSb37H1	192.168.42.10	1031	199.30.91.102	80	3	GET	jumptoinformer.com	/stats/content/fdp2.php?f=23	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96778	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxcja5DEDl1PMHvXe	application/pdf
1329165951.833382	CUD8pG4jUcrLALKzf8	192.168.42.10	1042	188.187.188.78	80	1	POST	kukushkur.net	/aaaaaaapjmaqyqoyjclgbstylsepjybmtqmgecslzsbmunhmjlflxjpjo.7z	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	63	320	200	OK	-	-	-	(empty)	-	-	-	F6kwBmv6qrzOcDr4k	text/plain	FWnBs62A8ZbgCNoN75	text/plain
1329165951.943695	CgKiRx2UpEGU81Md46	192.168.42.10	1043	188.187.188.78	80	1	POST	kukushkur.net	/gkavmmfixjjlcyhbstphmhsf.phtml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	48	104	200	OK	-	-	-	(empty)	-	-	-	FzC7tg2ttFVclCEh1g	text/plain	F5Ox7m2CDPqOyK3nt7	text/plain
1329165953.073618	CMDnEA2gcMVJegtaz5	192.168.42.10	1045	93.93.201.3	80	1	GET	www.expodimilano.it	/images/sampledata/config.bin	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	345209	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdr6XG1t9xVELG9m6d	binary
1329165952.38837	CI9Sgb3bJbcokHvfN8	192.168.42.10	1044	188.187.188.78	80	1	GET	kukushkur.net	/2tcxjYMKTDqRWP4HGkVNFd7.tiff	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	800200	200	OK	-	-	-	(empty)	-	-	-	-	-	FqYq111PQR2b8sKPGh	text/plain
1329165955.97606	C6qVd541hLWlnjPdB1	192.168.42.10	1047	188.187.188.78	80	1	POST	kukushkur.net	/ainzsaiwhlde.php3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	569	323	404	Not Found	-	-	-	(empty)	-	-	-	FOhnD72F1H6qLhku2k	text/plain	F1Zxh7LEepe9sdFK5	text/html
1329165966.127108	CC7zbG3vNuiEg0oys	192.168.42.10	1048	24.143.193.33	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FJOWYw1RFNRNLTnQRg	text/html
1329165966.322734	COaBY73NApfecT8dia	192.168.42.10	1037	199.30.91.102	80	2	GET	jumptoinformer.com	/welcome.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FohhHW28SD1f8LpMxh	text/plain
1329165966.385959	CSqEzm4jc01bksSuK9	192.168.42.10	1049	199.30.91.102	80	1	GET	jumptoinformer.com	/stats/content/rin.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3880	200	OK	-	-	-	(empty)	-	-	-	-	-	FtZofr4xyZkF22HeCd	application/zip
1329166012.88287	CqUaHr3R3vKoxyquk8	192.168.42.10	1051	188.187.188.78	80	1	GET	kukushkur.net	/39XxCkNSaMZJfc.tiff	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776347	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ9cJp1FJ8mJVTyQ5	text/plain
1329166012.813235	CaX0rP2WYHao6chUt7	192.168.42.10	1050	188.187.188.78	80	1	GET	kukushkur.net	/y69hS2v0kmMbrf.tiff	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	803176	200	OK	-	-	-	(empty)	-	-	-	-	-	FYC5iA1h9bQw7nExAa	text/plain
#close	2014-04-03-10-16-00
