#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-39-20
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1343579166.771711	Cd99k33VS7EAJsGxmh	192.168.55.10	1036	31.170.162.163	80	unescaped_special_URI_char	-	F	bro
1343579167.269054	-	-	-	-	-	unknown_protocol_2	-	F	bro
1343579212.719763	C0jxVB4l6uDAYVX2E9	192.168.55.10	1057	194.50.116.54	53	DNS_Conn_count_too_large	-	F	bro
1343579212.719911	ChhKqX3JElWPgRKEvf	192.168.55.10	1057	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1343579212.753052	CFJSF91p2GI2pHFJRi	192.168.55.10	1059	194.50.116.54	53	DNS_Conn_count_too_large	-	F	bro
1343579212.753207	CDGRm72wocqcVlijjl	192.168.55.10	1059	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1343579213.497294	CFhIRI2HLUVqWUD5G2	192.168.55.10	1061	194.50.116.54	53	DNS_Conn_count_too_large	-	F	bro
1343579213.497462	C26e4m3ZL5N553hud6	192.168.55.10	1061	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1343579213.504383	CwkspA3KgabLPzDz3f	192.168.55.10	1063	194.50.116.54	53	DNS_Conn_count_too_large	-	F	bro
1343579213.50456	C9YE1811VujBNrn4c	192.168.55.10	1063	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1343579213.511875	CrIk5KjTgscxMfi0e	192.168.55.10	1065	194.50.116.54	53	DNS_Conn_count_too_large	-	F	bro
1343579213.512024	Cgv6YcRMqqJYv6bV8	192.168.55.10	1065	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1343579213.634574	CIvfpk4gHP59LabLE1	192.168.55.10	1069	194.50.116.54	53	DNS_Conn_count_too_large	-	F	bro
1343579213.63472	ClwKAq3ZnfZgIdigb4	192.168.55.10	1069	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1343579213.653486	CTrRGG1WQhKDEVqnwi	192.168.55.10	1071	194.50.116.54	53	DNS_Conn_count_too_large	-	F	bro
1343579213.653605	C6bZ6l21xhY6kV5HI4	192.168.55.10	1071	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1343579213.669128	CWF27t385e8gmHZA1i	192.168.55.10	1073	194.50.116.54	53	DNS_Conn_count_too_large	-	F	bro
1343579213.669252	CL7IYd2PCxoJBDhuMk	192.168.55.10	1073	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1343579222.103036	ClkP924AXSvO7qLEx7	192.168.55.10	1082	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1343579222.106913	CF6ro51xjWf1a9Kdbf	192.168.55.10	1084	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1343579222.108627	CbaxGnlyXkwAHp8Gd	192.168.55.10	1086	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-39-20
