#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-00
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328998138.68965	CQIra544RwHlAW1Yld	192.168.72.10	1030	189.137.51.251	80	1	GET	8ikdkf6.joviallennon.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1328998139.071568	CjY1Rx1KrWaf7BNuyh	192.168.72.10	1031	199.30.91.102	80	1	GET	jumptoinformer.com	/stats/counter.php?id=3eb83ef603bca04a	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110244	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc305npo5a9OkMDGk	text/html
1328998151.442404	CjY1Rx1KrWaf7BNuyh	192.168.72.10	1031	199.30.91.102	80	2	GET	jumptoinformer.com	/stats/loading_animation.gif	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5895	200	OK	-	-	-	(empty)	-	-	-	-	-	F7zC9Y1YE4X2NKVDxa	image/gif
1328998151.967886	C8TCMf91S7NN8mgSc	192.168.72.10	1036	95.215.0.153	8000	1	GET	95.215.0.153	/stats/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42496	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff9Ktu2FNjqQDsGfhh	application/x-dosexec
1328998153.862572	CHm9gE1Uw0vj4V7u9l	192.168.72.10	1037	199.30.91.102	80	1	GET	jumptoinformer.com	/stats/content/field.swf	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1552	200	OK	-	-	-	(empty)	-	-	-	-	-	F1vwz04M6ujjUQt1Ib	application/x-shockwave-flash
1328998154.192705	CAmvj31G2XSuI3h9Sd	192.168.72.10	1038	199.30.91.102	80	1	GET	jumptoinformer.com	/stats/content/rin.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3880	200	OK	-	-	-	(empty)	-	-	-	-	-	FxAVof4tZyzlXJk6J	application/zip
1328998152.76494	CjY1Rx1KrWaf7BNuyh	192.168.72.10	1031	199.30.91.102	80	3	GET	jumptoinformer.com	/stats/content/fdp2.php?f=19	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96776	200	OK	-	-	-	(empty)	-	-	-	-	-	FdOeRL3XzUI0M9mr1b	application/pdf
1328998156.400179	C6vEy11stNtzaAnFP9	192.168.72.10	1041	176.31.157.88	80	1	POST	downtraff.ru	/and/image.php	-	Mozilla/4.0	66	78	200	OK	-	-	-	(empty)	-	-	-	FR4qgr6jZUSWhg4Sa	text/plain	FIU9701eVANUWug4F6	binary
1328998156.928778	CIpDmi4zNg1yGE1WG3	192.168.72.10	1043	67.210.244.40	80	1	GET	spenergy.com.co	/888.exe	-	Mozilla/4.0	0	27136	200	OK	-	-	-	(empty)	-	-	-	-	-	FmjSs91ff7JeCPqlE1	application/x-dosexec
1328998157.515378	Cj8ckh3dSMgDcHYm4a	192.168.72.10	1045	176.31.157.88	80	1	POST	downtraff.ru	/and/image.php	-	Mozilla/4.0	46	0	200	OK	-	-	-	(empty)	-	-	-	FQvFFE1568Iizfppr5	text/plain	-	-
1328998159.166865	Cvye1W1QUfbfJAufre	192.168.72.10	1049	192.204.3.10	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FUXfyj2Kf35fjwXmY	text/html
