#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-34-27
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1347779345.03374	CysJmr2fJOrcUez6B9	192.168.124.10	1030	199.59.166.86	80	1	GET	getrefog.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FC9uM91rchM5dlAkJ	text/html
1347779345.199731	CFWymE3ybDr6e3ddj3	192.168.124.10	1033	74.125.137.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.4/jquery.min.js	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	78601	200	OK	-	-	-	(empty)	-	-	-	-	-	FWdHLL85gliapt4el	text/plain
1347779345.115516	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	1	GET	www.getrefog.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12500	200	OK	-	-	-	(empty)	-	-	-	-	-	F4iXHx2lG8nEBEMjp9	text/html
1347779345.215692	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	1	GET	www.getrefog.com	/css/reset.css	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2062	200	OK	-	-	-	(empty)	-	-	-	-	-	FLKzep1C6xT8feRnpd	text/plain
1347779345.225424	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	2	GET	www.getrefog.com	/css/text.css	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1063	200	OK	-	-	-	(empty)	-	-	-	-	-	FaAXcl1vyimBxyJJGb	text/plain
1347779345.270485	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	2	GET	www.getrefog.com	/css/960.css	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9989	200	OK	-	-	-	(empty)	-	-	-	-	-	FvwPpk4oVB7301isX8	text/plain
1347779345.281035	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	3	GET	www.getrefog.com	/css/style.css	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9561	200	OK	-	-	-	(empty)	-	-	-	-	-	FiKryq4YmEe6byuzZ6	text/plain
1347779345.469603	CV8djceT66YeNMDqg	192.168.124.10	1034	74.125.137.139	80	1	GET	www.google-analytics.com	/ga.js	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36893	200	OK	-	-	-	(empty)	-	-	-	-	-	F1VGwUXyXWSwqdns9	text/plain
1347779345.464322	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	3	GET	www.getrefog.com	/img/win/win7-chrome-1.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2625	200	OK	-	-	-	(empty)	-	-	-	-	-	F0ZJF03ywtvcCIkTxa	image/png
1347779345.464617	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	4	GET	www.getrefog.com	/img/win/win7-chrome-3.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21037	200	OK	-	-	-	(empty)	-	-	-	-	-	FiZSrj3KIfFTmsxyxg	image/png
1347779345.572213	CV8djceT66YeNMDqg	192.168.124.10	1034	74.125.137.139	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.5&utms=1&utmn=1550174297&utmhn=www.getrefog.com&utmcs=utf-8&utmsr=800x600&utmvp=784x463&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Refog - Downloading Refog - Keylogger Software&utmhid=575166530&utmr=-&utmp=/get.html&utmac=UA-888581-4&utmcc=__utma=1.997001023.1347793627.1347793627.1347793627.1;+__utmz=1.1347793627.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qhKAAAAB~	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	F7mymuPMoY8W2g5gc	image/gif
