#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-34-27
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1347779345.03374	CysJmr2fJOrcUez6B9	192.168.124.10	1030	199.59.166.86	80	1	GET	getrefog.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FC9uM91rchM5dlAkJ	text/html
1347779345.521241	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	4	GET	www.getrefog.com	/img/win/win7-chrome-2.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12046	200	OK	-	-	-	(empty)	-	-	-	-	-	FgHDzAZSYabdlXj7i	image/png
1347779345.58874	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	5	GET	www.getrefog.com	/img/win/win7-ie-1.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3090	200	OK	-	-	-	(empty)	-	-	-	-	-	FuRXSk2fL3hqc7Rh85	image/png
1347779345.614851	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	5	GET	www.getrefog.com	/img/win/win7-ff-1.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7189	200	OK	-	-	-	(empty)	-	-	-	-	-	FYMhkD2oBNU5lILA85	image/png
1347779345.653007	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	6	GET	www.getrefog.com	/img/win/win7-ff-2.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8562	200	OK	-	-	-	(empty)	-	-	-	-	-	F4JBzMgVXoqni9Eqj	image/png
1347779345.731917	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	6	GET	www.getrefog.com	/img/mac/safari-10.5-10.6.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10285	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi04kF4aPI6NwKLmx1	image/png
1347779345.737395	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	7	GET	www.getrefog.com	/img/mac/dmg-10.5.jpg	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	65219	200	OK	-	-	-	(empty)	-	-	-	-	-	FszhurdfsXR28y7Ii	image/jpeg
1347779345.807656	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	7	GET	www.getrefog.com	/img/mac/open-10.5-10.6.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18140	200	OK	-	-	-	(empty)	-	-	-	-	-	FSwY5m3ZDaA3ciJAt8	image/png
1347779345.927051	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	8	GET	www.getrefog.com	/img/mac/dmg-10.6-10.8.jpg	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	59871	200	OK	-	-	-	(empty)	-	-	-	-	-	FJpqnL2Z33YU04wQgd	image/jpeg
1347779345.968403	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	8	GET	www.getrefog.com	/img/mac/safari-10.7-10.8.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26150	200	OK	-	-	-	(empty)	-	-	-	-	-	F9fosp1ZtHwm6ylArl	image/png
1347779346.114079	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	9	GET	www.getrefog.com	/img/mac/chrome.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8274	200	OK	-	-	-	(empty)	-	-	-	-	-	F3lWmX3pOef1rFbs4h	image/png
1347779346.102927	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	9	GET	www.getrefog.com	/img/mac/open-10.7.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20253	200	OK	-	-	-	(empty)	-	-	-	-	-	FYNjuz3xPzQaU1rTFf	image/png
1347779346.236891	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	10	GET	www.getrefog.com	/js/jsdownload.js	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6473	200	OK	-	-	-	(empty)	-	-	-	-	-	FciBlhee29no5Ps6a	text/plain
1347779346.224594	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	10	GET	www.getrefog.com	/img/mac/firefox.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13012	200	OK	-	-	-	(empty)	-	-	-	-	-	FTovpX1rn8HRiWpfPa	image/png
1347779346.346658	CV8djceT66YeNMDqg	192.168.124.10	1034	74.125.137.139	80	3	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.5&utms=2&utmn=909005371&utmhn=www.getrefog.com&utme=8(2!Download)9(2!rkl)11(2!1)&utmcs=utf-8&utmsr=800x600&utmvp=784x463&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Refog - Downloading Refog - Keylogger Software&utmhid=575166530&utmr=-&utmp=/downloads/keyspectst&utmac=UA-888581-4&utmcc=__utma=1.997001023.1347793627.1347793627.1347793627.1;+__utmz=1.1347793627.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qxKAAAAB~	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	F1UcoBfB4qAScEo47	image/gif
1347779346.319093	C7bWJe1SXhhop12MVd	192.168.124.10	1031	72.21.194.13	80	11	GET	www.getrefog.com	/img/logo.png	http://www.getrefog.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10386	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn8wpg1cTa4zywp5ej	image/png
1347779347.087293	CpQmmJ1iTydQB8W975	192.168.124.10	1036	72.21.211.200	80	1	GET	trialpay-assets.s3.amazonaws.com	/static/refog/PC/Netflix_F2012_BUB.jpg?r=b21f09bf	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14843	200	OK	-	-	-	(empty)	-	-	-	-	-	FXZjli4doVbYJs4aZh	image/jpeg
1347779348.300496	CZgTmB2VUSfc1h2Zak	192.168.124.10	1032	72.21.194.13	80	11	GET	www.getrefog.com	/download/refog_keylogger.exe	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3957	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzbogi41jbp89QJg92	application/x-dosexec
#close	2014-04-03-10-34-27
