#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-24-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1365914044.245842	C5A3aY3qSTawZO3kKh	192.168.73.10	1030	78.136.44.249	80	1	GET	zmtraffic.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	167	302	Found	-	-	-	(empty)	-	-	-	-	-	FPG35u3zJvS0wucrkh	text/html
1365914044.376046	CetYs14bUIpdaoeZJ6	192.168.73.10	1031	174.37.233.209	80	1	GET	aff.ringtonepartner.com	/geo/preset/3830/47/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1243	200	OK	-	-	-	(empty)	-	-	-	-	-	FysZgz4PbPzg1iMSVh	text/html
1365914044.507265	C0S8VF1Ry761ItEpg3	192.168.73.10	1032	74.125.130.157	80	1	GET	stats.g.doubleclick.net	/dc.js	http://aff.ringtonepartner.com/geo/preset/3830/47/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39075	200	OK	-	-	-	(empty)	-	-	-	-	-	FTDKqt2zmelKFNzrF9	text/plain
1365914044.526352	CNthWV0YVlWiIWKge	192.168.73.10	1033	174.37.233.215	80	1	GET	aff.adjmps.com	/conversion/visit?xx=a1-8f1d&zz=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	http://aff.ringtonepartner.com/geo/preset/3830/47/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FmdndF4VKOwVMBiTGj	image/gif
1365914044.616206	C0S8VF1Ry761ItEpg3	192.168.73.10	1032	74.125.130.157	80	2	GET	stats.g.doubleclick.net	/__utm.gif?utmwv=5.4.1dc&utms=1&utmn=199187705&utmhn=aff.ringtonepartner.com&utmcs=windows-1252&utmsr=800x600&utmvp=780x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmhid=1010360444&utmr=-&utmp=/geo/preset/3830/47/&utmht=1365928326171&utmac=UA-1672790-12&utmcc=__utma=80703559.2070058248.1365928326.1365928326.1365928326.1;+__utmz=80703559.1365928326.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qg~	http://aff.ringtonepartner.com/geo/preset/3830/47/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FZCzeo4KhL2b5z7gfi	image/gif
1365914044.701156	CGH3Qo2JYw6rmz0WT1	192.168.73.10	1035	174.37.233.214	80	1	GET	www.mobilejmp.com	/glp?page=71&uc=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FIZ72324ltiVh3Bpq8	text/html
1365914045.912711	CGH3Qo2JYw6rmz0WT1	192.168.73.10	1035	174.37.233.214	80	2	GET	www.mobilejmp.com	/glp?page=71&uc=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FNMz5KQzcUou6JQq9	text/html
1365914047.096098	CGH3Qo2JYw6rmz0WT1	192.168.73.10	1035	174.37.233.214	80	3	GET	www.mobilejmp.com	/glp?page=71&uc=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FJSObn4UcrdwW0dkWk	text/html
1365914048.267014	CGH3Qo2JYw6rmz0WT1	192.168.73.10	1035	174.37.233.214	80	4	GET	www.mobilejmp.com	/glp?page=71&uc=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FOfR9A1Ri2ZeO3kXU6	text/html
1365914049.424276	CGH3Qo2JYw6rmz0WT1	192.168.73.10	1035	174.37.233.214	80	5	GET	www.mobilejmp.com	/glp?page=71&uc=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	F3HltC21QOq6XsnwCj	text/html
1365914049.635961	CGH3Qo2JYw6rmz0WT1	192.168.73.10	1035	174.37.233.214	80	6	GET	www.mobilejmp.com	/geo/preset/3830/2?uc=14041370147_e9d0b5_17_226_516a3147_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1396	200	OK	-	-	-	(empty)	-	-	-	-	-	FXgUsL2Mb5dn9I95Ji	text/html
