#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-28-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1320270606.101155	Ce3pW32GGptPU6Kpdc	192.168.88.10	1030	176.65.160.43	80	1	GET	theaaa.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	234	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FvOAK02qi1lEcKO6c	text/html
1320270606.341849	CKqnOJ2NgLKyqrn67b	192.168.88.10	1031	176.65.161.38	80	1	GET	cccstyle.in	/?site=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51662	200	OK	-	-	-	(empty)	-	-	-	-	-	FunxZ61b8IgwU6UFh8	text/html
1320270607.685159	CLPsDP2tL4R1idhvS6	192.168.88.10	1032	176.65.161.38	80	1	GET	cccstyle.in	/dl/pdf_libtiff9.php	http://cccstyle.in/?site=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2638	200	OK	-	-	-	(empty)	-	-	-	-	-	FFr9fN34VzqngsYCvi	application/pdf
1320270612.059008	Ce5Rao1McC73Ptula8	192.168.88.10	1033	176.65.161.38	80	1	GET	cccstyle.in	/dl/dl.php?6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	386032	200	OK	-	-	-	(empty)	-	-	-	-	-	FSFbY91Al5jojOzAU4	application/x-dosexec
1320270613.275808	CjP5v32Zg5oZlZaD2g	192.168.88.10	1039	176.65.161.38	80	1	GET	cccstyle.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	FAjcDH2EJrjdvpqoA6	application/jar
1320270613.276811	Cw9cIk2pFhgGckkwe9	192.168.88.10	1038	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FZnlV83G7HazsCyvK	application/x-java-applet
1320270613.267847	CNX6EJ2L6PQIPSWE7b	192.168.88.10	1044	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FrfhaS3fawH07TPVef	application/x-java-applet
1320270613.271887	CIhkuf1ASEXxYHmwfc	192.168.88.10	1043	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FgTA1e1xWBk8vahxe1	application/x-java-applet
1320270613.285539	Cf1O9n1S4Zn9FGyTe8	192.168.88.10	1042	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FegJOB1m3LHWlVUDS4	application/x-java-applet
1320270613.273752	Co6ueP2DTcuecEFBxg	192.168.88.10	1045	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FdM6ui4tXplKj6v1x9	application/x-java-applet
1320270613.302242	CytaWW28TLRLwXsdCf	192.168.88.10	1040	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FK3qbE3mlywcRKCzm9	application/x-java-applet
1320270613.278565	CNvTHb3t6T7hzZnWV6	192.168.88.10	1041	176.65.161.38	80	1	GET	cccstyle.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19279	200	OK	-	-	-	(empty)	-	-	-	-	-	Fww5eh36PY54mwvrEa	application/jar
1320270613.966562	CpfI5T3mVyytKcqOD2	192.168.88.10	1046	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FYnCrmejwV4wKUfYf	application/x-java-applet
1320270635.656351	CSgevT35z8k1i1coD3	192.168.88.10	1055	31.44.184.55	80	1	GET	dincputilub.com	/up.php?0Q9oBPXEN0uECUgzEJ95RQsbjjrvq1aG3F/29ZoNqwOd0A==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1320270657.595926	CJqpd74f4FuXj2koK	192.168.88.10	1057	193.105.154.34	80	1	GET	player-158521.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F6MkQ02TgvMXgAEk85	text/html
#close	2014-04-03-10-28-03
