#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-19-40
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327562619.941274	Cr7rdK2cgIQUnf4VX5	192.168.84.10	1030	208.64.123.45	80	1	GET	6gfkc3rw93k0e6.xm5.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FDuQBk2pzIzzhuG4H4	text/html
1327562620.151046	CtD6KL1KyUml4oh8sj	192.168.84.10	1031	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1727	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FcqYqJ2QG1JtIz1cEf	text/html
1327562620.262507	CyChiE3B3Vsez8MJpc	192.168.84.10	1032	209.17.74.150	80	1	GET	i35.tinypic.com	/n4ts0p.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	97370	200	OK	-	-	-	(empty)	-	-	-	-	-	FnL8NH2degsm3BlQih	image/png
1327562620.8279	CgFLNj35cYZo3Xs9L4	192.168.84.10	1033	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43962	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc357E3SzSxdwYHG7h	text/html
1327562622.277526	C9FiclN49fTYb4Snl	192.168.84.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?dd6fbea61d7367a4b2ce79086ce1519e=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	251392	200	OK	-	-	-	(empty)	-	-	-	-	-	F2ZeNc3pCmTIet1K3c	application/x-dosexec
1327562624.0354	CHtKpc3YT5syujcsQa	192.168.84.10	1041	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FLQXgr41PP3Wp35Jbh	application/jar
1327562624.033001	CfmZWF1kuv0gy951Hi	192.168.84.10	1042	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 506^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327562624.038836	CwoToaaD8EZ75RqWb	192.168.84.10	1040	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FrPUqw1GsLm3TQD5ee	application/jar
1327562624.041315	CCPVOf2KIxW32DPcR3	192.168.84.10	1039	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa6Dz82KH3HqwKXaL7	application/zip
1327562624.159525	CGIgzC43FzIsqVKUJe	192.168.84.10	1043	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FbyOih3wkIvEG1Ayj8	application/jar
1327562624.166427	CoTOGB2Tsj2bIA0J31	192.168.84.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FLCTtD1lJjBid7CGx9	application/jar
