#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-10-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1346464539.292645	CDCarY6ry6qqx1xo6	192.168.47.10	1039	74.125.45.148	80	unescaped_special_URI_char	-	F	bro
1346464540.318564	-	-	-	-	-	unknown_protocol_2	-	F	bro
1346464553.957078	CNZ6hq1Oh6tNDzh0u9	192.168.47.10	1077	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346464553.958567	CUbPwjMuGfk9DpaZ6	192.168.47.10	1079	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346464553.972134	CsBloQuv8ZDCYW6c1	192.168.47.10	1081	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346464553.97468	CT8kb62Tu6L860jSxk	192.168.47.10	1083	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346464553.983463	CoWPAD2vswgzwFjqrf	192.168.47.10	1085	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346464553.986295	CJkViK37WGxb4hoq5c	192.168.47.10	1087	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346464556.736012	C7u2s91iouCrQ5ZwD5	192.168.47.10	1091	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346464556.953905	CAluw73fJuVv9owUii	192.168.47.10	1094	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346464558.723231	CRXXqw4NE4DQQaU5Pb	192.168.47.10	1097	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-10-05
