#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-03-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1315282826.443872	CROHCU3TprldR9wmdj	192.168.79.10	1030	95.168.165.225	80	1	GET	adultqueens.biz	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	249	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FnfbgcyXvLqtT3m7f	text/html
1315282826.663646	CS1muE4N20GI2hEfBi	192.168.79.10	1031	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/?site=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7505	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz113H1uaJSWE2aN8h	text/html
1315282827.881477	C69DdF45yr3iy3aJX8	192.168.79.10	1034	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FIlHAo4Sz8Wl91TEf5	application/jar
1315282827.879416	CVKr9z4VxI00mGyWxi	192.168.79.10	1032	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	FlGLFDlk34MIAhdI9	application/x-java-applet
1315282827.880826	ChSYCz4Z33cu4HiGbj	192.168.79.10	1033	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	Fve2jJ3gv78JMKJaK9	application/x-java-applet
1315282827.877683	C1IIBl1vxvtSySAdx9	192.168.79.10	1035	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	FMZoErn2gWwOzVEK4	application/jar
1315282828.183131	CY6hvr1LkHX3BsJOA9	192.168.79.10	1036	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FmT2y73ZUcVZzxxBmh	application/jar
1315282828.491145	CcSG6r1zGyvDMdAMZ8	192.168.79.10	1037	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr2j3T3mJHu3KhvkLk	application/jar
1315282828.768862	CQ2j1O1X50SmutBxQ5	192.168.79.10	1039	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh4ooE49W7aA2i5Nej	application/x-java-applet
1315282828.769882	CfhiWk1ZUwpoEpwTM5	192.168.79.10	1038	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FDruGf2EhAPyD8KYs3	application/x-java-applet
1315282828.776283	CF02FR1BXRNKsspIT5	192.168.79.10	1040	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FtGj1Y3753Cd4VFEF5	application/jar
