#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-14-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323347722.861567	Cgs39s4EJ4YjDCTVp3	192.168.88.10	1030	109.236.82.78	80	1	GET	tempdom3-1.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FrQQiW2T8OxGcanzie	text/html
1323347723.064788	C3i841162E79sEVk9	192.168.88.10	1031	109.236.82.79	80	1	GET	softportal9.in	/?site=3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	156	200	OK	-	-	-	(empty)	-	-	-	-	-	FlnGg92Fzvs2XDjll6	text/html
1323347724.707141	COa6ZjtHDJkFnkPz6	192.168.88.10	1032	109.236.82.79	80	1	GET	softportal9.in	/?3bff8b59b5c6dcb9cf33b39e66f4b8e1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3988	200	OK	-	-	-	(empty)	-	-	-	-	-	FunYw031HM3s0hIzac	application/jar
1323347724.92477	CdDstf207C6F4tHa0d	192.168.88.10	1037	109.236.82.79	80	1	GET	softportal9.in	/?3bff8b59b5c6dcb9cf33b39e66f4b8e1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3988	200	OK	-	-	-	(empty)	-	-	-	-	-	FpCplSnzyYIwv6sVh	application/jar
1323347725.206849	Ctvyst2WawRopDPcef	192.168.88.10	1038	109.236.82.79	80	1	GET	softportal9.in	/?3bff8b59b5c6dcb9cf33b39e66f4b8e1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3988	200	OK	-	-	-	(empty)	-	-	-	-	-	FAiyCr4zGU2wz8Cbol	application/jar
1323347725.50159	CCUm3X23gthhV1eHEl	192.168.88.10	1039	109.236.82.79	80	1	GET	softportal9.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FdET3t3gwaAYZX872a	text/html
1323347725.715808	C4Tkpk4hBXDNcvmoJi	192.168.88.10	1040	109.236.82.79	80	1	GET	softportal9.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FvMFkw44tgMdCSVZ9f	text/html
1323347725.924772	CfMSRH34TrbcyCIJC2	192.168.88.10	1041	109.236.82.79	80	1	GET	softportal9.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FMR0FE1RZcZelLEBo6	text/html
1323347726.142437	CQOXMgq2AhcWOmOQ4	192.168.88.10	1042	109.236.82.79	80	1	GET	softportal9.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fzc95tApNsUem03qk	text/html
1323347726.647743	CvrfnKP8DkY1Tqr7a	192.168.88.10	1043	109.236.82.79	80	1	GET	softportal9.in	/?98fc8efd2b5f964060f6dfe7fa262430	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	F01i3d1Y4URaPrUHW6	application/x-dosexec
1323347737.735506	CEyyJe1T6CxtWiXWh	192.168.88.10	1044	74.125.47.105	80	1	GET	www.google.com	/	-	Mozilla/4.0	0	10556	200	OK	-	-	-	(empty)	-	-	-	-	-	FTiBEg3X65wYGXTXSh	text/html
1323347737.924592	C4YHAldVRyeyoAAc3	192.168.88.10	1045	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getgrab	-	Mozilla/4.0	0	363012	200	OK	-	-	-	(empty)	-	-	-	-	-	FIVQMs4D1Qkf9MMfJ1	binary
1323347738.446512	CtUXgYyY1CkNRUXV8	192.168.88.10	1046	184.107.227.69	80	1	POST	waytraffic.net	/s/index.php	-	Mozilla/4.0	61	0	200	OK	-	-	-	(empty)	-	-	-	FAiUQs4t72PKbELXZf	text/plain	-	-
1323347740.580888	CHtyzc2M1vyVcLvgH6	192.168.88.10	1047	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0	-	Mozilla/4.0	0	4	200	OK	-	-	-	(empty)	-	-	-	-	-	FF8iFmqdNE8olq3n3	text/plain
1323347740.702617	C2nx7J1B1KYdQzMwUb	192.168.88.10	1048	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0&file=0	-	Mozilla/4.0	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1323347741.056968	CTQXRP2J5xty3mTcPe	192.168.88.10	1049	184.107.227.70	80	1	GET	porn-finder.de.ms	/movies/30.exe	-	Mozilla/4.0	0	838656	200	OK	-	-	-	(empty)	-	-	-	-	-	FNQAfU3DsCaSEYWZhh	application/x-dosexec
1323347741.865088	CMvGxs3c3O2iAnTIoj	192.168.88.10	1050	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0&file=0&run=ok	-	Mozilla/4.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1323347742.976668	CtL3WW372v8XQpelZ4	192.168.88.10	1052	184.107.227.69	80	1	GET	waytraffic.net	/s/index.php?cmd=getload&login=7A3CE3B777C8444FABE53F624D4B7CDF78144B1E&sel=77777&ver=5.1&bits=0&file=1	-	Mozilla/4.0	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
